rank,country,average_efficiency,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
12,Albania,0.9476766666666666,NA,NA,NA,NA,NA,NA,1,1,1,0.98952,0.94907,0.9364,0.95695,0.94321,0.93026,0.95182,0.96336,0.9393,0.88875,0.87244,0.89407,NA,NA,NA,NA,NA,NA
27,Argentina,0.8739642857142857,0.85653,0.87245,0.87841,0.89732,0.88819,0.86832,0.85653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Armenia,0.9545344444444445,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96867,0.94545,0.97051,0.98422,0.95569,0.92628,0.93859,1,1,1,0.88663,0.92764,0.90837,0.92274,0.95218,0.94631,0.98594,0.9624
43,Australia,0.8182373076923077,0.78707,0.82288,0.8264,0.81434,0.81039,0.76652,0.7851,0.7806,0.78885,0.81085,0.81085,0.82861,0.83023,0.83953,0.81114,0.90093,0.88669,0.8374,0.89309,0.83439,0.83498000000000006,0.80926,0.80447,0.80221,0.78177,0.77562,NA
44,Austria,0.8173444444444444,0.89568,0.8589,0.82103,0.81191,0.78485,0.78969,0.79,0.80617,0.80261,0.83537,0.83273,0.84375,0.86679,0.82422,0.81885,0.685,0.80838,0.71287,0.80783,0.79322,0.87978,0.79269,0.82571,0.83018,0.82447,0.83485,0.89077
33,Azerbaijan,0.8535181818181818,NA,NA,NA,NA,NA,0.81373,0.79978,0.88216,0.86382,0.82899,0.93933,0.80403,0.83333,0.68004,0.94349,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Belarus,0.9999975,NA,NA,NA,NA,NA,NA,NA,NA,0.99999,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Belgium,0.7950946153846153,0.90935,0.87676,0.80388,0.80574,0.79875,0.8002,0.80119,0.83814,0.78577,0.61966,0.631,0.66046,0.80832,0.7793,0.76982,0.8018,0.77567,0.74319,0.66406,0.76743,0.74154,0.72899,0.89792,0.96532,0.93967,0.95853,NA
48,Bulgaria,0.8123166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67894,0.63725,0.73904,0.83732,0.88476,0.88832,0.89299,0.89436,0.85787,NA,NA
59,Canada,0.721855,0.6909,0.69034,0.68521,0.68778,0.68641,0.68693,0.70102,0.69413,0.69575,0.71933,0.70604,0.75326,0.7685,0.78561,0.80579,0.79268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Chile,0.895044,0.88422,0.8994,0.90747,0.90548,0.87865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Colombia,0.9893966666666667,NA,NA,0.98819,0.99085,0.98915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Costa Rica,0.9877016666666667,1,0.99812,0.99627,0.99554,0.96509,0.97119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Croatia,0.8474575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79554,0.83391,0.83921,0.85062,0.86318,0.83285,0.88382,0.88053
62,Cyprus,0.5497876923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71828,0.72711,0.70319,0.69649,0.51972,0.42697,0.44183,0.45725,0.46242,0.47922,0.45529,0.47263,0.58684
23,Czechia,0.8900445833333334,NA,NA,NA,0.99253,1,0.94992,0.99059,0.99429,0.93328,0.88295,0.88562,0.8583,0.81999,0.87788,0.82996,0.81283,0.86914,0.86352,0.88908,0.87611000000000006,0.84558,0.86204,0.83657,0.84279,0.8644,0.9008,0.8829
10,Denmark,0.9541519230769231,0.98443,0.89408,0.952,0.9443,0.93881,0.96513,0.99562,1,0.93889,0.90732,0.82084,0.95319,0.95477,0.97199,1,0.93456,0.98317,0.94722,0.96685,0.92378,0.99023,0.92801,1,0.97105,0.95262,0.98909,NA
1,El Salvador,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Estonia,0.9724876923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0.99929,0.94454,1,0.89744,0.91421,0.88686,1,NA
47,Finland,0.8125928,1,0.99585,0.88415,0.85841,0.85041,0.85837,0.8505,0.84519,0.78238,0.77949,0.74986,0.77638,0.75044,0.74698,0.76041,0.76182,0.77581,0.74409,0.77007,0.82883,0.77095,0.82282,0.79133,0.80181,0.75847,NA,NA
28,France,0.8672008,0.90127,0.89641,0.86307,0.85632,0.8528,0.81869,0.83599,0.85912,0.84125,0.83828,0.84391,0.85194,0.84895,0.84721,0.85524,0.8466,0.85299,0.85277,0.85943,0.87836,0.89181,0.91425,0.91636,0.91813,0.93887,NA,NA
14,Germany,0.9374167999999999,NA,0.92231,0.91048,0.91664,0.88818,0.88212,0.90698,0.92042,0.90348,0.86662,0.82066,0.92674,0.94351,0.92659,0.95082,0.94038,0.95496,0.97008,0.97506,0.96079,0.97148,1,0.99601,0.98971,1,0.9914,NA
60,Greece,0.7121752380952381,NA,NA,NA,NA,NA,0.71672,0.7145,0.70561,0.69998,0.70439,0.69513,0.6939,0.69909,0.68847,0.68927,0.6822,0.67876,0.68259,0.68475,0.70625,0.72821,0.72955,0.73356,0.76134,0.77282,0.78859,NA
55,Hungary,0.760503076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75249,0.62798,0.70182,0.54909,0.5568,0.84965,1,0.80536,0.82314,0.90496,0.79754,0.90981,0.6079
56,Iceland,0.7378878571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73078,0.70923,0.64366,0.60958,0.5633,0.67963,0.81167,0.80365,0.74972,0.75012,0.81254,0.78693,0.78629,0.89333
39,Ireland,0.8326033333333334,0.83331,0.7616,0.81739,0.85146,0.8472,0.83406,0.83597,0.85201,0.79188,0.76273,0.73144,0.87411,0.8003,0.82356,0.96483,0.76697,0.83764,0.79521,0.84809,0.82509,0.88784,0.91412,0.8658,0.85987,NA,NA,NA
