rank,country,average_efficiency,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
12,Albania,0.9476766666666666,NA,NA,NA,NA,NA,NA,1,1,1,91,159,188,147,174,198,155,138,181,322,387,306,NA,NA,NA,NA,NA,NA
27,Argentina,0.8739642857142857,442,386,367,295,324,397,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Armenia,0.9545344444444445,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,168,124,105,148,212,185,1,1,1,335,207,256,218,153,163,100,140
43,Australia,0.8182373076923077,658,557,546,581,595,714,664,677,653,593,593,542,535,501,592,277,333,510,312,525,523,597,612,619,674,689,NA
44,Austria,0.8173444444444444,300,431,561,588,665,651,650,602,618,522,533,492,399,553,571,811,598,783,600,639,362,641,549,537,552,524,318
33,Azerbaijan,0.8535181818181818,NA,NA,NA,NA,NA,582,626,353,408,540,180,613,530,816,173,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Belarus,0.9999975,NA,NA,NA,NA,NA,NA,NA,NA,64,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Belgium,0.7950946153846153,252,373,614,606,629,625,622,508,661,832,830,826,599,681,703,621,688,756,825,711,761,769,290,133,178,145,NA
48,Bulgaria,0.8123166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818,829,763,511,342,323,313,303,437,NA,NA
59,Canada,0.721855,802,803,810,806,808,807,793,800,798,776,787,740,707,662,605,642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Chile,0.895044,344,285,260,266,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Colombia,0.9893966666666667,NA,NA,96,86,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
