dmu,country,continent,year,efficiency_crs,efficiency_vrs,rank_crs,rank_vrs,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20,cluster
Albania_1996,Albania,Europe,1996,1,1,1,1,0.651,4.28,2.8200000000000003,34.69009,74.5,4.91,8.2,99.99177,9.2,5
Albania_1997,Albania,Europe,1997,1,1,1,1,0.498,4.03,2.1000000000000014,51.409343,72.9,4.4,8.3,99.9604,9.066666666666666,5
Albania_1998,Albania,Europe,1998,1,1,1,1,0.563,4.36,1.7700000000000031,57.010235,74.8,4.82,8.5,99.9808,8.933333333333334,5
Albania_1999,Albania,Europe,1999,0.98952,1,91,1,0.956,4.73,1.2800000000000011,57.789526,75.1,5.48,8.6,99.9846,8.8,5
Albania_2000,Albania,Europe,2000,0.94907,1,159,1,0.966,5.55,4.109999999999999,63.376463,75.4,5.89,8.8,99.99604,8.666666666666666,5
Albania_2001,Albania,Europe,2001,0.9364,0.99064,188,220,1.03,6.1,5.289999999999999,60.609729,76,6.44,8.7,99.99242,8.533333333333333,5
Albania_2002,Albania,Europe,2002,0.95695,1,147,1,1.2,6.13,3.1000000000000014,64.097402,75.9,6.75,9,99.9926,8.4,5
Albania_2003,Albania,Europe,2003,0.94321,0.97222,174,273,1.38,7.48,3.1700000000000017,60.239906,75.6,7.15,9,99.99447,8.4,5
Albania_2004,Albania,Europe,2004,0.93026,0.96159,198,309,1.34,8.33,4.75,57.472884,75.8,7.58,9.1,99.99571,8.4,5
Albania_2005,Albania,Europe,2005,0.95182,0.98687,155,230,1.38,9.19,3.259999999999998,58.199553,76.2,8.04,9.1,99.99611666666668,8.4,5
Albania_2006,Albania,Europe,2006,0.96336,1,138,1,1.27,9.15,3.6499999999999986,56.690318,76.9,8.57,9.2,99.99652333333331,8.566666666666666,5
Albania_2007,Albania,Europe,2007,0.9393,1,181,1,1.29,8.93,6.109999999999999,53.550124,77.5,9.15,9.2,99.99693,8.733333333333334,5
Albania_2008,Albania,Europe,2008,0.88875,0.98314,322,241,1.46,9.39,9.680000000000007,55.140211,77.6,9.91,9.2,99.99704,8.9,5
Albania_2009,Albania,Europe,2009,0.87244,1,387,1,1.47,10.9,11.200000000000003,59.67018,78,10.3,9.3,99.99737,8.9,5
Albania_2010,Albania,Europe,2010,0.89407,1,306,1,1.56,8.96,9.14,57.710251,78.1,10.7,9.3,99.9977,8.9,5
Argentina_1990,Argentina,Americas,1990,0.85653,0.85778,442,617,3.43,9.58,1.2999999999999972,44.74283,72.5,14.1,7.88,99.99485,4.75,5
Argentina_1991,Argentina,Americas,1991,0.87245,0.87547,386,583,3.54,11.3,1.2899999999999991,32.934414,72.7,15.2,8,99.9956,4.8,5
Argentina_1992,Argentina,Americas,1992,0.87841,0.88243,367,558,3.61,11.9,1.9399999999999977,27.768231,72.8,16.2,8,99.9953,4.6,5
Argentina_1993,Argentina,Americas,1993,0.89732,0.90649,295,493,3.46,11.9,1.1799999999999997,26.892714,73,17.3,8.1,99.99577,4.5,5
Argentina_1994,Argentina,Americas,1994,0.88819,0.88948,324,541,3.55,12.7,1.4099999999999966,28.425983,73.4,18.1,8.2,99.99551,4.4,5
Argentina_1995,Argentina,Americas,1995,0.86832,0.87414,397,585,3.67,12.2,2.1700000000000017,30.74938,73.4,17.4,8.3,99.99578,3.8,5
Argentina_1996,Argentina,Americas,1996,0.85653,0.85653,442,621,3.82,12.3,2.549999999999997,32.550753,73.5,18.1,8.5,99.99535,3.5,5
Armenia_1999,Armenia,Asia,1999,0.96867,1,129,1,0.988,3.04,6.609999999999999,39.190779,71.9,3.8,10.7,99.99742,7.6,5
Armenia_2000,Armenia,Asia,2000,0.94545,1,168,1,1.14,2.43,5.450000000000003,39.58742,72.4,4.05,10.8,99.99778,7.65,5
Armenia_2001,Armenia,Asia,2001,0.97051,1,124,1,1.16,2.75,3.299999999999997,38.052612,72.5,4.46,10.7,99.99824,7.7,5
Armenia_2002,Armenia,Asia,2002,0.98422,1,105,1,1.01,2.92,4.659999999999997,38.247604,72.7,5.08,10.8,99.99775,8,5
Armenia_2003,Armenia,Asia,2003,0.95569,1,148,1,1.15,3.35,4.380000000000003,33.015776,72.8,5.82,10.8,99.99818,8.7,5
Armenia_2004,Armenia,Asia,2004,0.92628,1,212,1,1.23,3.96,6.909999999999997,26.445878,73,6.47,10.8,99.998206,7.6,5
Armenia_2005,Armenia,Asia,2005,0.93859,1,185,1,1.47,4.41,5.960000000000008,20.467167,73,7.42,10.9,99.998232,8.1,5
Armenia_2006,Armenia,Asia,2006,1,1,1,1,1.49,4.8,7.310000000000002,16.182897,73.1,8.46,10.9,99.998258,8.9,5
Armenia_2007,Armenia,Asia,2007,1,1,1,1,1.74,5.77,7.25,14.249503,73.5,9.71,11,99.998284,8.4,5
Armenia_2008,Armenia,Asia,2008,1,1,1,1,1.92,6.54,8.090000000000003,14.631835,73.5,10.5,11,99.99831,9.1,5
