rank,country,average_efficiency,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
7,Albania,0.992964,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0.99064,1,0.97222,0.96159,0.98687,1,1,0.98314,1,1,NA,NA,NA,NA,NA,NA
43,Argentina,0.8774742857142858,0.85778,0.87547,0.88243,0.90649,0.88948,0.87414,0.85653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Armenia,0.99965,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.9937,1,1,1,1,1
45,Australia,0.8710634615384616,0.82014,0.84487,0.8477,0.83917,0.83754,0.7934,0.81014,0.80651,0.81391,0.8339,0.83774,0.86463,0.88764,0.91107,1,1,1,1,1,0.89547,0.87399,0.83137,0.82843,0.83074,0.81716,0.82213,NA
47,Austria,0.8518514814814815,0.90034,0.87806,0.83751,0.83762,0.82436,0.82721,0.81713,0.83514,0.81284,0.84938,0.83736,0.85535,0.87979,0.8454,0.83672,0.70582,0.82321,0.73072,0.84928,0.82681,0.95754,0.82759,0.88838,0.8987,0.90191,0.91582,1
36,Azerbaijan,0.9040063636363637,NA,NA,NA,NA,NA,0.81375,0.79979,0.88218,0.86382,0.84921,1,0.92109,1,0.84217,0.97206,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Belarus,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Belgium,0.8451719230769231,0.9438,0.9074,0.83404,0.83034,0.82189,0.822,0.82934,0.86797,0.81389,0.70275,0.66965,0.73740000000000006,0.83876,0.81112,0.80145,0.83308,0.80678,0.78734,0.77971,0.80998,0.87681,0.91589,0.94689,1,0.98619,1,NA
33,Bulgaria,0.9086488888888888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76731,0.71209,0.82432,0.91777,0.9954,0.99889,0.99237,1,0.96969,NA,NA
61,Canada,0.7697087499999999,0.71447,0.72033,0.72605,0.73659,0.73696,0.74157,0.76711,0.75911,0.75719,0.77694,0.74818,0.80888,0.82102,0.83489,0.84181,0.82424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
