rank,country,average_efficiency,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
7,Albania,0.992964,NA,NA,NA,NA,NA,NA,1,1,1,1,1,220,1,273,309,230,1,1,241,1,1,NA,NA,NA,NA,NA,NA
43,Argentina,0.8774742857142858,617,583,558,493,541,585,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Armenia,0.99965,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,211,1,1,1,1,1
45,Australia,0.8710634615384616,723,649,642,665,673,761,744,749,737,688,669,605,547,481,1,1,1,1,1,525,587,692,700,694,732,714,NA
47,Austria,0.8518514814814815,511,577,674,671,708,703,733,684,741,636,676,624,572,647,679,834,711,826,637,704,320,701,545,515,509,463,1
36,Azerbaijan,0.9040063636363637,NA,NA,NA,NA,NA,739,756,561,606,638,1,441,1,659,274,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Belarus,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Belgium,0.8451719230769231,362,491,686,696,717,715,699,600,738,835,840,823,666,742,754,689,748,770,783,745,581,461,351,1,234,1,NA
33,Bulgaria,0.9086488888888888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,805,833,709,450,206,196,214,1,283,NA,NA
61,Canada,0.7697087499999999,832,830,828,825,824,821,806,814,816,789,818,746,718,685,660,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Chile,0.92383,485,460,400,343,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Colombia,0.9901666666666666,NA,NA,226,216,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
