dmu,country,continent,efficiency_crs,efficiency_vrs,income,hdi,hpi,cluster
Albania_1996,Albania,Europe,1,1,4.91,0.646,NA,5
Albania_1997,Albania,Europe,1,1,4.4,0.645,NA,5
Albania_1998,Albania,Europe,1,1,4.82,0.655,NA,5
Albania_1999,Albania,Europe,0.98952,1,5.48,0.665,NA,5
Albania_2000,Albania,Europe,0.94907,1,5.89,0.671,NA,5
Albania_2001,Albania,Europe,0.9364,0.99064,6.44,0.678,NA,5
Albania_2002,Albania,Europe,0.95695,1,6.75,0.684,NA,5
Albania_2003,Albania,Europe,0.94321,0.97222,7.15,0.691,NA,5
Albania_2004,Albania,Europe,0.93026,0.96159,7.58,0.696,NA,5
Albania_2005,Albania,Europe,0.95182,0.98687,8.04,0.706,NA,5
Albania_2006,Albania,Europe,0.96336,1,8.57,0.713,46.74260972,5
Albania_2007,Albania,Europe,0.9393,1,9.15,0.722,46.08787168,5
Albania_2008,Albania,Europe,0.88875,0.98314,9.91,0.728,49.4192236,5
Albania_2009,Albania,Europe,0.87244,1,10.3,0.733,52.23617081,5
Albania_2010,Albania,Europe,0.89407,1,10.7,0.745,51.34420037,5
Argentina_1990,Argentina,Americas,0.85653,0.85778,14.1,0.718,NA,5
Argentina_1991,Argentina,Americas,0.87245,0.87547,15.2,0.725,NA,5
Argentina_1992,Argentina,Americas,0.87841,0.88243,16.2,0.73,NA,5
Argentina_1993,Argentina,Americas,0.89732,0.90649,17.3,0.735,NA,5
Argentina_1994,Argentina,Americas,0.88819,0.88948,18.1,0.739,NA,5
Argentina_1995,Argentina,Americas,0.86832,0.87414,17.4,0.741,NA,5
Argentina_1996,Argentina,Americas,0.85653,0.85653,18.1,0.748,NA,5
Armenia_1999,Armenia,Asia,0.96867,1,3.8,0.664,NA,5
Armenia_2000,Armenia,Asia,0.94545,1,4.05,0.669,NA,5
Armenia_2001,Armenia,Asia,0.97051,1,4.46,0.673,NA,5
Armenia_2002,Armenia,Asia,0.98422,1,5.08,0.682,NA,5
Armenia_2003,Armenia,Asia,0.95569,1,5.82,0.691,NA,5
Armenia_2004,Armenia,Asia,0.92628,1,6.47,0.7,NA,5
Armenia_2005,Armenia,Asia,0.93859,1,7.42,0.712,NA,5
Armenia_2006,Armenia,Asia,1,1,8.46,0.726,45.13628386,5
Armenia_2007,Armenia,Asia,1,1,9.71,0.741,47.62238071,5
Armenia_2008,Armenia,Asia,1,1,10.5,0.745,44.33711868,5
Armenia_2009,Armenia,Asia,0.88663,1,9.05,0.742,42.42413062,5
Armenia_2010,Armenia,Asia,0.92764,1,9.29,0.747,43.97572775,5
Armenia_2011,Armenia,Asia,0.90837,0.9937,9.73,0.751,42.40577199,5
Armenia_2012,Armenia,Asia,0.92274,1,10.4,0.756,42.39224941,5
Armenia_2013,Armenia,Asia,0.95218,1,10.7,0.762,42.90328561,5
Armenia_2014,Armenia,Asia,0.94631,1,11,0.764,44.22863254,5
Armenia_2015,Armenia,Asia,0.98594,1,11.3,0.768,43.89880496,5
Armenia_2016,Armenia,Asia,0.9624,1,11.3,0.766,44.13751633,5
Australia_1990,Australia,Oceania,0.78707,0.82014,31,0.871,NA,2
Australia_1991,Australia,Oceania,0.82288,0.84487,30.5,0.871,NA,2
Australia_1992,Australia,Oceania,0.8264,0.8477,30.3,0.873,NA,2
Australia_1993,Australia,Oceania,0.81434,0.83917,31.2,0.876,NA,2
Australia_1994,Australia,Oceania,0.81039,0.83754,32.1,0.879,NA,2
Australia_1995,Australia,Oceania,0.76652,0.7934,32.9,0.888,NA,2
Australia_1996,Australia,Oceania,0.7851,0.81014,33.7,0.89,NA,2
Australia_1997,Australia,Oceania,0.7806,0.80651,34.7,0.893,NA,2
Australia_1998,Australia,Oceania,0.78885,0.81391,35.9,0.896,NA,2
Australia_1999,Australia,Oceania,0.81085,0.8339,37.2,0.9,NA,2
Australia_2000,Australia,Oceania,0.81085,0.83774,38.2,0.903,NA,2
Australia_2001,Australia,Oceania,0.82861,0.86463,38.5,0.905,NA,2
Australia_2002,Australia,Oceania,0.83023,0.88764,39.5,0.907,NA,2
Australia_2003,Australia,Oceania,0.83953,0.91107,40.3,0.909,NA,2
Australia_2004,Australia,Oceania,0.81114,1,41.5,0.911,NA,2
Australia_2005,Australia,Oceania,0.90093,1,42.2,0.906,NA,2
Australia_2006,Australia,Oceania,0.88669,1,42.7,0.909,NA,2
Australia_2007,Australia,Oceania,0.8374,1,44.1,0.912,40.03810372,2
Australia_2008,Australia,Oceania,0.89309,1,44.7,0.926,39.23511438,2
Australia_2009,Australia,Oceania,0.83439,0.89547,44.6,0.928,41.04069394,2
Australia_2010,Australia,Oceania,0.83498000000000006,0.87399,44.9,0.93,41.8168227,2
Australia_2011,Australia,Oceania,0.80926,0.83137,45.4,0.932,40.38357785,2
Australia_2012,Australia,Oceania,0.80447,0.82843,46.4,0.937,41.61878076,2
Australia_2013,Australia,Oceania,0.80221,0.83074,46.7,0.931,44.44091242,2
Australia_2014,Australia,Oceania,0.78177,0.81716,47.2,0.933,46.24773447,2
Australia_2015,Australia,Oceania,0.77562,0.82213,47.6,0.938,47.56684669,2
Austria_1990,Austria,Europe,0.89568,0.90034,37.5,0.803,NA,2
Austria_1991,Austria,Europe,0.8589,0.87806,38.4,0.808,NA,2
Austria_1992,Austria,Europe,0.82103,0.83751,38.8,0.813,NA,4
Austria_1993,Austria,Europe,0.81191,0.83762,38.7,0.817,NA,4
Austria_1994,Austria,Europe,0.78485,0.82436,39.4,0.821,NA,4
Austria_1995,Austria,Europe,0.78969,0.82721,40.4,0.825,NA,4
Austria_1996,Austria,Europe,0.79,0.81713,41.3,0.829,NA,4
Austria_1997,Austria,Europe,0.80617,0.83514,42.1,0.832,NA,4
Austria_1998,Austria,Europe,0.80261,0.81284,43.6,0.837,NA,4
Austria_1999,Austria,Europe,0.83537,0.84938,45.1,0.842,NA,4
Austria_2000,Austria,Europe,0.83273,0.83736,46.5,0.847,NA,4
Austria_2001,Austria,Europe,0.84375,0.85535,46.9,0.857,NA,4
Austria_2002,Austria,Europe,0.86679,0.87979,47.4,0.847,NA,4
