dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,continent
Albania_1996,Albania,1996,0.99329,0.651,4.28,447.18,74.5,4.91,8.2,99.99177,9.2,0.6466300246045268,4.251269593406104,444.1782095278843,74.5,5.101290599717931,8.574215548452733,100.18945013583418,Europe
Albania_1997,Albania,1997,1,0.498,4.03,447.9,72.9,4.4,8.3,99.9604,9.066666666666666,0.4980000000000001,4.030000000000001,447.9000000000001,72.90000000000002,4.400000000000001,8.300000000000002,99.96040000000004,Europe
Albania_1998,Albania,1998,1,0.563,4.36,448.23,74.8,4.82,8.5,99.9808,8.933333333333334,0.563,4.36,448.23,74.8,4.82,8.5,99.9808,Europe
Albania_1999,Albania,1999,0.96877,0.956,4.73,448.72,75.1,5.48,8.6,99.9846,8.8,0.9261397733221549,4.582260593947927,434.7044341894995,75.09999999999998,6.189292211389706,8.866867322840648,102.04243003802546,Europe
Albania_2000,Albania,2000,0.96237,0.966,5.55,445.89,75.4,5.89,8.8,99.99604,8.666666666666666,0.9296497847468554,5.3411555955935475,429.1113276612317,75.40000000002047,6.286838126234062,8.80000000000324,101.45259975743947,Europe
Albania_2001,Albania,2001,0.9581,1.03,6.1,444.71,76,6.44,8.7,99.99242,8.533333333333333,0.9868413954927455,5.844400497578777,426.0759582423403,75.99999999999999,6.623054336504985,8.773688846683442,101.68745064171169,Europe
Albania_2002,Albania,2002,0.94176,1.2,6.13,446.9,75.9,6.75,9,99.9926,8.4,1.1301134856419202,5.772996389153112,420.873097277814,75.9000000000138,7.0824259709937225,9.000000000002185,102.63954569027027,Europe
Albania_2003,Albania,2003,0.90539,1.38,7.48,446.83,75.6,7.15,9,99.99447,8.4,1.2494399621711711,6.772326751476535,404.5559842731717,75.60000000002492,7.575695501045192,9.000000000003947,101.66273580050097,Europe
Albania_2004,Albania,2004,0.91165,1.34,8.33,445.25,75.8,7.58,9.1,99.99571,8.4,1.2216098453519726,7.062751432735199,405.91177883803414,75.8,7.580000000000204,9.1,101.41285909262237,Europe
Albania_2005,Albania,2005,0.91096,1.38,9.19,446.74,76.2,8.04,9.1,99.99611666666668,8.4,1.2571316749905357,7.328878630806939,406.96449600382437,76.20000000000742,8.04,9.099999999996633,101.51703280022367,Europe
Albania_2006,Albania,2006,0.94463,1.27,9.15,446.35,76.9,8.57,9.2,99.99652333333331,8.566666666666666,1.199683898491577,7.204672186033529,421.6369355052829,76.89999999999998,8.57,9.199999999999998,102.38473810295963,Europe
Albania_2007,Albania,2007,0.95688,1.29,8.93,443.89,77.5,9.15,9.2,99.99693,8.733333333333334,1.2343810619261628,7.467267616024155,424.7514802933404,77.5,9.149999999999999,9.2,102.92888065537578,Europe
Albania_2008,Albania,2008,0.94194,1.46,9.39,440.32,77.6,9.91,9.2,99.99704,8.9,1.3752345384693425,8.123760444934106,414.7556657389239,77.59999999999998,9.91,9.200000000000001,102.80226637641627,Europe
Albania_2009,Albania,2009,0.95226,1.47,10.9,438.8,78,10.3,9.3,99.99737,8.9,1.3998158218698813,8.264618396396697,417.84978411375556,78.00000000288328,10.300000000254432,9.300000000490076,103.32398622535268,Europe
Albania_2010,Albania,2010,0.93934,1.56,8.96,440.86,78.1,10.7,9.3,99.9977,8.9,1.4653730602318014,8.416501679281394,414.11818418835145,78.1,10.699999999999998,9.299999999999493,103.30325559131164,Europe
Argentina_1990,Argentina,1990,0.76749,3.43,9.58,448.7,72.5,14.1,7.88,99.99485,4.75,2.4791129049873035,7.352528194605701,344.37154498109345,72.49999999998882,14.09999999999862,10.717804946324703,99.99484999998369,Americas
Argentina_1991,Argentina,1991,0.74399,3.54,11.3,448.71,72.7,15.2,8,99.9956,4.8,2.633716869660536,8.407062324057621,333.8347730467318,72.7143613267619,15.199999999999486,10.703946724109043,99.99559999999622,Americas
Argentina_1992,Argentina,1992,0.74697,3.61,11.9,448.06,72.8,16.2,8,99.9953,4.6,2.6965464850445637,8.88889284543776,334.6854897753657,72.9316239896887,16.199999999999974,10.747189202109649,99.99529999999754,Americas
Argentina_1993,Argentina,1993,0.76836,3.46,11.9,448.82,73,17.3,8.1,99.99577,4.5,2.6585101989487505,9.143431031066534,344.85333742549574,73.76320435626465,17.299999999999635,10.998848484737838,99.99576999999407,Americas
Argentina_1994,Argentina,1994,0.76477,3.55,12.7,448.59,73.4,18.1,8.2,99.99551,4.4,2.714950209452977,9.712638777479672,343.070285762963,74.58988473786674,18.099999999999923,11.154134880166124,99.99550999999508,Americas
Argentina_1995,Argentina,1995,0.75696,3.67,12.2,447.83,73.4,17.4,8.3,99.99578,3.8,2.7780410376246327,9.234904811722165,338.9891329371286,73.3999999999936,17.399999999999782,10.810407999556244,99.99577999998836,Americas
Argentina_1996,Argentina,1996,0.75894,3.82,12.3,447.45,73.5,18.1,8.5,99.99535,3.5,2.8991550878361814,9.334975806383511,339.5882052492857,73.49999999999879,18.1,10.72543844126265,99.99534999999739,Americas
Armenia_1999,Armenia,1999,0.96818,0.988,3.04,443.39,71.9,3.8,10.7,99.99742,7.6,0.9565583951504306,2.9432566004636214,429.2797842367384,71.90000000000451,5.034781481473264,10.7,104.30434520005242,Asia
