dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,continent
Albania_1996,Albania,1996,1,0.651,4.28,447.18,74.5,4.91,8.2,99.99177,9.2,0.6510000001740873,4.280000001118814,447.1800000582246,74.5000000120747,4.910000000846834,8.2000000033057,99.99177001929968,Europe
Albania_1997,Albania,1997,1,0.498,4.03,447.9,72.9,4.4,8.3,99.9604,9.066666666666666,0.4980000000000001,4.030000000000001,447.9000000000001,72.90000000000002,4.400000000000001,8.300000000000002,99.96040000000004,Europe
Albania_1998,Albania,1998,1,0.563,4.36,448.23,74.8,4.82,8.5,99.9808,8.933333333333334,0.563000000000369,4.3600000000028585,448.23000000029384,74.80000000004902,4.8200000000031595,8.50000000000557,99.98080000006554,Europe
Albania_1999,Albania,1999,0.97748,0.956,4.73,448.72,75.1,5.48,8.6,99.9846,8.8,0.934469952137301,4.623475809215329,438.61439008694447,75.1,7.746289430169121,8.600000000000243,99.98841512396719,Europe
Albania_2000,Albania,2000,1,0.966,5.55,445.89,75.4,5.89,8.8,99.99604,8.666666666666666,0.9659999999632995,5.5499999998224165,445.889999984798,75.39999999735876,5.889999999808962,8.799999999693474,99.99603999646234,Europe
Albania_2001,Albania,2001,0.99724,1.03,6.1,444.71,76,6.44,8.7,99.99242,8.533333333333333,1.0271621698984377,6.083193433379096,443.4847461898389,76,8.003726970469266,8.700000000000001,99.99242000000119,Europe
Albania_2002,Albania,2002,0.97944,1.2,6.13,446.9,75.9,6.75,9,99.9926,8.4,1.1753292230004742,6.003973447494091,437.71219146576004,75.9,8.940287323195315,9,99.9926,Europe
Albania_2003,Albania,2003,0.93658,1.38,7.48,446.83,75.6,7.15,9,99.99447,8.4,1.2924791313430295,7.005611523511493,418.4916306217433,75.60000000000001,7.557383291028367,9,99.99447000000247,Europe
Albania_2004,Albania,2004,0.95084,1.34,8.33,445.25,75.8,7.58,9.1,99.99571,8.4,1.2741287262187424,7.906373753034717,423.36254875050577,75.8000000272218,8.256830086086122,9.100000003245677,99.99571003489909,Europe
Albania_2005,Albania,2005,0.95157,1.38,9.19,446.74,76.2,8.04,9.1,99.99611666666668,8.4,1.313160912306788,8.155031763709735,425.1025405535756,76.2,8.467310398285582,9.1,99.99611666666894,Europe
Albania_2006,Albania,2006,0.98592,1.27,9.15,446.35,76.9,8.57,9.2,99.99652333333331,8.566666666666666,1.2521220078427195,8.455588537344001,440.06666000047056,76.89999999999999,8.74134002576177,9.200000000000001,99.99652333333331,Europe
Albania_2007,Albania,2007,1,1.29,8.93,443.89,77.5,9.15,9.2,99.99693,8.733333333333334,1.2900000000023324,8.930000000016147,443.8900000008026,77.50000000014013,9.150000000016545,9.200000000016633,99.99693000018081,Europe
Albania_2008,Albania,2008,0.98591,1.46,9.39,440.32,77.6,9.91,9.2,99.99704,8.9,1.4394299305993692,9.257703457758952,434.11629249418775,77.59999999999998,9.909999999999998,9.199999999999998,99.99703999999998,Europe
Albania_2009,Albania,2009,1,1.47,10.9,438.8,78,10.3,9.3,99.99737,8.9,1.470000000000059,10.90000000000044,438.80000000001763,78.00000000000314,10.300000000000415,9.300000000000374,99.99737000000403,Europe
Albania_2010,Albania,2010,1,1.56,8.96,440.86,78.1,10.7,9.3,99.9977,8.9,1.56,8.96,440.86,78.1,10.7,9.3,99.9977,Europe
Argentina_1990,Argentina,1990,0.76749,3.43,9.58,448.7,72.5,14.1,7.88,99.99485,4.75,2.47911577443814,7.352529066262164,344.37158580707086,72.4999999999985,14.099999999999813,10.717801640464431,99.99490044839199,Americas
Argentina_1991,Argentina,1991,0.7447,3.54,11.3,448.71,72.7,15.2,8,99.9956,4.8,2.636223441670295,8.415063528495574,334.152491670022,73.08130706419934,15.200000000000001,10.785824701782154,99.99560000000243,Americas
Argentina_1992,Argentina,1992,0.74719,3.61,11.9,448.06,72.8,16.2,8,99.9953,4.6,2.6973476792387294,8.891533901091657,334.78493106917057,72.85731870874254,16.2,10.750980393178924,99.99529999999957,Americas
Argentina_1993,Argentina,1993,0.76844,3.46,11.9,448.82,73,17.3,8.1,99.99577,4.5,2.658818397828337,9.144491021432719,344.8933159865071,73.54470129329852,17.3,10.978366132844984,99.9957699999996,Americas
Argentina_1994,Argentina,1994,0.76478,3.55,12.7,448.59,73.4,18.1,8.2,99.99551,4.4,2.7149638892311123,9.712687716404279,343.0720143859722,74.59052726559726,18.09999999999983,11.154233415328793,99.99622487379472,Americas
Argentina_1995,Argentina,1995,0.75738,3.67,12.2,447.83,73.4,17.4,8.3,99.99578,3.8,2.779575781476592,9.240006685017551,339.1764093238861,73.50525818635099,17.400000000000002,10.846319914885227,99.99578000000062,Americas
Argentina_1996,Argentina,1996,0.75894,3.82,12.3,447.45,73.5,18.1,8.5,99.99535,3.5,2.8991567938862266,9.334981299685943,339.58840508490084,73.49999999999652,18.099999999999728,10.725436718970567,99.99544923609123,Americas
Armenia_1999,Armenia,1999,0.9868,0.988,3.04,443.39,71.9,3.8,10.7,99.99742,7.6,0.9749572152777087,2.9998683547006424,437.53672032589395,71.9,4.964562227039389,10.700000000000001,99.99742000000012,Asia
Armenia_2000,Armenia,2000,1,1.14,2.43,444.55,72.4,4.05,10.8,99.99778,7.65,1.1400000010688522,2.430000002635946,444.5499999301333,72.40000000904449,4.050000036286861,10.80000000363277,99.99778001097779,Asia
Armenia_2001,Armenia,2001,1,1.16,2.75,446.7,72.5,4.46,10.7,99.99824,7.7,1.160000000564527,2.7500000010951364,446.7000002124122,72.50000003511813,4.460000001814775,10.700000005305347,99.99824004854639,Asia
Armenia_2002,Armenia,2002,1,1.01,2.92,445.34,72.7,5.08,10.8,99.99775,8,1.0099999999986968,2.9199999999962323,445.33999999942534,72.6999999999062,5.079999999993445,10.799999999986065,99.99774999987098,Asia
Armenia_2003,Armenia,2003,1,1.15,3.35,445.62,72.8,5.82,10.8,99.99818,8.7,1.1500000874064358,3.3500003166453802,445.6200199172758,72.80000361433181,5.820000506948841,10.800000478466682,99.99818485617007,Asia
Armenia_2004,Armenia,2004,0.99538,1.23,3.96,443.09,73,6.47,10.8,99.998206,7.6,1.224312180268452,3.9416879960418836,441.04104375723506,73.0000000063447,6.470000005165301,10.800000001016683,99.99820600764185,Asia
Armenia_2005,Armenia,2005,0.97995,1.47,4.41,444.04,73,7.42,10.9,99.998232,8.1,1.440527001651702,4.321581004955106,435.13714953293993,73.00000000000001,7.419999999999999,10.900000000000002,99.99823199999574,Asia
Armenia_2006,Armenia,2006,0.98325,1.49,4.8,442.69,73.1,8.46,10.9,99.998258,8.9,1.4650364237916227,4.719580423870324,435.27313696888734,73.10000007755838,8.460000010715305,10.907363387576972,99.99825810204322,Asia
Armenia_2007,Armenia,2007,0.96577,1.74,5.77,442.75,73.5,9.71,11,99.998284,8.4,1.6804411263118624,5.572497297677366,427.5950050537493,73.50000003270641,9.710000002055573,11.000000004827013,99.99828404510437,Asia
Armenia_2008,Armenia,2008,0.94466,1.92,6.54,441.91,73.5,10.5,11,99.99831,9.1,1.8137450950923766,6.178069230176175,417.4542161320872,73.50000000076261,10.50000000011686,11.000000000117794,99.99831000100494,Asia
Armenia_2009,Armenia,2009,0.96816,1.51,6.48,441.21,73.6,9.05,11.1,99.998355,9.4,1.4619265936481427,6.273698229695343,427.1633326082676,73.6,9.05,11.100000000000001,99.99835499998413,Asia
Armenia_2010,Armenia,2010,0.98137,1.48,6.25,444.28,73.9,9.29,11.1,99.9984,9.1,1.452430461494459,6.133574584013761,436.0039225320602,73.90000000000002,9.29,11.099999999999998,99.99839999998974,Asia
Armenia_2011,Armenia,2011,0.97398,1.73,6.3,443.56,74.2,9.73,11.2,99.998445,9,1.6849773925623994,6.13604483996712,432.0165157485421,74.2,9.730000000000933,11.2,99.99844499999888,Asia
Armenia_2012,Armenia,2012,0.97437,1.99,6.63,445.32,74.6,10.4,11.3,99.99849,9,1.8569501146090823,6.460092441742875,433.9077475349828,74.60000000000001,10.4,11.299999999999999,99.99848999999985,Asia
Armenia_2013,Armenia,2013,0.9965,1.91,6.96,446.89,75.1,10.7,11.4,99.9989,8.6,1.870431806114584,6.93564420855395,445.32615522423487,75.1000000000217,10.700000000000001,11.400000000000002,99.99889999999985,Asia
Armenia_2014,Armenia,2014,1,1.91,7.16,446.5,75.2,11,11.5,99.999036,8.4,1.9099999999999844,7.159999999999942,446.49999999999636,75.19999999999939,10.999999999999911,11.499999999999908,99.9990359999992,Asia
Armenia_2015,Armenia,2015,1,1.65,7.37,448.26,75.1,11.3,11.6,99.99888,8.2,1.65,7.37,448.26,75.1,11.3,11.6,99.99888,Asia
Armenia_2016,Armenia,2016,1,1.76,7.86,446.84,75.3,11.3,11.7,99.99899,7.9,1.7599999999996387,7.8599999999983865,446.83999999990823,75.29999999998454,11.29999999999768,11.699999999997598,99.99898999997947,Asia
Australia_1990,Australia,1990,0.51514,16.4,40.3,447.28,77,31,11.2,99.99786,7.35,6.0423964841284725,20.76000771206545,230.41032877019123,78.4653572581292,30.999999999993776,11.19999999999135,99.99830262119738,Oceania
Australia_1991,Australia,1991,0.54365,16.3,40.8,449.199,77.4,30.5,11.8,99.99808,7.4,6.156586932684278,22.18089505681148,244.20676173099656,78.44223210655116,30.730507131527478,11.8,99.99905325882341,Oceania
Australia_1992,Australia,1992,0.57108,16.4,37,448.48,77.6,30.3,11.8,99.99832,7.449999999999999,6.181780126481403,21.12993922793485,256.11770662012225,78.26590565806784,30.3,11.8,99.99894477709313,Oceania
Australia_1993,Australia,1993,0.58697,16.4,35.4,448.3,77.9,31.2,11.8,99.99817,7.5,6.329278114694247,20.77891175746113,263.14085143698964,78.3587741461421,31.2,11.800000000000002,99.99876401864452,Oceania
Australia_1994,Australia,1994,0.59362,16.5,34.9,448.62,78,32.1,11.8,99.99823,7.55,6.4915964935401185,20.717379635318807,266.31033959875634,78.49378251584531,32.100000000001145,11.8,99.99866092636213,Oceania
Australia_1995,Australia,1995,0.56909,17,38.3,446.39,78.3,32.9,11.8,99.99839,7.6,6.6939126871949615,21.79628062363791,254.03764249572185,78.77879989546304,32.900000000000006,11.800000000000002,99.99887341137527,Oceania
Australia_1996,Australia,1996,0.56277,17.2,39.2,448.86,78.5,33.7,11.8,99.99826,7.566666666666666,6.854533971694209,22.06073059316312,252.60662076650556,78.94526314381916,33.700000000001495,11.8,99.99886739446598,Oceania
Australia_1997,Australia,1997,0.5605,17.5,39.9,448.14,78.8,34.7,11.8,99.99832,7.533333333333333,7.053909433547368,22.36392369525183,251.18217455613362,79.14935823149588,34.70000000000001,11.8,99.9988525306384,Oceania
Australia_1998,Australia,1998,0.54808,18,42,448.1,79.1,35.9,11.8,99.99844,7.5,7.308080794893762,23.019212260043368,245.59307175535477,79.43669773976056,35.900000000000006,11.8,99.99891288644797,Oceania
Australia_1999,Australia,1999,0.55954,18.3,41.7,449.432,79.4,37.2,11.9,99.99845,7.466666666666667,7.574323393669549,23.332942198826093,251.4765198633861,79.65789627088456,37.20000000000001,11.9,99.99898852369064,Oceania
Australia_2000,Australia,2000,0.58296,18.5,39.8,446.42,79.7,38.2,11.9,99.99841,7.433333333333334,7.644736017510166,23.20183668975714,260.2453250009112,79.76760373569812,38.19999999999769,11.899999999996783,99.9989882163102,Oceania
Australia_2001,Australia,2001,0.59117,18.6,40,447.17,80.1,38.5,11.9,99.99842,7.4,7.787692568224311,23.646693735672496,264.35230094448747,80.09999999999998,38.5,11.9,99.99914592165936,Oceania
Australia_2002,Australia,2002,0.59442,18.7,40.2,446.29,80.3,39.5,11.8,99.99854,7.4,7.802835505022855,23.895537437313276,265.2820746989687,80.30000000000001,39.50000000000001,11.800000000000002,99.99922453906953,Oceania
Australia_2003,Australia,2003,0.57627,18.9,42.9,448.08,80.6,40.3,11.8,99.99873,7.4,7.900170230389543,24.722001337938618,258.2152531353364,80.6,40.300000000000004,11.8,99.99935020835287,Oceania
Australia_2004,Australia,2004,0.59498,19.3,42.3,443.01,80.9,41.5,11.8,99.999252,7.7,8.017460838174438,25.167599803092592,263.58152219300194,80.89999999997836,41.49999999999704,11.799999999997425,99.99942954697366,Oceania
