dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_input.government_debt,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,target_output.income_share_20,continent
Albania_1996,Albania,1996,1,0.651,4.28,61.32,34.69009,74.5,4.91,8.2,99.99177,9.2,0.6509999999999989,4.279999999999993,61.3199999999999,34.69008999999994,74.49999999999987,4.909999999999992,8.199999999999985,99.99176999999983,9.199999999999983,Europe
Albania_1997,Albania,1997,1,0.498,4.03,60.6,51.409343,72.9,4.4,8.3,99.9604,9.066666666666666,0.4979999999996997,4.02999999999757,60.59999999996346,51.409342999969,72.89999999995604,4.3999999999973465,8.299999999994995,99.96039999993972,9.066666666661199,Europe
Albania_1998,Albania,1998,1,0.563,4.36,60.27,57.010235,74.8,4.82,8.5,99.9808,8.933333333333334,0.5630000000000001,4.360000000000001,60.27000000000002,57.010235000000016,74.80000000000001,4.820000000000001,8.500000000000002,99.98080000000003,8.933333333333335,Europe
Albania_1999,Albania,1999,0.98952,0.956,4.73,59.78,57.789526,75.1,5.48,8.6,99.9846,8.8,0.9459847012257719,4.680447318826256,59.15372953899231,55.70811683338195,75.1,5.479999999999999,8.7014043487688,100.84949800141418,8.800000000005625,Europe
Albania_2000,Albania,2000,0.94907,0.966,5.55,62.61,63.376463,75.4,5.89,8.8,99.99604,8.666666666666666,0.9167994883561892,4.932147302120802,59.42113454035301,58.41050936250602,75.40000000000003,5.889999999994412,8.799999999999999,100.99599020906156,8.990326057589211,Europe
Albania_2001,Albania,2001,0.9364,1.03,6.1,63.79,60.609729,76,6.44,8.7,99.99242,8.533333333333333,0.9644878947068671,5.297275938792163,59.732701750826216,56.7547086620941,76,6.440000000000001,8.73237771165558,101.63950504277953,8.857410451989189,Europe
Albania_2002,Albania,2002,0.95695,1.2,6.13,61.6,64.097402,75.9,6.75,9,99.9926,8.4,1.1483412794484684,5.370749202607031,58.94818567835471,59.723677500541584,75.9,6.749999999980438,9,101.70056046279191,9.01608895583652,Europe
Albania_2003,Albania,2003,0.94321,1.38,7.48,61.67,60.239906,75.6,7.15,9,99.99447,8.4,1.301635409608637,5.699932667938944,58.16801138446712,56.81912660948965,75.6,7.149999999999997,8.999999999999991,101.60929420468572,8.964117079873274,Europe
Albania_2004,Albania,2004,0.93026,1.34,8.33,63.25,57.472884,75.8,7.58,9.1,99.99571,8.4,1.2465515851667877,5.545420189095013,58.839095344626344,53.464861682318585,75.79999999999998,7.58,9.100000000000001,101.82355616300728,8.836937716671434,Europe
Albania_2005,Albania,2005,0.95182,1.38,9.19,61.76,58.199553,76.2,8.04,9.1,99.99611666666668,8.4,1.313513055978593,5.976671572935308,58.784468360317305,55.39555994030271,76.20000000000002,8.04,9.099999999999998,102.18517500277866,8.92504900775602,Europe
Albania_2006,Albania,2006,0.96336,1.27,9.15,62.15,56.690318,76.9,8.57,9.2,99.99652333333331,8.566666666666666,1.2234686262869865,6.061048945434822,59.87289379821396,54.61324841513855,76.900000000013,8.57000000000195,9.200000000002003,102.87634420392018,8.98979558764215,Europe
Albania_2007,Albania,2007,0.9393,1.29,8.93,64.61,53.550124,77.5,9.15,9.2,99.99693,8.733333333333334,1.2117029275789974,6.07087983517583,60.68846988440228,50.299877537223516,77.5,9.15,9.200000000000001,103.49608953638982,8.733333333337045,Europe
Albania_2008,Albania,2008,0.88875,1.46,9.39,68.18,55.140211,77.6,9.91,9.2,99.99704,8.9,1.297569071499648,6.5833769978784105,60.59469814715493,49.00563862298949,77.6,9.91,9.2,103.4917998210747,8.900000000003294,Europe
Albania_2009,Albania,2009,0.87244,1.47,10.9,69.7,59.67018,78,10.3,9.3,99.99737,8.9,1.2824797207382266,6.751469096588229,60.80873233704372,52.05836447809505,78.00000000000001,10.3,9.299999999999999,103.84882962995943,8.900000000004052,Europe
Albania_2010,Albania,2010,0.89407,1.56,8.96,67.64,57.710251,78.1,10.7,9.3,99.9977,8.9,1.3947439976108222,7.053960697476658,60.474669229741,51.596811655681826,78.09999999999997,10.7,9.3,103.98048431175913,8.90000000000382,Europe
Argentina_1990,Argentina,1990,0.85653,3.43,9.58,59.8,44.74283,72.5,14.1,7.88,99.99485,4.75,2.937912361554192,8.20559779116976,51.220746128587066,38.32376482449046,73.29845782181373,14.099999999999998,9.324163468273028,99.99484999998394,7.054633945895838,Americas
Argentina_1991,Argentina,1991,0.87245,3.54,11.3,59.79,32.934414,72.7,15.2,8,99.9956,4.8,3.088480391102116,9.746773787591827,52.16391033451422,28.73369825749564,74.38301258372161,15.199999999986929,8,99.99559999999433,5.711404036757779,Americas
Argentina_1992,Argentina,1992,0.87841,3.61,11.9,60.44,27.768231,72.8,16.2,8,99.9953,4.6,3.1710627482824196,10.43953616995616,53.09114473868952,24.391912163440534,73.52555131525537,16.199999999959715,7.999999999996106,99.99529999995966,6.375020901581138,Americas
Argentina_1993,Argentina,1993,0.89732,3.46,11.9,59.68,26.892714,73,17.3,8.1,99.99577,4.5,3.1047282494190958,10.678111609273323,53.552075700957104,24.13137828304522,74.05308934406625,17.299999999998924,8.099999999999612,99.99576999998841,6.2384350001667315,Americas
Argentina_1994,Argentina,1994,0.88819,3.55,12.7,59.91,28.425983,73.4,18.1,8.2,99.99551,4.4,3.1530862241577178,11.013787468703649,53.21166075750972,25.247767719821535,74.46973024044598,18.099999999993308,8.199999999997592,99.99550999997064,6.09177973275286,Americas
Argentina_1995,Argentina,1995,0.86832,3.67,12.2,60.67,30.74938,73.4,17.4,8.3,99.99578,3.8,3.1867246145913626,10.593471470844925,52.680812634082585,26.70021965376708,74.31363420819063,17.399999999991334,8.299999999996885,99.99577999996549,6.129163388180307,Americas
Argentina_1996,Argentina,1996,0.85653,3.82,12.3,61.05,32.550753,73.5,18.1,8.5,99.99535,3.5,3.2719536773064326,10.535348227978634,52.29130157056484,27.880773816084663,74.30471823256542,18.099999999999998,8.679573355248962,99.99534999999891,6.343234072033761,Americas
Armenia_1999,Armenia,1999,0.96867,0.988,3.04,65.11,39.190779,71.9,3.8,10.7,99.99742,7.6,0.9570495236738211,2.944767765150221,63.07033854899038,37.96307325339674,74.26241488586541,7.708770295303978,10.700000000000001,103.13036046208327,9.485282312032894,Asia
Armenia_2000,Armenia,2000,0.94545,1.14,2.43,63.95,39.58742,72.4,4.05,10.8,99.99778,7.65,1.077811769617684,2.297440877338435,60.461458479865044,34.42708322909139,72.39999999999576,8.298225743725201,10.799999999999999,99.99777999998874,9.178199703371842,Asia
Armenia_2001,Armenia,2001,0.97051,1.16,2.75,61.8,38.052612,72.5,4.46,10.7,99.99824,7.7,1.1257890704994773,2.6688965033361822,59.97738323867141,36.51927771883298,72.49999999999407,8.272699095119355,10.7,99.99823999998429,9.211908555585579,Asia
Armenia_2002,Armenia,2002,0.98422,1.01,2.92,63.16,38.247604,72.7,5.08,10.8,99.99775,8,0.994057352356399,2.873908385030381,62.16303205428728,37.643873233877244,72.92986963093223,7.881428983878561,10.8,101.6331498771544,9.360014510054649,Asia
Armenia_2003,Armenia,2003,0.95569,1.15,3.35,62.88,33.015776,72.8,5.82,10.8,99.99818,8.7,1.0990443830878687,3.201564072473357,60.093835485704666,31.552872318336746,72.80000000000001,9.338270920318395,10.8,99.99817999999158,9.49227434900298,Asia
Armenia_2004,Armenia,2004,0.92628,1.23,3.96,65.41,26.445878,73,6.47,10.8,99.998206,7.6,1.1393210443563644,3.5405332972652377,60.587796350729285,24.49621572511517,72.99999999999957,9.746308063725166,10.799999999999999,99.9982059999988,8.75465726822439,Asia
Armenia_2005,Armenia,2005,0.93859,1.47,4.41,64.46000000000001,20.467167,73,7.42,10.9,99.998232,8.1,1.379721179888972,4.139163539666916,60.50124303104937,19.210193062737844,73,10.423814762821582,10.899999999999999,99.99823199999824,8.507984794931609,Asia
Armenia_2006,Armenia,2006,1,1.49,4.8,65.81,16.182897,73.1,8.46,10.9,99.998258,8.9,1.49,4.8,65.81,16.182897,73.1,8.46,10.9,99.998258,8.9,Asia
Armenia_2007,Armenia,2007,1,1.74,5.77,65.75,14.249503,73.5,9.71,11,99.998284,8.4,1.7399999999999225,5.769999999999743,65.74999999999707,14.249502999999367,73.49999999999673,9.70999999999957,10.99999999999951,99.99828399999555,8.399999999999626,Asia
Armenia_2008,Armenia,2008,1,1.92,6.54,66.59,14.631835,73.5,10.5,11,99.99831,9.1,1.9200000000000403,6.540000000000138,66.59000000000141,14.63183500000031,73.50000000000155,10.500000000000222,11.000000000000233,99.9983100000021,9.100000000000191,Asia
Armenia_2009,Armenia,2009,0.88663,1.51,6.48,67.28999999999999,34.137963,73.6,9.05,11.1,99.998355,9.4,1.3388065895564714,4.989519281814139,59.66112278890679,30.267635641366002,73.59999999999998,12.780679150185637,11.099999999996612,100.15462431634433,9.4,Asia
Armenia_2010,Armenia,2010,0.92764,1.48,6.25,64.22,33.757017,73.9,9.29,11.1,99.9984,9.1,1.372907776053008,4.272598317969225,59.573065796052475,31.31437238893572,73.90000000018327,11.199567685669548,11.100000000029242,101.12424173837414,9.28604139541075,Asia
Armenia_2011,Armenia,2011,0.90837,1.73,6.3,64.94,35.702398,74.2,9.73,11.2,99.998445,9,1.57147967404363,4.759343863834428,58.98953181063886,32.43097848070209,74.19999999999999,11.848625795399157,11.200000000007838,101.59112400528363,9.34322852065548,Asia
Armenia_2012,Armenia,2012,0.92274,1.99,6.63,63.18,35.600487,74.6,10.4,11.3,99.99849,9,1.8362433193836984,5.86343383487214,58.29841855209202,32.84982734701316,74.60000000000059,13.806216877662296,11.3,101.79401134881586,9.308223037131228,Asia
Armenia_2013,Armenia,2013,0.95218,1.91,6.96,61.61,36.330625,75.1,10.7,11.4,99.9989,8.6,1.8186730792533534,5.104179615161525,58.664109116648895,34.59347101568003,75.09999999999998,12.040274404592605,11.400000000000004,103.12251062682378,9.521182662930643,Asia
Armenia_2014,Armenia,2014,0.94631,1.91,7.16,62,39.361634,75.2,11,11.5,99.999036,8.4,1.807453836502539,4.748613557940022,58.67127636814551,37.248343656706574,75.20000000000304,11.000000000000455,11.500000000000469,103.67209828344532,9.8257413633231,Asia
Armenia_2015,Armenia,2015,0.98594,1.65,7.37,60.24,44.132991,75.1,11.3,11.6,99.99888,8.2,1.626801197549363,4.674140020605947,59.39303281234767,39.176476822743126,75.09999999999998,11.299999999996968,11.600000000000003,103.17608946377729,10.042596750583119,Asia
Armenia_2016,Armenia,2016,0.9624,1.76,7.86,61.66,51.928903,75.3,11.3,11.7,99.99899,7.9,1.693827386285034,4.684119695728758,59.34170263541736,38.83065167645691,75.2999999999999,11.299999999999962,11.699999999999989,103.65983426054717,10.111157554597627,Asia
Australia_1990,Australia,1990,0.78707,16.4,40.3,61.22,12.10065,77,31,11.2,99.99786,7.35,11.577732681994489,31.71901348103306,48.18456588855683,9.524086364249698,77,39.64056162370481,11.200000000000001,103.7642867513489,8.204666137655696,Oceania
Australia_1991,Australia,1991,0.82288,16.3,40.8,59.301,11.933822,77.4,30.5,11.8,99.99808,7.4,12.245447252378645,33.57333057793257,48.79735481867696,9.8200527221595,77.4,39.91847456148224,11.799999999999962,102.09742339511857,7.950664623929776,Oceania
Australia_1992,Australia,1992,0.8264,16.4,37,60.02,14.297317,77.6,30.3,11.8,99.99832,7.449999999999999,10.470368085230081,30.576667197903205,49.60031257346351,11.815251452214158,77.6000000000002,38.250305083576265,11.8,103.57338904201508,8.3996337119328075,Oceania
Australia_1993,Australia,1993,0.81434,16.4,35.4,60.2,17.721274,77.9,31.2,11.8,99.99817,7.5,8.294539971187742,28.827540497822028,49.02310559234115,14.431094460677986,77.9,38.657481032164164,11.8,105.46382835687629,9.049740136766719,Oceania
Australia_1994,Australia,1994,0.81039,16.5,34.9,59.88,19.939369,78,32.1,11.8,99.99823,7.55,7.857328841949483,28.28272797573065,48.52635390219908,16.15873207549353,78.00000000000014,38.39070855765569,11.8,106.06630540400208,9.195331808526959,Oceania
Australia_1995,Australia,1995,0.76652,17,38.3,62.11,22.179058,78.3,32.9,11.8,99.99839,7.6,8.232891442009752,29.357612457706217,47.60838928846275,17.000631578093614,78.30000000000001,39.35579037913212,11.7999999999999,106.55221388354187,9.200491781893058,Oceania
Australia_1996,Australia,1996,0.7851,17.2,39.2,59.64,21.440305,78.5,33.7,11.8,99.99826,7.566666666666666,8.58588429764754,30.775976549000696,46.82345003526538,16.832814384781148,78.5,40.83583423826133,11.8,106.72857072669143,9.195702820363858,Oceania
Australia_1997,Australia,1997,0.7806,17.5,39.9,60.36,20.555428,78.8,34.7,11.8,99.99832,7.533333333333333,8.738206610953407,31.145918384816365,47.11698330094011,16.04555596122749,78.8,41.35668075946926,11.799999999999999,107.13769932823745,9.212081933582592,Oceania
Australia_1998,Australia,1998,0.78885,18,42,60.4,16.315651,79.1,35.9,11.8,99.99844,7.5,9.8660902860846,33.131622799186204,47.64642897787695,12.870571301313458,79.10000000000001,42.94799710677882,11.8,106.79597942415157,8.982802815825588,Oceania
Australia_1999,Australia,1999,0.81085,18.3,41.7,59.068,15.462984,79.4,37.2,11.9,99.99845,7.466666666666667,10.31281417690524,33.812271160644734,47.89504155676199,12.538096114165729,79.4,43.2090753098923,11.899999999999999,106.76548831700572,8.89648498519539,Oceania
Australia_2000,Australia,2000,0.81085,18.5,39.8,62.08,13.722086,79.7,38.2,11.9,99.99841,7.433333333333334,11.332248363089183,32.272021408468376,50.33786655873678,11.126619426151489,79.7,40.282078304614934,11.9,106.76107560814765,8.563045344063795,Oceania
Australia_2001,Australia,2001,0.82861,18.6,40,61.33,12.014315,80.1,38.5,11.9,99.99842,7.4,12.331762701195869,33.14441876047611,50.81868006450016,9.955187187006336,80.10000000000001,40.46874019229465,11.9,106.93066369564829,8.36666063380829,Oceania
Australia_2002,Australia,2002,0.83023,18.7,40.2,62.21,10.331498,80.3,39.5,11.8,99.99854,7.4,12.878889582173214,33.37525010152803,51.64861464716411,8.57752063864263,80.29999999999764,40.994557970871625,11.799999999999818,107.80265409025088,8.394300581064725,Oceania
Australia_2003,Australia,2003,0.83953,18.9,42.9,60.42,8.9980332,80.6,40.3,11.8,99.99873,7.4,13.569313112842151,36.015890086225255,50.724477366194115,7.554129946932531,80.59999999999998,44.0509113674931,11.8,108.27708758174388,8.440098255734304,Oceania
Australia_2004,Australia,2004,0.81114,19.3,42.3,65.49,8.1004753,80.9,41.5,11.8,99.999252,7.7,13.745782097682714,34.311018245853504,53.12124314233945,6.570580515801079,80.9,42.42009772782582,11.8,109.31106115314026,8.491618622271014,Oceania
Australia_2005,Australia,2005,0.90093,19.2,43,54.89,7.362435,81.2,42.2,11.7,99.999016,7.575,14.150713666146222,38.740185147436904,49.45229680797137,6.633071977580627,81.19999999999852,47.656439308582605,11.699999999999887,109.64205072959078,8.591669985494438,Oceania
Australia_2006,Australia,2006,0.88669,19.1,38.7,62.59,6.5611344,81.5,42.7,11.9,99.99878,7.45,13.878537497054667,34.31471886822635,55.49762930135108,5.817661043737656,81.5,42.7,11.900000000000002,109.11263674392669,8.30851485345794,Oceania
Australia_2007,Australia,2007,0.8374,19.2,45.6,63.7,6.0781049,81.5,44.1,12,99.999022,7.325,14.752095459617074,38.185604129211136,53.34260927699009,5.089826920333843,81.49999999999999,45.17636932386222,12.000000000000034,108.697959350202,8.265633194650118,Oceania
