dmu,country,year,efficiencies,life_expectancy.x,income_share_20.x,life_expectancy.y,income_share_20.y
Albania_1996,Albania,1996,0.76133,74.5,9.2,56.719266055045836,9.199999999999994
Albania_1997,Albania,1997,0.76677,72.9,9.066666666666666,55.89724770642194,9.066666666666654
Albania_1998,Albania,1998,0.7363,74.8,8.933333333333334,55.075229357798115,8.933333333333325
Albania_1999,Albania,1999,0.72241,75.1,8.8,54.25321100917429,8.799999999999995
Albania_2000,Albania,2000,0.70864,75.4,8.666666666666666,53.43119266055038,8.666666666666654
Albania_2001,Albania,2001,0.69223,76,8.533333333333333,52.609174311926544,8.533333333333323
Albania_2002,Albania,2002,0.68231,75.9,8.4,51.78715596330269,8.39999999999999
Albania_2003,Albania,2003,0.68502,75.6,8.4,51.787155963302716,8.399999999999993
Albania_2004,Albania,2004,0.68321,75.8,8.4,51.78715596330269,8.39999999999999
Albania_2005,Albania,2005,0.67962,76.2,8.4,51.787155963302716,8.399999999999993
Albania_2006,Albania,2006,0.6868,76.9,8.566666666666666,52.81467889908257,8.566666666666666
Albania_2007,Albania,2007,0.69474,77.5,8.733333333333334,53.842201834862394,8.733333333333334
Albania_2008,Albania,2008,0.70708,77.6,8.9,54.86972477064218,8.899999999999997
Albania_2009,Albania,2009,0.70346,78,8.9,54.869724770642165,8.899999999999993
Albania_2010,Albania,2010,0.70256,78.1,8.9,54.86972477064218,8.899999999999997
Argentina_1990,Argentina,1990,0.40392,72.5,4.75,29.284403669724767,4.749999999999999
Argentina_1991,Argentina,1991,0.40705,72.7,4.8,29.592660550458685,4.799999999999995
Argentina_1992,Argentina,1992,0.38956,72.8,4.6,28.359633027522918,4.599999999999997
Argentina_1993,Argentina,1993,0.38004,73,4.5,27.74311926605503,4.499999999999997
Argentina_1994,Argentina,1994,0.36957,73.4,4.4,27.126605504587143,4.399999999999998
Argentina_1995,Argentina,1995,0.31918,73.4,3.8,23.427522935779816,3.8
Argentina_1996,Argentina,1996,0.29358,73.5,3.5,21.577981651376138,3.4999999999999987
Armenia_1999,Armenia,1999,0.65167,71.9,7.6,46.85504587155959,7.599999999999993
Armenia_2000,Armenia,2000,0.65143,72.4,7.65,47.163302752293546,7.649999999999994
Armenia_2001,Armenia,2001,0.65478,72.5,7.7,47.471559633027525,7.7
Armenia_2002,Armenia,2002,0.67842,72.7,8,49.32110091743115,7.999999999999994
Armenia_2003,Armenia,2003,0.73677,72.8,8.7,53.63669724770638,8.699999999999992
Armenia_2004,Armenia,2004,0.64185,73,7.6,46.85504587155963,7.6
Armenia_2005,Armenia,2005,0.68408,73,8.1,49.93761467889907,8.099999999999998
Armenia_2006,Armenia,2006,0.75061,73.1,8.9,54.8697247706422,8.9
Armenia_2007,Armenia,2007,0.70459,73.5,8.4,51.787155963302716,8.399999999999993
Armenia_2008,Armenia,2008,0.7633,73.5,9.1,56.102752293577936,9.099999999999993
Armenia_2009,Armenia,2009,0.7874,73.6,9.4,57.95229357798161,9.399999999999991
Armenia_2010,Armenia,2010,0.75917,73.9,9.1,56.10275229357789,9.099999999999985
Armenia_2011,Armenia,2011,0.74779,74.2,9,55.48623853211005,8.999999999999993
Armenia_2012,Armenia,2012,0.74378,74.6,9,55.48623853211005,8.999999999999993
Armenia_2013,Armenia,2013,0.70599,75.1,8.6,53.020183486238516,8.599999999999998
Armenia_2014,Armenia,2014,0.68866,75.2,8.4,51.78715596330269,8.39999999999999
Armenia_2015,Armenia,2015,0.67316,75.1,8.2,50.554128440366924,8.199999999999992
Armenia_2016,Armenia,2016,0.64681,75.3,7.9,48.70458715596327,7.899999999999994
Australia_1990,Australia,1990,0.58849,77,7.35,45.31376146788991,7.3500000000000005
Australia_1991,Australia,1991,0.58943,77.4,7.4,45.62201834862378,7.399999999999989
Australia_1992,Australia,1992,0.59188,77.6,7.449999999999999,45.93027522935777,7.449999999999996
Australia_1993,Australia,1993,0.59356,77.9,7.5,46.23853211009172,7.4999999999999964
Australia_1994,Australia,1994,0.59675,78,7.55,46.54678899082569,7.55
Australia_1995,Australia,1995,0.5984,78.3,7.6,46.85504587155961,7.599999999999996
Australia_1996,Australia,1996,0.59426,78.5,7.566666666666666,46.64954128440366,7.566666666666665
Australia_1997,Australia,1997,0.58939,78.8,7.533333333333333,46.44403669724769,7.53333333333333
Australia_1998,Australia,1998,0.58456,79.1,7.5,46.23853211009172,7.4999999999999964
Australia_1999,Australia,1999,0.57976,79.4,7.466666666666667,46.03302752293581,7.466666666666671
Australia_2000,Australia,2000,0.575,79.7,7.433333333333334,45.82752293577984,7.433333333333336
Australia_2001,Australia,2001,0.56956,80.1,7.4,45.62201834862383,7.399999999999997
Australia_2002,Australia,2002,0.56814,80.3,7.4,45.62201834862382,7.399999999999995
Australia_2003,Australia,2003,0.56603,80.6,7.4,45.62201834862383,7.399999999999997
Australia_2004,Australia,2004,0.58679,80.9,7.7,47.471559633027475,7.699999999999991
Australia_2005,Australia,2005,0.57513,81.2,7.575,46.70091743119266,7.574999999999999
Australia_2006,Australia,2006,0.56356,81.5,7.45,45.93027522935777,7.449999999999996
Australia_2007,Australia,2007,0.55411,81.5,7.325,45.159633027522915,7.324999999999997
Australia_2008,Australia,2008,0.54332,81.7,7.2,44.38899082568806,7.199999999999998
Australia_2009,Australia,2009,0.54575,81.9,7.25,44.697247706421955,7.249999999999989
Australia_2010,Australia,2010,0.54818,82.1,7.3,45.005504587156,7.300000000000005
Australia_2011,Australia,2011,0.54872,82.3,7.325,45.15963302752293,7.324999999999999
Australia_2012,Australia,2012,0.54859,82.6,7.35,45.31376146788987,7.349999999999993
Australia_2013,Australia,2013,0.54979,82.7,7.375,45.46788990825689,7.375000000000002
Australia_2014,Australia,2014,0.55166,82.7,7.4,45.62201834862382,7.399999999999995
Australia_2015,Australia,2015,0.55166,82.7,7.4,45.62201834862382,7.399999999999995
Austria_1990,Austria,1990,0.76021,76,9.371428571428572,57.77614678899079,9.371428571428567
Austria_1991,Austria,1991,0.73144,76.1,9.028571428571428,55.66238532110092,9.028571428571428
Austria_1992,Austria,1992,0.70182,76.3,8.685714285714285,53.54862385321099,8.685714285714283
Austria_1993,Austria,1993,0.67235,76.5,8.342857142857143,51.43486238532106,8.342857142857136
Austria_1994,Austria,1994,0.64304,76.7,8,49.321100917431174,7.999999999999997
Austria_1995,Austria,1995,0.56047,77,7,43.155963302752276,6.999999999999997
Austria_1996,Austria,1996,0.60216,77.3,7.55,46.546788990825704,7.5500000000000025
Austria_1997,Austria,1997,0.6427,77.7,8.1,49.93761467889907,8.099999999999998
Austria_1998,Austria,1998,0.65424,77.9,8.266666666666666,50.965137614678866,8.266666666666662
Austria_1999,Austria,1999,0.66487,78.2,8.433333333333334,51.992660550458744,8.433333333333337
Austria_2000,Austria,2000,0.67542,78.5,8.6,53.020183486238516,8.599999999999998
Austria_2001,Austria,2001,0.66939,78.9,8.566666666666666,52.814678899082544,8.566666666666663
Austria_2002,Austria,2002,0.66594,79,8.533333333333333,52.609174311926594,8.533333333333331
Austria_2003,Austria,2003,0.6625,79.1,8.5,52.40366972477062,8.499999999999996
Austria_2004,Austria,2004,0.65917,79.5,8.5,52.40366972477061,8.499999999999995
Austria_2005,Austria,2005,0.67986,79.8,8.8,54.25321100917429,8.799999999999995
Austria_2006,Austria,2006,0.66192,80.1,8.6,53.02018348623852,8.599999999999998
Austria_2007,Austria,2007,0.61421,80.3,8,49.321100917431174,7.999999999999997
Austria_2008,Austria,2008,0.61268,80.5,8,49.321100917431174,7.999999999999997
Austria_2009,Austria,2009,0.58971,80.5,7.7,47.4715596330275,7.699999999999997
Austria_2010,Austria,2010,0.61041,80.8,8,49.321100917431174,7.999999999999997
Austria_2011,Austria,2011,0.59368,81,7.8,48.08807339449538,7.7999999999999945
Austria_2012,Austria,2012,0.59222,81.2,7.8,48.08807339449538,7.7999999999999945
Austria_2013,Austria,2013,0.61424,81.3,8.1,49.93761467889907,8.099999999999998
Austria_2014,Austria,2014,0.60517,81.5,8,49.321100917431174,7.999999999999997
Austria_2015,Austria,2015,0.59687,81.6,7.9,48.70458715596327,7.899999999999994
Austria_2016,Austria,2016,0.58034,81.8,7.7,47.471559633027496,7.699999999999995
Azerbaijan_1995,Azerbaijan,1995,0.67655,64.7,7.1,43.77247706422012,7.099999999999989
Azerbaijan_1996,Azerbaijan,1996,0.67505,65.3,7.1499999999999995,44.08073394495414,7.150000000000002
Azerbaijan_1997,Azerbaijan,1997,0.67563,65.7,7.2,44.38899082568805,7.199999999999996
Azerbaijan_1998,Azerbaijan,1998,0.67723,66,7.25,44.69724770642198,7.249999999999995
Azerbaijan_1999,Azerbaijan,1999,0.67984,66.2,7.3,45.00550458715597,7.300000000000002
Azerbaijan_2000,Azerbaijan,2000,0.68141,66.5,7.35,45.3137614678899,7.349999999999999
Azerbaijan_2001,Azerbaijan,2001,0.67991,67.1,7.4,45.62201834862383,7.399999999999997
Azerbaijan_2002,Azerbaijan,2002,1,67.2,10.9,67.19999999999996,10.899999999999995
Azerbaijan_2003,Azerbaijan,2003,0.93717,67.1,10.2,62.88440366972474,10.199999999999994
Azerbaijan_2004,Azerbaijan,2004,0.98165,67.2,10.7,65.96697247706416,10.69999999999999
Azerbaijan_2005,Azerbaijan,2005,0.98935,67.3,10.8,66.58348623853207,10.799999999999995
Belarus_1998,Belarus,1998,0.71206,68.4,7.9,48.70458715596328,7.899999999999997
Belarus_1999,Belarus,1999,0.68702,68.2,7.6,46.85504587155961,7.599999999999996
Belarus_2000,Belarus,2000,0.70586,69,7.9,48.70458715596328,7.899999999999997
Belarus_2001,Belarus,2001,0.73694,68.6,8.2,50.55412844036692,8.19999999999999
Belgium_1990,Belgium,1990,0.77266,76.2,9.55,58.87706422018346,9.549999999999997
Belgium_1991,Belgium,1991,0.76862,76.4,9.525,58.722935779816495,9.524999999999997
Belgium_1992,Belgium,1992,0.76561,76.5,9.5,58.56880733944948,9.49999999999999
Belgium_1993,Belgium,1993,0.74046,76.6,9.2,56.719266055045836,9.199999999999994
Belgium_1994,Belgium,1994,0.71445,76.8,8.9,54.86972477064218,8.899999999999997
Belgium_1995,Belgium,1995,0.68857,77,8.6,53.020183486238516,8.599999999999998
Belgium_1996,Belgium,1996,0.70185,77.3,8.8,54.25321100917429,8.799999999999995
Belgium_1997,Belgium,1997,0.71595,77.5,9,55.48623853211008,8.999999999999998
Belgium_1998,Belgium,1998,0.69824,77.7,8.8,54.25321100917429,8.799999999999995
Belgium_1999,Belgium,1999,0.68149,77.8,8.6,53.020183486238494,8.599999999999994
Belgium_2000,Belgium,2000,0.66394,78,8.4,51.787155963302716,8.399999999999993
Belgium_2001,Belgium,2001,0.66402,78.3,8.433333333333334,51.992660550458744,8.433333333333337
Belgium_2002,Belgium,2002,0.66494,78.5,8.466666666666667,52.19816513761469,8.466666666666669
Belgium_2003,Belgium,2003,0.66587,78.7,8.5,52.40366972477059,8.499999999999991
Belgium_2004,Belgium,2004,0.6547,79.1,8.4,51.787155963302745,8.399999999999999
Belgium_2005,Belgium,2005,0.67638,79.3,8.7,53.63669724770638,8.699999999999992
Belgium_2006,Belgium,2006,0.67383,79.6,8.7,53.63669724770638,8.699999999999992
Belgium_2007,Belgium,2007,0.66441,79.8,8.6,53.020183486238516,8.599999999999998
Belgium_2008,Belgium,2008,0.6713,79.9,8.7,53.636697247706365,8.69999999999999
Belgium_2009,Belgium,2009,0.65505,80,8.5,52.40366972477059,8.499999999999991
Belgium_2010,Belgium,2010,0.6611,80.2,8.6,53.020183486238494,8.599999999999994
Belgium_2011,Belgium,2011,0.65946,80.4,8.6,53.02018348623849,8.599999999999993
Belgium_2012,Belgium,2012,0.66629,80.5,8.7,53.63669724770638,8.699999999999992
Belgium_2013,Belgium,2013,0.657,80.7,8.6,53.020183486238516,8.599999999999998
Belgium_2014,Belgium,2014,0.65457,81,8.6,53.020183486238516,8.599999999999998
Belgium_2015,Belgium,2015,0.65376,81.1,8.6,53.020183486238516,8.599999999999998
Bulgaria_2006,Bulgaria,2006,0.49356,71.2,5.7,35.1412844036697,5.699999999999997
Bulgaria_2007,Bulgaria,2007,0.56047,71.5,6.5,40.07339449541283,6.499999999999997
Bulgaria_2008,Bulgaria,2008,0.59165,71.9,6.9,42.5394495412844,6.899999999999999
Bulgaria_2009,Bulgaria,2009,0.58146,72.1,6.8,41.9229357798165,6.799999999999997
Bulgaria_2010,Bulgaria,2010,0.53721,72.3,6.3,38.84036697247706,6.299999999999999
Bulgaria_2011,Bulgaria,2011,0.54274,72.7,6.4,39.45688073394496,6.400000000000002
Bulgaria_2012,Bulgaria,2012,0.52361,73,6.2,38.22385321100918,6.2
Bulgaria_2013,Bulgaria,2013,0.47942,73.3,5.7,35.1412844036697,5.699999999999997
Bulgaria_2014,Bulgaria,2014,0.50672,73,6,36.99082568807339,5.999999999999999
Canada_1990,Canada,1990,0.61134,77.4,7.675,47.317431192660514,7.674999999999994
Canada_1991,Canada,1991,0.61175,77.6,7.7,47.471559633027525,7.7
Canada_1992,Canada,1992,0.60753,77.8,7.666666666666667,47.266055045871525,7.666666666666661
Canada_1993,Canada,1993,0.60489,77.8,7.633333333333333,47.06055045871558,7.63333333333333
Canada_1994,Canada,1994,0.60071,78,7.6,46.85504587155959,7.599999999999993
Canada_1995,Canada,1995,0.59467,78.1,7.533333333333333,46.444036697247704,7.533333333333332
Canada_1996,Canada,1996,0.58716,78.4,7.466666666666667,46.03302752293579,7.466666666666668
Canada_1997,Canada,1997,0.58043,78.6,7.4,45.62201834862383,7.399999999999997
Canada_1998,Canada,1998,0.55549,78.8,7.1,43.77247706422012,7.099999999999989
Canada_1999,Canada,1999,0.55338,79.1,7.1,43.772477064220155,7.099999999999995
Canada_2000,Canada,2000,0.55129,79.4,7.1,43.77247706422012,7.099999999999989
Canada_2001,Canada,2001,0.54797,79.6,7.074999999999999,43.61834862385317,7.074999999999993
Canada_2002,Canada,2002,0.54466,79.8,7.05,43.464220183486226,7.049999999999998
Canada_2003,Canada,2003,0.54138,80,7.025,43.31009174311925,7.024999999999998
Canada_2004,Canada,2004,0.5381,80.2,7,43.155963302752276,6.999999999999997
Canada_2005,Canada,2005,0.54188,80.4,7.066666666666666,43.56697247706418,7.06666666666666
Chile_1990,Chile,1990,0.28558,73.4,3.4,20.96146788990825,3.3999999999999986
Chile_1991,Chile,1991,0.29912,74.2,3.5999999999999996,22.19449541284403,3.599999999999999
Chile_1992,Chile,1992,0.31362,74.7,3.8,23.427522935779805,3.799999999999998
Chile_1993,Chile,1993,0.30004,75,3.65,22.502752293577977,3.6499999999999995
Chile_1994,Chile,1994,0.28694,75.2,3.5,21.577981651376138,3.4999999999999987
Colombia_1992,Colombia,1992,0.32083,71.1,3.7,22.811009174311916,3.6999999999999984
Colombia_1993,Colombia,1993,0.2902,71.7,3.375,20.80733944954129,3.3750000000000004
Colombia_1994,Colombia,1994,0.2608,72.1,3.05,18.80366972477064,3.0499999999999994
Costa Rica_1990,Costa Rica,1990,0.30465,76.9,3.8,23.427522935779805,3.799999999999998
Costa Rica_1991,Costa Rica,1991,0.28862,76.9,3.6,22.194495412844024,3.599999999999998
Costa Rica_1992,Costa Rica,1992,0.32068,76.9,4,24.660550458715576,3.999999999999997
Costa Rica_1993,Costa Rica,1993,0.31186,77.1,3.9,24.044036697247705,3.9
Costa Rica_1994,Costa Rica,1994,0.3211,76.8,4,24.660550458715587,3.9999999999999987
Costa Rica_1995,Costa Rica,1995,0.32236,76.5,4,24.660550458715576,3.999999999999997
Croatia_2009,Croatia,2009,0.55607,76.5,6.9,42.53944954128441,6.900000000000001
Croatia_2010,Croatia,2010,0.5539,76.8,6.9,42.53944954128443,6.900000000000004
Croatia_2011,Croatia,2011,0.55174,77.1,6.9,42.53944954128443,6.900000000000004
Croatia_2012,Croatia,2012,0.54961,77.4,6.9,42.53944954128438,6.899999999999995
Croatia_2013,Croatia,2013,0.56263,77.8,7.1,43.77247706422012,7.099999999999989
Croatia_2014,Croatia,2014,0.56191,77.9,7.1,43.77247706422012,7.099999999999989
Croatia_2015,Croatia,2015,0.57922,77.7,7.3,45.005504587155954,7.299999999999999
Croatia_2016,Croatia,2016,0.57405,78.4,7.3,45.00550458715594,7.299999999999996
Cyprus_2004,Cyprus,2004,0.69645,77.9,8.8,54.25321100917426,8.799999999999992
Cyprus_2005,Cyprus,2005,0.70436,77.9,8.9,54.86972477064215,8.899999999999991
Cyprus_2006,Cyprus,2006,0.69378,78.2,8.8,54.25321100917429,8.799999999999995
Cyprus_2007,Cyprus,2007,0.68502,78.3,8.7,53.63669724770638,8.699999999999992
Cyprus_2008,Cyprus,2008,0.67284,78.8,8.6,53.02018348623849,8.599999999999993
Cyprus_2009,Cyprus,2009,0.6625,79.1,8.5,52.40366972477062,8.499999999999996
Cyprus_2010,Cyprus,2010,0.66692,79.5,8.6,53.020183486238494,8.599999999999994
Cyprus_2011,Cyprus,2011,0.64896,79.8,8.4,51.787155963302716,8.399999999999993
Cyprus_2012,Cyprus,2012,0.61574,80.1,8,49.32110091743119,7.999999999999999
Cyprus_2013,Cyprus,2013,0.59118,80.3,7.7,47.471559633027525,7.7
Cyprus_2014,Cyprus,2014,0.58277,80.4,7.6,46.855045871559575,7.599999999999991
Cyprus_2015,Cyprus,2015,0.59737,80.5,7.8,48.0880733944954,7.799999999999998
Cyprus_2016,Cyprus,2016,0.62645,80.7,8.2,50.55412844036697,8.2
Czechia_1993,Czechia,1993,0.87832,73,10.4,64.11743119266052,10.399999999999993
