dmu,country,year,efficiencies,CO2.x,life_expectancy.x,CO2.y,life_expectancy.y
Albania_1996,Albania,1996,0.78177,0.651,74.5,0.5089300411522634,74.5
Albania_1997,Albania,1997,1,0.498,72.9,0.4980000000000001,72.90000000000002
Albania_1998,Albania,1998,0.9076,0.563,74.8,0.5109794238683127,74.80000000000001
Albania_1999,Albania,1999,0.53664,0.956,75.1,0.5130288065843621,75.1
Albania_2000,Albania,2000,0.53321,0.966,75.4,0.5150781893004116,75.40000000000002
Albania_2001,Albania,2001,0.50406,1.03,76,0.5191769547325102,76
Albania_2002,Albania,2002,0.43208,1.2,75.9,0.518493827160494,75.90000000000002
Albania_2003,Albania,2003,0.37424,1.38,75.6,0.5164444444444444,75.60000000000001
Albania_2004,Albania,2004,0.38643,1.34,75.8,0.5178106995884774,75.80000000000001
Albania_2005,Albania,2005,0.37721,1.38,76.2,0.5205432098765432,76.20000000000002
Albania_2006,Albania,2006,0.41364,1.27,76.9,0.5253251028806586,76.90000000000002
Albania_2007,Albania,2007,0.41041,1.29,77.5,0.5294238683127572,77.5
Albania_2008,Albania,2008,0.36309,1.46,77.6,0.5301069958847736,77.60000000000001
Albania_2009,Albania,2009,0.36248,1.47,78,0.5328395061728396,78.00000000000003
Albania_2010,Albania,2010,0.342,1.56,78.1,0.533522633744856,78.10000000000001
Argentina_1990,Argentina,1990,0.14439,3.43,72.5,0.4952674897119343,72.50000000000003
Argentina_1991,Argentina,1991,0.14029,3.54,72.7,0.49663374485596723,72.70000000000003
Argentina_1992,Argentina,1992,0.13776,3.61,72.8,0.4973168724279836,72.80000000000001
Argentina_1993,Argentina,1993,0.14413,3.46,73,0.49868312757201655,73.00000000000001
Argentina_1994,Argentina,1994,0.14124,3.55,73.4,0.5014156378600823,73.4
Argentina_1995,Argentina,1995,0.13663,3.67,73.4,0.5014156378600823,73.4
Argentina_1996,Argentina,1996,0.13144,3.82,73.5,0.5020987654320989,73.50000000000001
Armenia_1999,Armenia,1999,0.49713,0.988,71.9,0.49116872427983554,71.90000000000003
Armenia_2000,Armenia,2000,0.43385,1.14,72.4,0.4945843621399178,72.40000000000002
Armenia_2001,Armenia,2001,0.42695,1.16,72.5,0.4952674897119343,72.50000000000003
Armenia_2002,Armenia,2002,0.49172,1.01,72.7,0.49663374485596723,72.70000000000003
Armenia_2003,Armenia,2003,0.43245,1.15,72.8,0.4973168724279836,72.80000000000001
Armenia_2004,Armenia,2004,0.40543,1.23,73,0.49868312757201655,73.00000000000001
Armenia_2005,Armenia,2005,0.33924,1.47,73,0.49868312757201655,73.00000000000001
Armenia_2006,Armenia,2006,0.33515,1.49,73.1,0.499366255144033,73.10000000000001
Armenia_2007,Armenia,2007,0.28856,1.74,73.5,0.5020987654320989,73.50000000000001
Armenia_2008,Armenia,2008,0.26151,1.92,73.5,0.5020987654320989,73.50000000000001
Armenia_2009,Armenia,2009,0.33297,1.51,73.6,0.5027818930041151,73.6
Armenia_2010,Armenia,2010,0.3411,1.48,73.9,0.5048312757201647,73.90000000000002
Armenia_2011,Armenia,2011,0.29299,1.73,74.2,0.506880658436214,74.20000000000002
Armenia_2012,Armenia,2012,0.25609,1.99,74.6,0.5096131687242799,74.60000000000002
Armenia_2013,Armenia,2013,0.2686,1.91,75.1,0.5130288065843621,75.1
Armenia_2014,Armenia,2014,0.26896,1.91,75.2,0.5137119341563786,75.20000000000002
Armenia_2015,Armenia,2015,0.31093,1.65,75.1,0.5130288065843621,75.1
Armenia_2016,Armenia,2016,0.29227,1.76,75.3,0.5143950617283951,75.30000000000001
Australia_1990,Australia,1990,0.03207,16.4,77,0.5260082304526749,77
Australia_1991,Australia,1991,0.03244,16.3,77.4,0.5287407407407407,77.4
