dmu,country,year,efficiencies,material_footprint.x,income.x,material_footprint.y,income.y
Albania_1996,Albania,1996,0.00406,4.28,4.91,0.017370283018867918,4.909999999999999
Albania_1997,Albania,1997,0.00386,4.03,4.4,0.015566037735849053,4.3999999999999995
Albania_1998,Albania,1998,0.00391,4.36,4.82,0.017051886792452828,4.819999999999999
Albania_1999,Albania,1999,0.0041,4.73,5.48,0.019386792452830186,5.4799999999999995
Albania_2000,Albania,2000,0.00375,5.55,5.89,0.02083726415094339,5.889999999999999
Albania_2001,Albania,2001,0.00373,6.1,6.44,0.022783018867924526,6.44
Albania_2002,Albania,2002,0.0039,6.13,6.75,0.023879716981132074,6.75
Albania_2003,Albania,2003,0.00338,7.48,7.15,0.02529481132075471,7.149999999999999
Albania_2004,Albania,2004,0.00322,8.33,7.58,0.026816037735849053,7.579999999999999
Albania_2005,Albania,2005,0.0031,9.19,8.04,0.028443396226415084,8.039999999999997
Albania_2006,Albania,2006,0.00331,9.15,8.57,0.03031839622641509,8.569999999999999
Albania_2007,Albania,2007,0.00362,8.93,9.15,0.03237028301886792,9.149999999999999
Albania_2008,Albania,2008,0.00373,9.39,9.91,0.03505896226415094,9.91
Albania_2009,Albania,2009,0.00334,10.9,10.3,0.03643867924528302,10.3
Albania_2010,Albania,2010,0.00422,8.96,10.7,0.03785377358490565,10.7
Argentina_1990,Argentina,1990,0.00521,9.58,14.1,0.049882075471698095,14.099999999999996
Argentina_1991,Argentina,1991,0.00476,11.3,15.2,0.05377358490566036,15.199999999999996
Argentina_1992,Argentina,1992,0.00482,11.9,16.2,0.05731132075471697,16.2
Argentina_1993,Argentina,1993,0.00514,11.9,17.3,0.06120283018867924,17.3
Argentina_1994,Argentina,1994,0.00504,12.7,18.1,0.06403301886792453,18.1
Argentina_1995,Argentina,1995,0.00505,12.2,17.4,0.061556603773584885,17.399999999999995
Argentina_1996,Argentina,1996,0.00521,12.3,18.1,0.06403301886792453,18.1
Armenia_1999,Armenia,1999,0.00442,3.04,3.8,0.01344339622641509,3.799999999999999
Armenia_2000,Armenia,2000,0.0059,2.43,4.05,0.014327830188679242,4.05
Armenia_2001,Armenia,2001,0.00574,2.75,4.46,0.015778301886792447,4.459999999999999
Armenia_2002,Armenia,2002,0.00615,2.92,5.08,0.017971698113207545,5.079999999999999
Armenia_2003,Armenia,2003,0.00615,3.35,5.82,0.02058962264150943,5.819999999999999
Armenia_2004,Armenia,2004,0.00578,3.96,6.47,0.022889150943396223,6.469999999999999
Armenia_2005,Armenia,2005,0.00595,4.41,7.42,0.026249999999999992,7.419999999999998
Armenia_2006,Armenia,2006,0.00624,4.8,8.46,0.029929245283018865,8.46
Armenia_2007,Armenia,2007,0.00595,5.77,9.71,0.03435141509433962,9.71
Armenia_2008,Armenia,2008,0.00568,6.54,10.5,0.03714622641509434,10.5
Armenia_2009,Armenia,2009,0.00494,6.48,9.05,0.03201650943396227,9.05
Armenia_2010,Armenia,2010,0.00526,6.25,9.29,0.03286556603773584,9.289999999999997
Armenia_2011,Armenia,2011,0.00546,6.3,9.73,0.03442216981132075,9.729999999999999
Armenia_2012,Armenia,2012,0.00555,6.63,10.4,0.03679245283018868,10.4
Armenia_2013,Armenia,2013,0.00544,6.96,10.7,0.03785377358490565,10.7
Armenia_2014,Armenia,2014,0.00544,7.16,11,0.03891509433962264,11
Armenia_2015,Armenia,2015,0.00542,7.37,11.3,0.03997641509433962,11.3
Armenia_2016,Armenia,2016,0.00509,7.86,11.3,0.03997641509433962,11.3
Australia_1990,Australia,1990,0.00272,40.3,31,0.10966981132075469,30.999999999999996
Australia_1991,Australia,1991,0.00264,40.8,30.5,0.10790094339622638,30.499999999999996
Australia_1992,Australia,1992,0.0029,37,30.3,0.10719339622641508,30.299999999999997
Australia_1993,Australia,1993,0.00312,35.4,31.2,0.110377358490566,31.199999999999992
Australia_1994,Australia,1994,0.00325,34.9,32.1,0.11356132075471696,32.1
Australia_1995,Australia,1995,0.00304,38.3,32.9,0.11639150943396225,32.9
Australia_1996,Australia,1996,0.00304,39.2,33.7,0.11922169811320753,33.699999999999996
Australia_1997,Australia,1997,0.00308,39.9,34.7,0.12275943396226413,34.699999999999996
Australia_1998,Australia,1998,0.00302,42,35.9,0.12700471698113205,35.9
Australia_1999,Australia,1999,0.00316,41.7,37.2,0.13160377358490563,37.199999999999996
Australia_2000,Australia,2000,0.0034,39.8,38.2,0.13514150943396225,38.2
Australia_2001,Australia,2001,0.00341,40,38.5,0.13620283018867924,38.5
Australia_2002,Australia,2002,0.00348,40.2,39.5,0.1397405660377358,39.49999999999999
Australia_2003,Australia,2003,0.00332,42.9,40.3,0.14257075471698108,40.29999999999998
Australia_2004,Australia,2004,0.00347,42.3,41.5,0.14681603773584903,41.49999999999999
Australia_2005,Australia,2005,0.00347,43,42.2,0.14929245283018863,42.199999999999996
Australia_2006,Australia,2006,0.0039,38.7,42.7,0.15106132075471695,42.699999999999996
Australia_2007,Australia,2007,0.00342,45.6,44.1,0.15601415094339618,44.099999999999994
Australia_2008,Australia,2008,0.00419,37.7,44.7,0.15813679245283016,44.699999999999996
Australia_2009,Australia,2009,0.00366,43.1,44.6,0.1577830188679245,44.6
Australia_2010,Australia,2010,0.00389,40.8,44.9,0.1588443396226415,44.9
Australia_2011,Australia,2011,0.00393,40.9,45.4,0.16061320754716976,45.39999999999999
Australia_2012,Australia,2012,0.00396,41.5,46.4,0.16415094339622638,46.4
Australia_2013,Australia,2013,0.00401,41.2,46.7,0.1652122641509434,46.7
Australia_2014,Australia,2014,0.00397,42.1,47.2,0.1669811320754717,47.2
Australia_2015,Australia,2015,0.00396,42.5,47.6,0.16839622641509433,47.6
Austria_1990,Austria,1990,0.00673,19.7,37.5,0.13266509433962262,37.49999999999999
Austria_1991,Austria,1991,0.00632,21.5,38.4,0.13584905660377355,38.39999999999999
Austria_1992,Austria,1992,0.00589,23.3,38.8,0.1372641509433962,38.8
Austria_1993,Austria,1993,0.00614,22.3,38.7,0.13691037735849054,38.699999999999996
Austria_1994,Austria,1994,0.00583,23.9,39.4,0.13938679245283017,39.4
Austria_1995,Austria,1995,0.00601,23.8,40.4,0.14292452830188676,40.4
Austria_1996,Austria,1996,0.00624,23.4,41.3,0.1461084905660377,41.3
Austria_1997,Austria,1997,0.00631,23.6,42.1,0.148938679245283,42.099999999999994
Austria_1998,Austria,1998,0.00615,25.1,43.6,0.1542452830188679,43.599999999999994
Austria_1999,Austria,1999,0.00649,24.6,45.1,0.1595518867924528,45.099999999999994
Austria_2000,Austria,2000,0.00669,24.6,46.5,0.16450471698113206,46.5
Austria_2001,Austria,2001,0.00677,24.5,46.9,0.1659198113207547,46.9
Austria_2002,Austria,2002,0.00676,24.8,47.4,0.16768867924528297,47.39999999999999
Austria_2003,Austria,2003,0.00633,26.6,47.6,0.16839622641509433,47.6
Austria_2004,Austria,2004,0.00599,28.7,48.6,0.17193396226415092,48.6
Austria_2005,Austria,2005,0.00594,29.4,49.4,0.17476415094339623,49.400000000000006
Austria_2006,Austria,2006,0.00591,30.4,50.8,0.17971698113207546,50.8
Austria_2007,Austria,2007,0.00593,31.4,52.6,0.18608490566037733,52.599999999999994
Austria_2008,Austria,2008,0.00584,32.2,53.2,0.18820754716981128,53.199999999999996
Austria_2009,Austria,2009,0.00592,30.5,51,0.18042452830188674,50.99999999999999
Austria_2010,Austria,2010,0.00609,30.1,51.8,0.18325471698113202,51.79999999999999
Austria_2011,Austria,2011,0.00603,31.2,53.2,0.18820754716981128,53.199999999999996
Austria_2012,Austria,2012,0.00606,31.1,53.3,0.18856132075471693,53.29999999999999
Austria_2013,Austria,2013,0.00599,31.3,53,0.1875,53
Austria_2014,Austria,2014,0.00587,31.9,52.9,0.1871462264150943,52.89999999999999
Austria_2015,Austria,2015,0.00578,32.4,52.9,0.1871462264150943,52.89999999999999
Austria_2016,Austria,2016,0.00584,32.3,53.3,0.18856132075471693,53.29999999999999
Azerbaijan_1995,Azerbaijan,1995,0.0023,4.58,2.98,0.010542452830188677,2.9799999999999995
Azerbaijan_1996,Azerbaijan,1996,0.00253,4.18,2.99,0.010577830188679246,2.99
Azerbaijan_1997,Azerbaijan,1997,0.00342,3.24,3.13,0.01107311320754717,3.13
Azerbaijan_1998,Azerbaijan,1998,0.00409,2.95,3.41,0.012063679245283019,3.41
Azerbaijan_1999,Azerbaijan,1999,0.00454,2.83,3.63,0.012841981132075467,3.6299999999999994
Azerbaijan_2000,Azerbaijan,2000,0.00553,2.56,4,0.014150943396226412,3.999999999999999
Azerbaijan_2001,Azerbaijan,2001,0.00578,2.67,4.36,0.01542452830188679,4.359999999999999
Azerbaijan_2002,Azerbaijan,2002,0.00552,3.04,4.74,0.016768867924528297,4.739999999999999
Azerbaijan_2003,Azerbaijan,2003,0.00522,3.51,5.18,0.018325471698113202,5.179999999999999
Azerbaijan_2004,Azerbaijan,2004,0.00539,3.68,5.61,0.019846698113207547,5.61
Azerbaijan_2005,Azerbaijan,2005,0.00717,3.51,7.11,0.025153301886792448,7.109999999999999
Belarus_1998,Belarus,1998,0.85967,0.03,7.29,0.02579009433962264,7.289999999999999
Belarus_1999,Belarus,1999,0.89387,0.03,7.58,0.026816037735849053,7.579999999999999
Belarus_2000,Belarus,2000,0.40684,0.07,8.05,0.028478773584905654,8.049999999999999
Belarus_2001,Belarus,2001,1,0.03,8.48,0.029999999999999995,8.479999999999999
Belgium_1990,Belgium,1990,0.00821,15.3,35.5,0.1255896226415094,35.5
Belgium_1991,Belgium,1991,0.00763,16.7,36,0.1273584905660377,35.99999999999999
Belgium_1992,Belgium,1992,0.00637,20.2,36.4,0.12877358490566035,36.4
Belgium_1993,Belgium,1993,0.00651,19.5,35.9,0.12700471698113205,35.9
Belgium_1994,Belgium,1994,0.00639,20.5,37,0.13089622641509432,37
Belgium_1995,Belgium,1995,0.00656,20.4,37.8,0.13372641509433958,37.79999999999999
Belgium_1996,Belgium,1996,0.00662,20.4,38.2,0.13514150943396225,38.2
Belgium_1997,Belgium,1997,0.00715,19.6,39.6,0.14009433962264148,39.599999999999994
Belgium_1998,Belgium,1998,0.00676,21.1,40.3,0.14257075471698108,40.29999999999998
Belgium_1999,Belgium,1999,0.00678,21.7,41.6,0.1471698113207547,41.6
Belgium_2000,Belgium,2000,0.00653,23.3,43,0.15212264150943394,42.99999999999999
Belgium_2001,Belgium,2001,0.00706,21.7,43.3,0.1531839622641509,43.29999999999999
Belgium_2002,Belgium,2002,0.00706,22,43.9,0.1553066037735849,43.9
Belgium_2003,Belgium,2003,0.00692,22.6,44.2,0.1563679245283019,44.2
Belgium_2004,Belgium,2004,0.00685,23.5,45.5,0.16096698113207542,45.49999999999999
Belgium_2005,Belgium,2005,0.00685,23.9,46.3,0.16379716981132073,46.29999999999999
Belgium_2006,Belgium,2006,0.00687,24.3,47.2,0.1669811320754717,47.2
Belgium_2007,Belgium,2007,0.00688,25,48.6,0.17193396226415092,48.6
