dmu,country,year,efficiencies,CO2,income
Albania_1996,Albania,1996,0.82436,0.651,4.91
Albania_1997,Albania,1997,1,0.498,4.4
Albania_1998,Albania,1998,0.94109,0.563,4.82
Albania_1999,Albania,1999,0.60655,0.956,5.48
Albania_2000,Albania,2000,0.63244,0.966,5.89
Albania_2001,Albania,2001,0.63362,1.03,6.44
Albania_2002,Albania,2002,0.56344,1.2,6.75
Albania_2003,Albania,2003,0.51192,1.38,7.15
Albania_2004,Albania,2004,0.55152,1.34,7.58
Albania_2005,Albania,2005,0.5608,1.38,8.04
Albania_2006,Albania,2006,0.64101,1.27,8.57
Albania_2007,Albania,2007,0.66515,1.29,9.15
Albania_2008,Albania,2008,0.62716,1.46,9.91
Albania_2009,Albania,2009,0.64301,1.47,10.3
Albania_2010,Albania,2010,0.62534,1.56,10.7
Argentina_1990,Argentina,1990,0.35955,3.43,14.1
Argentina_1991,Argentina,1991,0.37193,3.54,15.2
Argentina_1992,Argentina,1992,0.38572,3.61,16.2
Argentina_1993,Argentina,1993,0.42654,3.46,17.3
Argentina_1994,Argentina,1994,0.4328,3.55,18.1
Argentina_1995,Argentina,1995,0.4042,3.67,17.4
Argentina_1996,Argentina,1996,0.40221,3.82,18.1
Armenia_1999,Armenia,1999,0.50405,0.988,3.8
Armenia_2000,Armenia,2000,0.43684,1.14,4.05
Armenia_2001,Armenia,2001,0.43323,1.16,4.46
Armenia_2002,Armenia,2002,0.5441,1.01,5.08
Armenia_2003,Armenia,2003,0.52664,1.15,5.82
Armenia_2004,Armenia,2004,0.53244,1.23,6.47
Armenia_2005,Armenia,2005,0.4945,1.47,7.42
Armenia_2006,Armenia,2006,0.54077,1.49,8.46
Armenia_2007,Armenia,2007,0.51753,1.74,9.71
Armenia_2008,Armenia,2008,0.5002,1.92,10.5
Armenia_2009,Armenia,2009,0.56322,1.51,9.05
Armenia_2010,Armenia,2010,0.58693,1.48,9.29
Armenia_2011,Armenia,2011,0.52139,1.73,9.73
Armenia_2012,Armenia,2012,0.47879,1.99,10.4
Armenia_2013,Armenia,2013,0.51075,1.91,10.7
Armenia_2014,Armenia,2014,0.52266,1.91,11
Armenia_2015,Armenia,2015,0.6188,1.65,11.3
Armenia_2016,Armenia,2016,0.58012,1.76,11.3
Australia_1990,Australia,1990,0.15331,16.4,31
Australia_1991,Australia,1991,0.15192,16.3,30.5
Australia_1992,Australia,1992,0.15007,16.4,30.3
Australia_1993,Australia,1993,0.15423,16.4,31.2
Australia_1994,Australia,1994,0.15743,16.5,32.1
Australia_1995,Australia,1995,0.15637,17,32.9
Australia_1996,Australia,1996,0.15808,17.2,33.7
Australia_1997,Australia,1997,0.1597,17.5,34.7
Australia_1998,Australia,1998,0.16032,18,35.9
Australia_1999,Australia,1999,0.16307,18.3,37.2
Australia_2000,Australia,2000,0.16541,18.5,38.2
Australia_2001,Australia,2001,0.16574,18.6,38.5
Australia_2002,Australia,2002,0.16891,18.7,39.5
Australia_2003,Australia,2003,0.17033,18.9,40.3
Australia_2004,Australia,2004,0.17151,19.3,41.5
Australia_2005,Australia,2005,0.17517,19.2,42.2
Australia_2006,Australia,2006,0.17807,19.1,42.7
Australia_2007,Australia,2007,0.18267,19.2,44.1
Australia_2008,Australia,2008,0.18699,19,44.7
Australia_2009,Australia,2009,0.18857,18.8,44.6
Australia_2010,Australia,2010,0.19391,18.4,44.9
Australia_2011,Australia,2011,0.20032,18,45.4
Australia_2012,Australia,2012,0.20683000000000001,17.8,46.4
Australia_2013,Australia,2013,0.21663,17.1,46.7
Australia_2014,Australia,2014,0.22409,16.7,47.2
Australia_2015,Australia,2015,0.22456,16.8,47.6
Austria_1990,Austria,1990,0.37215,8.08,37.5
Austria_1991,Austria,1991,0.36221,8.49,38.4
Austria_1992,Austria,1992,0.40227,7.72,38.8
Austria_1993,Austria,1993,0.40181,7.71,38.7
Austria_1994,Austria,1994,0.40869,7.71,39.4
Austria_1995,Austria,1995,0.40084,8.05,40.4
Austria_1996,Austria,1996,0.38994,8.45,41.3
