dmu,country,year,efficiencies,CO2,mean_years_in_school
Albania_1996,Albania,1996,0.76498,0.651,8.2
Albania_1997,Albania,1997,1,0.498,8.3
Albania_1998,Albania,1998,0.94694,0.563,8.5
Albania_1999,Albania,1999,0.57603,0.956,8.6
Albania_2000,Albania,2000,0.60643,0.966,8.8
Albania_2001,Albania,2001,0.5517,1.03,8.7
Albania_2002,Albania,2002,0.51745,1.2,9
Albania_2003,Albania,2003,0.44995,1.38,9
Albania_2004,Albania,2004,0.47649,1.34,9.1
Albania_2005,Albania,2005,0.46268,1.38,9.1
Albania_2006,Albania,2006,0.51658,1.27,9.2
Albania_2007,Albania,2007,0.50858,1.29,9.2
Albania_2008,Albania,2008,0.44936,1.46,9.2
Albania_2009,Albania,2009,0.45825,1.47,9.3
Albania_2010,Albania,2010,0.43181,1.56,9.3
Argentina_1990,Argentina,1990,0.14519,3.43,7.88
Argentina_1991,Argentina,1991,0.14068,3.54,8
Argentina_1992,Argentina,1992,0.13795,3.61,8
Argentina_1993,Argentina,1993,0.14393,3.46,8.1
Argentina_1994,Argentina,1994,0.14028,3.55,8.2
Argentina_1995,Argentina,1995,0.13569,3.67,8.3
Argentina_1996,Argentina,1996,0.13956,3.82,8.5
Armenia_1999,Armenia,1999,0.96993,0.988,10.7
Armenia_2000,Armenia,2000,0.86027,1.14,10.8
Armenia_2001,Armenia,2001,0.82612,1.16,10.7
Armenia_2002,Armenia,2002,0.971,1.01,10.8
Armenia_2003,Armenia,2003,0.85279,1.15,10.8
Armenia_2004,Armenia,2004,0.79732,1.23,10.8
Armenia_2005,Armenia,2005,0.68239,1.47,10.9
Armenia_2006,Armenia,2006,0.67323,1.49,10.9
Armenia_2007,Armenia,2007,0.58938,1.74,11
Armenia_2008,Armenia,2008,0.53413,1.92,11
Armenia_2009,Armenia,2009,0.694,1.51,11.1
Armenia_2010,Armenia,2010,0.70807,1.48,11.1
Armenia_2011,Armenia,2011,0.6187,1.73,11.2
Armenia_2012,Armenia,2012,0.54913,1.99,11.3
Armenia_2013,Armenia,2013,0.58386,1.91,11.4
Armenia_2014,Armenia,2014,0.5956,1.91,11.5
Armenia_2015,Armenia,2015,0.70303,1.65,11.6
Armenia_2016,Armenia,2016,0.76399,1.76,11.7
Australia_1990,Australia,1990,0.06527,16.4,11.2
Australia_1991,Australia,1991,0.09382,16.3,11.8
Australia_1992,Australia,1992,0.09325,16.4,11.8
Australia_1993,Australia,1993,0.09325,16.4,11.8
Australia_1994,Australia,1994,0.09268,16.5,11.8
Australia_1995,Australia,1995,0.08995,17,11.8
Australia_1996,Australia,1996,0.08891,17.2,11.8
Australia_1997,Australia,1997,0.08738,17.5,11.8
Australia_1998,Australia,1998,0.08496,18,11.8
Australia_1999,Australia,1999,0.09365,18.3,11.9
Australia_2000,Australia,2000,0.09264,18.5,11.9
Australia_2001,Australia,2001,0.09214,18.6,11.9
Australia_2002,Australia,2002,0.08178,18.7,11.8
Australia_2003,Australia,2003,0.08091,18.9,11.8
Australia_2004,Australia,2004,0.07923,19.3,11.8
Australia_2005,Australia,2005,0.07003,19.2,11.7
Australia_2006,Australia,2006,0.08973,19.1,11.9
Australia_2007,Australia,2007,0.09888,19.2,12
Australia_2008,Australia,2008,0.12907,19,12.3
Australia_2009,Australia,2009,0.13044,18.8,12.3
Australia_2010,Australia,2010,0.14331,18.4,12.4
Australia_2011,Australia,2011,0.15675,18,12.5
Australia_2012,Australia,2012,0.16889,17.8,12.6
Australia_2013,Australia,2013,0.1758,17.1,12.6
Australia_2014,Australia,2014,0.19106,16.7,12.7
Australia_2015,Australia,2015,0.20092,16.8,12.8
Austria_1990,Austria,1990,0.06902,8.08,8.64
Austria_1991,Austria,1991,0.06693,8.49,8.7
Austria_1992,Austria,1992,0.07361,7.72,8.7
Austria_1993,Austria,1993,0.07598,7.71,8.8
Austria_1994,Austria,1994,0.07598,7.71,8.8
Austria_1995,Austria,1995,0.07495,8.05,8.9
Austria_1996,Austria,1996,0.07141,8.45,8.9
Austria_1997,Austria,1997,0.07174,8.41,8.9
Austria_1998,Austria,1998,0.07436,8.35,9
Austria_1999,Austria,1999,0.076,8.17,9
Austria_2000,Austria,2000,0.07554,8.22,9
Austria_2001,Austria,2001,0.0755,8.69,9.2
Austria_2002,Austria,2002,0.07792,8.87,9.4
Austria_2003,Austria,2003,0.07629,9.52,9.6
Austria_2004,Austria,2004,0.08024,9.49,9.8
Austria_2005,Austria,2005,0.08089,9.63,9.9
Austria_2006,Austria,2006,0.08849,9.31,10.1
Austria_2007,Austria,2007,0.12946,8.96,11.6
Austria_2008,Austria,2008,0.12854,8.85,11.5
Austria_2009,Austria,2009,0.166,8.1,11.7
Austria_2010,Austria,2010,0.17782,8.6,11.8
Austria_2011,Austria,2011,0.18424,8.3,11.8
Austria_2012,Austria,2012,0.19236,7.95,11.8
Austria_2013,Austria,2013,0.21504,7.97,11.9
Austria_2014,Austria,2014,0.27811,7.49,12.1
Austria_2015,Austria,2015,0.27053,7.7,12.1
Austria_2016,Austria,2016,0.27053,7.7,12.1
Azerbaijan_1995,Azerbaijan,1995,0.19726,4.29,10.2
Azerbaijan_1996,Azerbaijan,1996,0.21825,3.98,10.3
Azerbaijan_1997,Azerbaijan,1997,0.23698,3.76,10.4
Azerbaijan_1998,Azerbaijan,1998,0.23009,3.97,10.5
Azerbaijan_1999,Azerbaijan,1999,0.25732,3.55,10.5
Azerbaijan_2000,Azerbaijan,2000,0.25711,3.64,10.6
Azerbaijan_2001,Azerbaijan,2001,0.26588,3.52,10.6
Azerbaijan_2002,Azerbaijan,2002,0.26142,3.58,10.6
Azerbaijan_2003,Azerbaijan,2003,0.25501,3.67,10.6
Azerbaijan_2004,Azerbaijan,2004,0.24628,3.8,10.6
Azerbaijan_2005,Azerbaijan,2005,0.23838,4.02,10.7
Belarus_1998,Belarus,1998,0.09829,5.96,8.8
Belarus_1999,Belarus,1999,0.10188,5.75,8.8
Belarus_2000,Belarus,2000,0.10736,5.62,8.9
Belarus_2001,Belarus,2001,0.10951,5.67,9
Belgium_1990,Belgium,1990,0.05277,12.1,9.1
Belgium_1991,Belgium,1991,0.05762,12.3,9.5
Belgium_1992,Belgium,1992,0.05809,12.2,9.5
Belgium_1993,Belgium,1993,0.06053,12,9.6
Belgium_1994,Belgium,1994,0.06048,12.3,9.7
Belgium_1995,Belgium,1995,0.05999,12.4,9.7
Belgium_1996,Belgium,1996,0.05996,12.7,9.8
Belgium_1997,Belgium,1997,0.06293,12.1,9.8
Belgium_1998,Belgium,1998,0.06134,12.7,9.9
Belgium_1999,Belgium,1999,0.06569,12.2,10
Belgium_2000,Belgium,2000,0.06516,12.3,10
Belgium_2001,Belgium,2001,0.06936,12.2,10.2
Belgium_2002,Belgium,2002,0.0712,12.2,10.3
Belgium_2003,Belgium,2003,0.07244,12.3,10.4
Belgium_2004,Belgium,2004,0.07427,12.3,10.5
Belgium_2005,Belgium,2005,0.08053,11.9,10.7
Belgium_2006,Belgium,2006,0.08957,11.7,11.1
Belgium_2007,Belgium,2007,0.09274,11.3,11.1
Belgium_2008,Belgium,2008,0.09157,11.2,11
Belgium_2009,Belgium,2009,0.10553,9.93,11.1
Belgium_2010,Belgium,2010,0.10076,10.4,11.1
Belgium_2011,Belgium,2011,0.11291,9.48,11.2
Belgium_2012,Belgium,2012,0.11672,9.17,11.2
Belgium_2013,Belgium,2013,0.12241,9.11,11.4
Belgium_2014,Belgium,2014,0.13305,8.55,11.5
Belgium_2015,Belgium,2015,0.15211,8.84,11.7
Bulgaria_2006,Bulgaria,2006,0.13104,6.8,10.4
Bulgaria_2007,Bulgaria,2007,0.12428,7.35,10.5
Bulgaria_2008,Bulgaria,2008,0.12722,7.18,10.5
Bulgaria_2009,Bulgaria,2009,0.15292,6.12,10.6
Bulgaria_2010,Bulgaria,2010,0.14532,6.44,10.6
Bulgaria_2011,Bulgaria,2011,0.1331,7.2,10.7
Bulgaria_2012,Bulgaria,2012,0.14882,6.59,10.8
Bulgaria_2013,Bulgaria,2013,0.17177,5.84,10.9
Bulgaria_2014,Bulgaria,2014,0.16101,6.23,10.9
Canada_1990,Canada,1990,0.05144,16.8,10.28
Canada_1991,Canada,1991,0.05362,16.2,10.3
Canada_1992,Canada,1992,0.054,16.5,10.4
Canada_1993,Canada,1993,0.0557,16.4,10.5
Canada_1994,Canada,1994,0.05604,16.7,10.6
Canada_1995,Canada,1995,0.05505,17,10.6
Canada_1996,Canada,1996,0.05539,17.3,10.7
Canada_1997,Canada,1997,0.05572,17.6,10.8
Canada_1998,Canada,1998,0.0551,17.8,10.8
Canada_1999,Canada,1999,0.05542,18.1,10.9
Canada_2000,Canada,2000,0.05484,18.7,11
Canada_2001,Canada,2001,0.05849,18.3,11.2
Canada_2002,Canada,2002,0.06216,18.3,11.5
Canada_2003,Canada,2003,0.0719,18.7,11.7
Canada_2004,Canada,2004,0.10318,18.4,12
Canada_2005,Canada,2005,0.12669,17.9,12.2
Chile_1990,Chile,1990,0.20081,2.48,8.02
Chile_1991,Chile,1991,0.21558,2.31,8.1
Chile_1992,Chile,1992,0.21191,2.35,8.2
Chile_1993,Chile,1993,0.20244,2.46,8.3
Chile_1994,Chile,1994,0.18652,2.67,8.3
Colombia_1992,Colombia,1992,0.27821,1.79,5.7
Colombia_1993,Colombia,1993,0.27514,1.81,5.8
Colombia_1994,Colombia,1994,0.26631,1.87,6
Costa Rica_1990,Costa Rica,1990,0.53319,0.934,6.72
Costa Rica_1991,Costa Rica,1991,0.4835,1.03,7
Costa Rica_1992,Costa Rica,1992,0.43684,1.14,7.1
Costa Rica_1993,Costa Rica,1993,0.43304,1.15,7.2
Costa Rica_1994,Costa Rica,1994,0.332,1.5,7.3
Costa Rica_1995,Costa Rica,1995,0.36618,1.36,7.4
Croatia_2009,Croatia,2009,0.18569,5.04,10.6
Croatia_2010,Croatia,2010,0.20138,4.87,10.8
Croatia_2011,Croatia,2011,0.21365,4.8,11
Croatia_2012,Croatia,2012,0.23046,4.45,11
Croatia_2013,Croatia,2013,0.23739,4.32,11
Croatia_2014,Croatia,2014,0.25191,4.16,11.1
Croatia_2015,Croatia,2015,0.25364,4.22,11.2
Croatia_2016,Croatia,2016,0.25413,4.3,11.3
Cyprus_2004,Cyprus,2004,0.11802,7.74,10.5
Cyprus_2005,Cyprus,2005,0.12302,7.79,10.7
Cyprus_2006,Cyprus,2006,0.12795,7.84,10.9
Cyprus_2007,Cyprus,2007,0.13363,8.01,11.2
Cyprus_2008,Cyprus,2008,0.13609,8.03,11.3
Cyprus_2009,Cyprus,2009,0.14229,7.68,11.3
Cyprus_2010,Cyprus,2010,0.15691,7.25,11.5
Cyprus_2011,Cyprus,2011,0.16836,6.89,11.6
Cyprus_2012,Cyprus,2012,0.24045,6.36,11.8
Cyprus_2013,Cyprus,2013,0.3319,5.72,12
Cyprus_2014,Cyprus,2014,0.28517,6.01,11.9
Cyprus_2015,Cyprus,2015,0.28612,5.99,11.9
Cyprus_2016,Cyprus,2016,0.33117,6.29,12.1
Czechia_1993,Czechia,1993,0.04503,13.4,8.9
Czechia_1994,Czechia,1994,0.04988,12.8,9.1
Czechia_1995,Czechia,1995,0.05442,12.7,9.4
Czechia_1996,Czechia,1996,0.05587,13,9.6
Czechia_1997,Czechia,1997,0.06134,12.7,9.9
Czechia_1998,Czechia,1998,0.06808,12.1,10.1
Czechia_1999,Czechia,1999,0.07885,11.3,10.4
Czechia_2000,Czechia,2000,0.07547,12.4,10.6
Czechia_2001,Czechia,2001,0.0809,12.4,10.9
Czechia_2002,Czechia,2002,0.08661,12.1,11.1
Czechia_2003,Czechia,2003,0.08921,12.5,11.4
Czechia_2004,Czechia,2004,0.0928,12.5,11.6
Czechia_2005,Czechia,2005,0.13934,12.3,11.9
Czechia_2006,Czechia,2006,0.16936,12.3,12.1
Czechia_2007,Czechia,2007,0.18288,12.4,12.2
Czechia_2008,Czechia,2008,0.19218,11.8,12.2
Czechia_2009,Czechia,2009,0.22294,11,12.3
Czechia_2010,Czechia,2010,0.23544,11.2,12.4
Czechia_2011,Czechia,2011,0.25886,10.9,12.5
Czechia_2012,Czechia,2012,0.25114,10.5,12.4
Czechia_2013,Czechia,2013,0.29764,10.1,12.6
Czechia_2014,Czechia,2014,0.34338,9.83,12.8
Czechia_2015,Czechia,2015,0.32263,9.89,12.7
Czechia_2016,Czechia,2016,0.31908,10,12.7
Denmark_1990,Denmark,1990,0.05903,10.4,8.96
Denmark_1991,Denmark,1991,0.05248,12.5,9.2
Denmark_1992,Denmark,1992,0.05961,11.3,9.3
Denmark_1993,Denmark,1993,0.06058,11.7,9.5
Denmark_1994,Denmark,1994,0.05999,12.4,9.7
Denmark_1995,Denmark,1995,0.06602,11.8,9.9
Denmark_1996,Denmark,1996,0.05761,14.3,10.1
Denmark_1997,Denmark,1997,0.06824,12.4,10.2
Denmark_1998,Denmark,1998,0.07682,11.6,10.4
Denmark_1999,Denmark,1999,0.08508,11,10.6
Denmark_2000,Denmark,2000,0.09395,10.2,10.7
Denmark_2001,Denmark,2001,0.10723,10.4,11.4
Denmark_2002,Denmark,2002,0.20224,10.3,12.1
Denmark_2003,Denmark,2003,0.29871,11.3,12.8
Denmark_2004,Denmark,2004,0.33092,10.2,12.8
Denmark_2005,Denmark,2005,0.35493,9.51,12.8
Denmark_2006,Denmark,2006,0.30967,10.9,12.8
Denmark_2007,Denmark,2007,0.28215,10,12.5
Denmark_2008,Denmark,2008,0.38156,9.33,12.9
Denmark_2009,Denmark,2009,0.36095,8.84,12.7
Denmark_2010,Denmark,2010,0.36013,8.86,12.7
Denmark_2011,Denmark,2011,0.40237,7.93,12.7
Denmark_2012,Denmark,2012,0.47474,7.11,12.8
Denmark_2013,Denmark,2013,0.6197,7.41,13.2
Denmark_2014,Denmark,2014,0.50911,6.63,12.8
Denmark_2015,Denmark,2015,0.45582,6.19,12.5
El Salvador_1991,El Salvador,1991,0.84264,0.591,3.8
El Salvador_1992,El Salvador,1992,0.8124,0.613,3.9
El Salvador_1993,El Salvador,1993,0.6869,0.725,4
