dmu,country,year,efficiencies,CO2,murder
Albania_1996,Albania,1996,1,0.651,99.99177
Albania_1997,Albania,1997,1,0.498,99.9604
Albania_1998,Albania,1998,1,0.563,99.9808
Albania_1999,Albania,1999,0.6208,0.956,99.9846
Albania_2000,Albania,2000,0.93757,0.966,99.99604
Albania_2001,Albania,2001,0.66968,1.03,99.99242
Albania_2002,Albania,2002,0.58376,1.2,99.9926
Albania_2003,Albania,2003,0.58844,1.38,99.99447
Albania_2004,Albania,2004,0.6612,1.34,99.99571
Albania_2005,Albania,2005,0.65961,1.38,99.99611666666668
Albania_2006,Albania,2006,0.73584,1.27,99.99652333333331
Albania_2007,Albania,2007,0.74324,1.29,99.99693
Albania_2008,Albania,2008,0.66119000000000006,1.46,99.99704
Albania_2009,Albania,2009,0.67008,1.47,99.99737
Albania_2010,Albania,2010,0.6453,1.56,99.9977
Argentina_1990,Argentina,1990,0.24336,3.43,99.99485
Argentina_1991,Argentina,1991,0.24843,3.54,99.9956
Argentina_1992,Argentina,1992,0.23866,3.61,99.9953
Argentina_1993,Argentina,1993,0.25711,3.46,99.99577
Argentina_1994,Argentina,1994,0.24622,3.55,99.99551
Argentina_1995,Argentina,1995,0.24256,3.67,99.99578
Argentina_1996,Argentina,1996,0.22632,3.82,99.99535
Armenia_1999,Armenia,1999,1,0.988,99.99742
Armenia_2000,Armenia,2000,0.89402,1.14,99.99778
Armenia_2001,Armenia,2001,1,1.16,99.99824
Armenia_2002,Armenia,2002,1,1.01,99.99775
Armenia_2003,Armenia,2003,0.99272,1.15,99.99818
Armenia_2004,Armenia,2004,0.93463,1.23,99.998206
Armenia_2005,Armenia,2005,0.78745,1.47,99.998232
Armenia_2006,Armenia,2006,0.78677,1.49,99.998258
Armenia_2007,Armenia,2007,0.68392,1.74,99.998284
Armenia_2008,Armenia,2008,0.62904,1.92,99.99831
Armenia_2009,Armenia,2009,0.82017,1.51,99.998355
Armenia_2010,Armenia,2010,0.85754,1.48,99.9984
Armenia_2011,Armenia,2011,0.75137,1.73,99.998445
Armenia_2012,Armenia,2012,0.66863,1.99,99.99849
Armenia_2013,Armenia,2013,0.8431,1.91,99.9989
Armenia_2014,Armenia,2014,0.89168,1.91,99.999036
Armenia_2015,Armenia,2015,0.96768,1.65,99.99888
Armenia_2016,Armenia,2016,0.94984,1.76,99.99899
Australia_1990,Australia,1990,0.06364,16.4,99.99786
Australia_1991,Australia,1991,0.06816,16.3,99.99808
Australia_1992,Australia,1992,0.07406,16.4,99.99832
Australia_1993,Australia,1993,0.06943,16.4,99.99817
Australia_1994,Australia,1994,0.07012,16.5,99.99823
Australia_1995,Australia,1995,0.07426,17,99.99839
Australia_1996,Australia,1996,0.06824,17.2,99.99826
Australia_1997,Australia,1997,0.0694,17.5,99.99832
Australia_1998,Australia,1998,0.07203,18,99.99844
Australia_1999,Australia,1999,0.07122,18.3,99.99845
Australia_2000,Australia,2000,0.06897,18.5,99.99841
Australia_2001,Australia,2001,0.06897,18.6,99.99842
Australia_2002,Australia,2002,0.07298,18.7,99.99854
Australia_2003,Australia,2003,0.07906,18.9,99.99873
Australia_2004,Australia,2004,0.09588,19.3,99.999252
Australia_2005,Australia,2005,0.08799,19.2,99.999016
Australia_2006,Australia,2006,0.08002,19.1,99.99878
Australia_2007,Australia,2007,0.08821,19.2,99.999022
Australia_2008,Australia,2008,0.08511,19,99.99891
Australia_2009,Australia,2009,0.08311,18.8,99.99883
Australia_2010,Australia,2010,0.09085,18.4,99.99899
Australia_2011,Australia,2011,0.09136,18,99.99895
Australia_2012,Australia,2012,0.08548,17.8,99.99877
