dmu,country,year,efficiencies,CO2,income_share_20
Albania_1996,Albania,1996,0.92122,0.651,9.2
Albania_1997,Albania,1997,1,0.498,9.066666666666666
Albania_1998,Albania,1998,0.88455,0.563,8.933333333333334
Albania_1999,Albania,1999,0.52092,0.956,8.8
Albania_2000,Albania,2000,0.51553,0.966,8.666666666666666
Albania_2001,Albania,2001,0.4835,1.03,8.533333333333333
Albania_2002,Albania,2002,0.415,1.2,8.4
Albania_2003,Albania,2003,0.36087,1.38,8.4
Albania_2004,Albania,2004,0.37164,1.34,8.4
Albania_2005,Albania,2005,0.36087,1.38,8.4
Albania_2006,Albania,2006,0.39213,1.27,8.566666666666666
Albania_2007,Albania,2007,0.38605,1.29,8.733333333333334
Albania_2008,Albania,2008,0.3411,1.46,8.9
Albania_2009,Albania,2009,0.33878,1.47,8.9
Albania_2010,Albania,2010,0.31923,1.56,8.9
Argentina_1990,Argentina,1990,0.14519,3.43,4.75
Argentina_1991,Argentina,1991,0.14068,3.54,4.8
Argentina_1992,Argentina,1992,0.13795,3.61,4.6
Argentina_1993,Argentina,1993,0.14393,3.46,4.5
Argentina_1994,Argentina,1994,0.14028,3.55,4.4
Argentina_1995,Argentina,1995,0.13569,3.67,3.8
Argentina_1996,Argentina,1996,0.13037,3.82,3.5
Armenia_1999,Armenia,1999,0.50405,0.988,7.6
Armenia_2000,Armenia,2000,0.43684,1.14,7.65
Armenia_2001,Armenia,2001,0.42931,1.16,7.7
Armenia_2002,Armenia,2002,0.49307,1.01,8
Armenia_2003,Armenia,2003,0.43304,1.15,8.7
Armenia_2004,Armenia,2004,0.40488,1.23,7.6
Armenia_2005,Armenia,2005,0.33878,1.47,8.1
Armenia_2006,Armenia,2006,0.33423,1.49,8.9
Armenia_2007,Armenia,2007,0.28621,1.74,8.4
Armenia_2008,Armenia,2008,0.27262,1.92,9.1
Armenia_2009,Armenia,2009,0.4982,1.51,9.4
Armenia_2010,Armenia,2010,0.35367,1.48,9.1
Armenia_2011,Armenia,2011,0.28786,1.73,9
Armenia_2012,Armenia,2012,0.25025,1.99,9
Armenia_2013,Armenia,2013,0.26073,1.91,8.6
Armenia_2014,Armenia,2014,0.26073,1.91,8.4
Armenia_2015,Armenia,2015,0.30182,1.65,8.2
Armenia_2016,Armenia,2016,0.28295,1.76,7.9
Australia_1990,Australia,1990,0.03037,16.4,7.35
Australia_1991,Australia,1991,0.03055,16.3,7.4
Australia_1992,Australia,1992,0.03037,16.4,7.449999999999999
Australia_1993,Australia,1993,0.03037,16.4,7.5
Australia_1994,Australia,1994,0.03018,16.5,7.55
Australia_1995,Australia,1995,0.02929,17,7.6
Australia_1996,Australia,1996,0.02895,17.2,7.566666666666666
Australia_1997,Australia,1997,0.02846,17.5,7.533333333333333
Australia_1998,Australia,1998,0.02767,18,7.5
Australia_1999,Australia,1999,0.02721,18.3,7.466666666666667
Australia_2000,Australia,2000,0.02692,18.5,7.433333333333334
Australia_2001,Australia,2001,0.02677,18.6,7.4
Australia_2002,Australia,2002,0.02663,18.7,7.4
Australia_2003,Australia,2003,0.02635,18.9,7.4
Australia_2004,Australia,2004,0.0258,19.3,7.7
Australia_2005,Australia,2005,0.02594,19.2,7.575
Australia_2006,Australia,2006,0.02607,19.1,7.45
Australia_2007,Australia,2007,0.02594,19.2,7.325
