dmu,country,year,efficiencies,material_footprint,life_expectancy
Albania_1996,Albania,1996,0.70046,4.28,74.5
Albania_1997,Albania,1997,0.36309,4.03,72.9
Albania_1998,Albania,1998,0.7536,4.36,74.8
Albania_1999,Albania,1999,0.75549,4.73,75.1
Albania_2000,Albania,2000,0.69572,5.55,75.4
Albania_2001,Albania,2001,0.72733,6.1,76
Albania_2002,Albania,2002,0.70813,6.13,75.9
Albania_2003,Albania,2003,0.54185,7.48,75.6
Albania_2004,Albania,2004,0.50959,8.33,75.8
Albania_2005,Albania,2005,0.50365,9.19,76.2
Albania_2006,Albania,2006,0.57923,9.15,76.9
Albania_2007,Albania,2007,0.7666,8.93,77.5
Albania_2008,Albania,2008,0.75648,9.39,77.6
Albania_2009,Albania,2009,0.74623,10.9,78
Albania_2010,Albania,2010,0.93655,8.96,78.1
Argentina_1990,Argentina,1990,0.11269,9.58,72.5
Argentina_1991,Argentina,1991,0.11252,11.3,72.7
Argentina_1992,Argentina,1992,0.1149,11.9,72.8
Argentina_1993,Argentina,1993,0.13102,11.9,73
Argentina_1994,Argentina,1994,0.15298,12.7,73.4
Argentina_1995,Argentina,1995,0.15925,12.2,73.4
Argentina_1996,Argentina,1996,0.16575,12.3,73.5
Armenia_1999,Armenia,1999,0.19066,3.04,71.9
Armenia_2000,Armenia,2000,0.4048,2.43,72.4
Armenia_2001,Armenia,2001,0.39258,2.75,72.5
Armenia_2002,Armenia,2002,0.43542,2.92,72.7
Armenia_2003,Armenia,2003,0.40816,3.35,72.8
Armenia_2004,Armenia,2004,0.39373,3.96,73
Armenia_2005,Armenia,2005,0.35356,4.41,73
Armenia_2006,Armenia,2006,0.34481,4.8,73.1
Armenia_2007,Armenia,2007,0.35334,5.77,73.5
Armenia_2008,Armenia,2008,0.31174,6.54,73.5
Armenia_2009,Armenia,2009,0.32943,6.48,73.6
Armenia_2010,Armenia,2010,0.38759,6.25,73.9
Armenia_2011,Armenia,2011,0.43019,6.3,74.2
Armenia_2012,Armenia,2012,0.46665,6.63,74.6
Armenia_2013,Armenia,2013,0.51343,6.96,75.1
Armenia_2014,Armenia,2014,0.51248,7.16,75.2
Armenia_2015,Armenia,2015,0.48487,7.37,75.1
Armenia_2016,Armenia,2016,0.47905,7.86,75.3
Australia_1990,Australia,1990,0.13791,40.3,77
Australia_1991,Australia,1991,0.16147,40.8,77.4
Australia_1992,Australia,1992,0.19198,37,77.6
Australia_1993,Australia,1993,0.22249,35.4,77.9
Australia_1994,Australia,1994,0.23306,34.9,78
Australia_1995,Australia,1995,0.23255,38.3,78.3
Australia_1996,Australia,1996,0.24036,39.2,78.5
Australia_1997,Australia,1997,0.25551,39.9,78.8
Australia_1998,Australia,1998,0.26114,42,79.1
Australia_1999,Australia,1999,0.28155,41.7,79.4
Australia_2000,Australia,2000,0.31441,39.8,79.7
