dmu,country,year,efficiencies,material_footprint,income
Albania_1996,Albania,1996,0.00701,4.28,4.91
Albania_1997,Albania,1997,0.0074400000000000004,4.03,4.4
Albania_1998,Albania,1998,0.00688,4.36,4.82
Albania_1999,Albania,1999,0.00634,4.73,5.48
Albania_2000,Albania,2000,0.00541,5.55,5.89
Albania_2001,Albania,2001,0.00492,6.1,6.44
Albania_2002,Albania,2002,0.00489,6.13,6.75
Albania_2003,Albania,2003,0.00401,7.48,7.15
Albania_2004,Albania,2004,0.0036,8.33,7.58
Albania_2005,Albania,2005,0.00326,9.19,8.04
Albania_2006,Albania,2006,0.00734,9.15,8.57
Albania_2007,Albania,2007,0.03431,8.93,9.15
Albania_2008,Albania,2008,0.06601,9.39,9.91
Albania_2009,Albania,2009,0.07162,10.9,10.3
Albania_2010,Albania,2010,0.10554,8.96,10.7
Argentina_1990,Argentina,1990,0.24509,9.58,14.1
Argentina_1991,Argentina,1991,0.24794,11.3,15.2
Argentina_1992,Argentina,1992,0.2701,11.9,16.2
Argentina_1993,Argentina,1993,0.30822,11.9,17.3
Argentina_1994,Argentina,1994,0.31479,12.7,18.1
Argentina_1995,Argentina,1995,0.30403,12.2,17.4
Argentina_1996,Argentina,1996,0.32503,12.3,18.1
Armenia_1999,Armenia,1999,0.00987,3.04,3.8
Armenia_2000,Armenia,2000,0.01235,2.43,4.05
Armenia_2001,Armenia,2001,0.01091,2.75,4.46
Armenia_2002,Armenia,2002,0.01027,2.92,5.08
Armenia_2003,Armenia,2003,0.00896,3.35,5.82
Armenia_2004,Armenia,2004,0.00758,3.96,6.47
Armenia_2005,Armenia,2005,0.0068,4.41,7.42
Armenia_2006,Armenia,2006,0.00625,4.8,8.46
Armenia_2007,Armenia,2007,0.09312,5.77,9.71
Armenia_2008,Armenia,2008,0.13198,6.54,10.5
Armenia_2009,Armenia,2009,0.04091,6.48,9.05
Armenia_2010,Armenia,2010,0.05825,6.25,9.29
Armenia_2011,Armenia,2011,0.0866,6.3,9.73
Armenia_2012,Armenia,2012,0.12397,6.63,10.4
Armenia_2013,Armenia,2013,0.13587,6.96,10.7
