dmu,country,year,efficiencies,material_footprint,mean_years_in_school
Albania_1996,Albania,1996,0.00701,4.28,8.2
Albania_1997,Albania,1997,0.0074400000000000004,4.03,8.3
Albania_1998,Albania,1998,0.00688,4.36,8.5
Albania_1999,Albania,1999,0.00634,4.73,8.6
Albania_2000,Albania,2000,0.00541,5.55,8.8
Albania_2001,Albania,2001,0.00492,6.1,8.7
Albania_2002,Albania,2002,0.00489,6.13,9
Albania_2003,Albania,2003,0.00401,7.48,9
Albania_2004,Albania,2004,0.0039,8.33,9.1
Albania_2005,Albania,2005,0.00354,9.19,9.1
Albania_2006,Albania,2006,0.00383,9.15,9.2
Albania_2007,Albania,2007,0.00392,8.93,9.2
Albania_2008,Albania,2008,0.00373,9.39,9.2
Albania_2009,Albania,2009,0.00344,10.9,9.3
Albania_2010,Albania,2010,0.00419,8.96,9.3
Argentina_1990,Argentina,1990,0.00313,9.58,7.88
Argentina_1991,Argentina,1991,0.00265,11.3,8
Argentina_1992,Argentina,1992,0.00252,11.9,8
Argentina_1993,Argentina,1993,0.00252,11.9,8.1
Argentina_1994,Argentina,1994,0.00236,12.7,8.2
Argentina_1995,Argentina,1995,0.00246,12.2,8.3
Argentina_1996,Argentina,1996,0.00244,12.3,8.5
Armenia_1999,Armenia,1999,0.0551,3.04,10.7
Armenia_2000,Armenia,2000,0.07562,2.43,10.8
Armenia_2001,Armenia,2001,0.06091,2.75,10.7
Armenia_2002,Armenia,2002,0.06293,2.92,10.8
Armenia_2003,Armenia,2003,0.05485,3.35,10.8
Armenia_2004,Armenia,2004,0.0464,3.96,10.8
Armenia_2005,Armenia,2005,0.04535,4.41,10.9
Armenia_2006,Armenia,2006,0.04167,4.8,10.9
Armenia_2007,Armenia,2007,0.04853,5.77,11
Armenia_2008,Armenia,2008,0.04281,6.54,11
Armenia_2009,Armenia,2009,0.05556,6.48,11.1
Armenia_2010,Armenia,2010,0.0576,6.25,11.1
Armenia_2011,Armenia,2011,0.06984,6.3,11.2
Armenia_2012,Armenia,2012,0.07843,6.63,11.3
Armenia_2013,Armenia,2013,0.08621,6.96,11.4
Armenia_2014,Armenia,2014,0.19661,7.16,11.5
Armenia_2015,Armenia,2015,0.30059,7.37,11.6
Armenia_2016,Armenia,2016,0.38462,7.86,11.7
Australia_1990,Australia,1990,0.01092,40.3,11.2
Australia_1991,Australia,1991,0.09389,40.8,11.8
Australia_1992,Australia,1992,0.10353,37,11.8
Australia_1993,Australia,1993,0.10821,35.4,11.8
Australia_1994,Australia,1994,0.10976,34.9,11.8
Australia_1995,Australia,1995,0.10002,38.3,11.8
Australia_1996,Australia,1996,0.09772,39.2,11.8
Australia_1997,Australia,1997,0.09601,39.9,11.8
Australia_1998,Australia,1998,0.09121,42,11.8
Australia_1999,Australia,1999,0.11123,41.7,11.9
Australia_2000,Australia,2000,0.11654,39.8,11.9
Australia_2001,Australia,2001,0.11596,40,11.9
Australia_2002,Australia,2002,0.09529,40.2,11.8
Australia_2003,Australia,2003,0.0893,42.9,11.8
Australia_2004,Australia,2004,0.09056,42.3,11.8
