dmu,country,year,efficiencies,material_footprint,murder
Albania_1996,Albania,1996,0.01267,4.28,99.99177
Albania_1997,Albania,1997,0.0074400000000000004,4.03,99.9604
Albania_1998,Albania,1998,0.00688,4.36,99.9808
Albania_1999,Albania,1999,0.00634,4.73,99.9846
Albania_2000,Albania,2000,0.22996,5.55,99.99604
Albania_2001,Albania,2001,0.01027,6.1,99.99242
Albania_2002,Albania,2002,0.0106,6.13,99.9926
Albania_2003,Albania,2003,0.05419,7.48,99.99447
Albania_2004,Albania,2004,0.12695,8.33,99.99571
Albania_2005,Albania,2005,0.14441,9.19,99.99611666666668
Albania_2006,Albania,2006,0.17451,9.15,99.99652333333331
Albania_2007,Albania,2007,0.209,8.93,99.99693
Albania_2008,Albania,2008,0.20653,9.39,99.99704
Albania_2009,Albania,2009,0.198,10.9,99.99737
Albania_2010,Albania,2010,0.26529,8.96,99.9977
Argentina_1990,Argentina,1990,0.05635,9.58,99.99485
Argentina_1991,Argentina,1991,0.08713,11.3,99.9956
Argentina_1992,Argentina,1992,0.06602,11.9,99.9953
Argentina_1993,Argentina,1993,0.09221,11.9,99.99577
Argentina_1994,Argentina,1994,0.07283,12.7,99.99551
Argentina_1995,Argentina,1995,0.09048,12.2,99.99578
Argentina_1996,Argentina,1996,0.06657,12.3,99.99535
Armenia_1999,Armenia,1999,0.72082,3.04,99.99742
Armenia_2000,Armenia,2000,1,2.43,99.99778
Armenia_2001,Armenia,2001,1,2.75,99.99824
Armenia_2002,Armenia,2002,0.82538,2.92,99.99775
Armenia_2003,Armenia,2003,0.80844,3.35,99.99818
Armenia_2004,Armenia,2004,0.68847,3.96,99.998206
Armenia_2005,Armenia,2005,0.62232,4.41,99.998232
Armenia_2006,Armenia,2006,0.57719,4.8,99.998258
Armenia_2007,Armenia,2007,0.4853,5.77,99.998284
Armenia_2008,Armenia,2008,0.4327,6.54,99.99831
Armenia_2009,Armenia,2009,0.44462,6.48,99.998355
Armenia_2010,Armenia,2010,0.46919,6.25,99.9984
Armenia_2011,Armenia,2011,0.47362,6.3,99.998445
Armenia_2012,Armenia,2012,0.45778,6.63,99.99849
Armenia_2013,Armenia,2013,0.50326,6.96,99.9989
Armenia_2014,Armenia,2014,0.52929,7.16,99.999036
