dmu,country,year,efficiencies,material_footprint,income_share_20
Albania_1996,Albania,1996,0.2002,4.28,9.2
Albania_1997,Albania,1997,0.17013,4.03,9.066666666666666
Albania_1998,Albania,1998,0.12672,4.36,8.933333333333334
Albania_1999,Albania,1999,0.09672,4.73,8.8
Albania_2000,Albania,2000,0.06532,5.55,8.666666666666666
Albania_2001,Albania,2001,0.04385,6.1,8.533333333333333
Albania_2002,Albania,2002,0.02814,6.13,8.4
Albania_2003,Albania,2003,0.02306,7.48,8.4
Albania_2004,Albania,2004,0.02071,8.33,8.4
Albania_2005,Albania,2005,0.01877,9.19,8.4
Albania_2006,Albania,2006,0.03183,9.15,8.566666666666666
Albania_2007,Albania,2007,0.04591,8.93,8.733333333333334
Albania_2008,Albania,2008,0.05631,9.39,8.9
Albania_2009,Albania,2009,0.04851,10.9,8.9
Albania_2010,Albania,2010,0.05901,8.96,8.9
Argentina_1990,Argentina,1990,0.00313,9.58,4.75
Argentina_1991,Argentina,1991,0.00265,11.3,4.8
Argentina_1992,Argentina,1992,0.00252,11.9,4.6
Argentina_1993,Argentina,1993,0.00252,11.9,4.5
Argentina_1994,Argentina,1994,0.00236,12.7,4.4
Argentina_1995,Argentina,1995,0.00246,12.2,3.8
Argentina_1996,Argentina,1996,0.00244,12.3,3.5
Armenia_1999,Armenia,1999,0.00987,3.04,7.6
Armenia_2000,Armenia,2000,0.01235,2.43,7.65
Armenia_2001,Armenia,2001,0.01091,2.75,7.7
Armenia_2002,Armenia,2002,0.01027,2.92,8
Armenia_2003,Armenia,2003,0.1153,3.35,8.7
Armenia_2004,Armenia,2004,0.00758,3.96,7.6
Armenia_2005,Armenia,2005,0.0068,4.41,8.1
Armenia_2006,Armenia,2006,0.11016,4.8,8.9
Armenia_2007,Armenia,2007,0.0299,5.77,8.4
Armenia_2008,Armenia,2008,0.11138,6.54,9.1
Armenia_2009,Armenia,2009,0.17186,6.48,9.4
Armenia_2010,Armenia,2010,0.11655,6.25,9.1
Armenia_2011,Armenia,2011,0.09524,6.3,9
Armenia_2012,Armenia,2012,0.0905,6.63,9
Armenia_2013,Armenia,2013,0.04526,6.96,8.6
Armenia_2014,Armenia,2014,0.02409,7.16,8.4
Armenia_2015,Armenia,2015,0.00407,7.37,8.2
Armenia_2016,Armenia,2016,0.00382,7.86,7.9
Australia_1990,Australia,1990,7.4e-4,40.3,7.35
Australia_1991,Australia,1991,7.4e-4,40.8,7.4
Australia_1992,Australia,1992,8.1e-4,37,7.449999999999999
Australia_1993,Australia,1993,8.5e-4,35.4,7.5
Australia_1994,Australia,1994,8.6e-4,34.9,7.55
Australia_1995,Australia,1995,7.8e-4,38.3,7.6
Australia_1996,Australia,1996,7.7e-4,39.2,7.566666666666666
Australia_1997,Australia,1997,7.5e-4,39.9,7.533333333333333
Australia_1998,Australia,1998,7.1e-4,42,7.5
Australia_1999,Australia,1999,7.2e-4,41.7,7.466666666666667
Australia_2000,Australia,2000,7.5e-4,39.8,7.433333333333334
Australia_2001,Australia,2001,7.5e-4,40,7.4
Australia_2002,Australia,2002,7.5e-4,40.2,7.4
Australia_2003,Australia,2003,7e-4,42.9,7.4
Australia_2004,Australia,2004,7.1e-4,42.3,7.7
Australia_2005,Australia,2005,7e-4,43,7.575
Australia_2006,Australia,2006,7.8e-4,38.7,7.45
Australia_2007,Australia,2007,6.6e-4,45.6,7.325
Australia_2008,Australia,2008,8e-4,37.7,7.2
Australia_2009,Australia,2009,7e-4,43.1,7.25
Australia_2010,Australia,2010,7.4e-4,40.8,7.3
Australia_2011,Australia,2011,7.3e-4,40.9,7.325
Australia_2012,Australia,2012,7.2e-4,41.5,7.35
Australia_2013,Australia,2013,7.3e-4,41.2,7.375
Australia_2014,Australia,2014,7.1e-4,42.1,7.4
Australia_2015,Australia,2015,7.1e-4,42.5,7.4
Austria_1990,Austria,1990,0.05467,19.7,9.371428571428572
Austria_1991,Austria,1991,0.02961,21.5,9.028571428571428
