dmu,country,year,efficiencies,foreign_investment,life_expectancy
Albania_1996,Albania,1996,0.01631,61.32,74.5
Albania_1997,Albania,1997,0.0165,60.6,72.9
Albania_1998,Albania,1998,0.01659,60.27,74.8
Albania_1999,Albania,1999,0.01673,59.78,75.1
Albania_2000,Albania,2000,0.01597,62.61,75.4
Albania_2001,Albania,2001,0.01568,63.79,76
Albania_2002,Albania,2002,0.01623,61.6,75.9
Albania_2003,Albania,2003,0.01622,61.67,75.6
Albania_2004,Albania,2004,0.01581,63.25,75.8
Albania_2005,Albania,2005,0.01619,61.76,76.2
Albania_2006,Albania,2006,0.01609,62.15,76.9
Albania_2007,Albania,2007,0.01548,64.61,77.5
Albania_2008,Albania,2008,0.01467,68.18,77.6
Albania_2009,Albania,2009,0.01435,69.7,78
Albania_2010,Albania,2010,0.01478,67.64,78.1
Argentina_1990,Argentina,1990,0.01672,59.8,72.5
Argentina_1991,Argentina,1991,0.01673,59.79,72.7
Argentina_1992,Argentina,1992,0.01655,60.44,72.8
Argentina_1993,Argentina,1993,0.01676,59.68,73
Argentina_1994,Argentina,1994,0.01669,59.91,73.4
Argentina_1995,Argentina,1995,0.01648,60.67,73.4
Argentina_1996,Argentina,1996,0.01638,61.05,73.5
Armenia_1999,Armenia,1999,0.01536,65.11,71.9
Armenia_2000,Armenia,2000,0.01564,63.95,72.4
Armenia_2001,Armenia,2001,0.01618,61.8,72.5
Armenia_2002,Armenia,2002,0.01583,63.16,72.7
Armenia_2003,Armenia,2003,0.0159,62.88,72.8
Armenia_2004,Armenia,2004,0.01529,65.41,73
Armenia_2005,Armenia,2005,0.01551,64.46000000000001,73
Armenia_2006,Armenia,2006,0.0152,65.81,73.1
Armenia_2007,Armenia,2007,0.01521,65.75,73.5
Armenia_2008,Armenia,2008,0.01502,66.59,73.5
Armenia_2009,Armenia,2009,0.01486,67.28999999999999,73.6
Armenia_2010,Armenia,2010,0.01557,64.22,73.9
Armenia_2011,Armenia,2011,0.0154,64.94,74.2
Armenia_2012,Armenia,2012,0.01583,63.18,74.6
Armenia_2013,Armenia,2013,0.01623,61.61,75.1
Armenia_2014,Armenia,2014,0.01613,62,75.2
Armenia_2015,Armenia,2015,0.0166,60.24,75.1
Armenia_2016,Armenia,2016,0.01622,61.66,75.3
Australia_1990,Australia,1990,0.01633,61.22,77
Australia_1991,Australia,1991,0.01686,59.301,77.4
Australia_1992,Australia,1992,0.01666,60.02,77.6
Australia_1993,Australia,1993,0.01661,60.2,77.9
Australia_1994,Australia,1994,0.0167,59.88,78
Australia_1995,Australia,1995,0.0161,62.11,78.3
Australia_1996,Australia,1996,0.01677,59.64,78.5
Australia_1997,Australia,1997,0.01657,60.36,78.8
Australia_1998,Australia,1998,0.01656,60.4,79.1
Australia_1999,Australia,1999,0.01693,59.068,79.4
Australia_2000,Australia,2000,0.01611,62.08,79.7
Australia_2001,Australia,2001,0.01631,61.33,80.1
Australia_2002,Australia,2002,0.03946,62.21,80.3
Australia_2003,Australia,2003,0.11286,60.42,80.6
Australia_2004,Australia,2004,0.17076,65.49,80.9
Australia_2005,Australia,2005,0.28324,54.89,81.2
Australia_2006,Australia,2006,0.31812,62.59,81.5
Australia_2007,Australia,2007,0.31258,63.7,81.5
Australia_2008,Australia,2008,0.3635,62.78,81.7
Australia_2009,Australia,2009,0.41777,61.59,81.9
Australia_2010,Australia,2010,0.46516,61.57,82.1
Australia_2011,Australia,2011,0.49927,63.19,82.3
Australia_2012,Australia,2012,0.5772,62.22,82.6
Australia_2013,Australia,2013,0.6031,61.96,82.7
Australia_2014,Australia,2014,0.59494,62.81,82.7
Australia_2015,Australia,2015,0.603,61.97,82.7
Austria_1990,Austria,1990,0.01698,58.892,76
Austria_1991,Austria,1991,0.01703,58.707,76.1
Austria_1992,Austria,1992,0.01687,59.261,76.3
Austria_1993,Austria,1993,0.01692,59.091,76.5
Austria_1994,Austria,1994,0.0168,59.52,76.7
Austria_1995,Austria,1995,0.01688,59.257,77
Austria_1996,Austria,1996,0.01658,60.32,77.3
Austria_1997,Austria,1997,0.01674,59.75,77.7
Austria_1998,Austria,1998,0.0165,60.59,77.9
Austria_1999,Austria,1999,0.0167,59.87,78.2
Austria_2000,Austria,2000,0.01592,62.81,78.5
Austria_2001,Austria,2001,0.01629,61.38,78.9
Austria_2002,Austria,2002,0.01708,58.5645,79
Austria_2003,Austria,2003,0.01643,60.86,79.1
Austria_2004,Austria,2004,0.01679,59.56,79.5
Austria_2005,Austria,2005,0.01188,84.2,79.8
Austria_2006,Austria,2006,0.01623,61.62,80.1
Austria_2007,Austria,2007,0.03221,76.2,80.3
Austria_2008,Austria,2008,0.08946,59.96,80.5
Austria_2009,Austria,2009,0.08644,62.06,80.5
Austria_2010,Austria,2010,0.18394,52.89,80.8
Austria_2011,Austria,2011,0.19802,63.82,81
Austria_2012,Austria,2012,0.26012,59.77,81.2
Austria_2013,Austria,2013,0.29011,58.605,81.3
Austria_2014,Austria,2014,0.33813,58.887,81.5
Austria_2015,Austria,2015,0.37876,56.41,81.6
Austria_2016,Austria,2016,0.47422,51.19,81.8
Azerbaijan_1995,Azerbaijan,1995,0.01385,72.2,64.7
Azerbaijan_1996,Azerbaijan,1996,0.01279,78.2,65.3
Azerbaijan_1997,Azerbaijan,1997,0.01155,86.6,65.7
Azerbaijan_1998,Azerbaijan,1998,0.01227,81.5,66
Azerbaijan_1999,Azerbaijan,1999,0.01437,69.6,66.2
Azerbaijan_2000,Azerbaijan,2000,0.0164,60.96,66.5
Azerbaijan_2001,Azerbaijan,2001,0.01372,72.9,67.1
Azerbaijan_2002,Azerbaijan,2002,0.01099,91,67.2
Azerbaijan_2003,Azerbaijan,2003,0.0088,113.6,67.1
Azerbaijan_2004,Azerbaijan,2004,0.00886,112.9,67.2
Azerbaijan_2005,Azerbaijan,2005,0.01083,92.3,67.3
Belarus_1998,Belarus,1998,0.01671,59.83,68.4
Belarus_1999,Belarus,1999,0.01609,62.16,68.2
Belarus_2000,Belarus,2000,0.01683,59.433,69
Belarus_2001,Belarus,2001,0.01687,59.275,68.6
Belgium_1990,Belgium,1990,0.01602,62.42,76.2
Belgium_1991,Belgium,1991,0.01589,62.95,76.4
Belgium_1992,Belgium,1992,0.0158,63.31,76.5
Belgium_1993,Belgium,1993,0.0158,63.28,76.6
Belgium_1994,Belgium,1994,0.01613,61.98,76.8
Belgium_1995,Belgium,1995,0.01607,62.21,77
Belgium_1996,Belgium,1996,0.01574,63.54,77.3
Belgium_1997,Belgium,1997,0.01581,63.25,77.5
Belgium_1998,Belgium,1998,0.01486,67.28,77.7
Belgium_1999,Belgium,1999,0.00954,104.8,77.8
Belgium_2000,Belgium,2000,0.01042,96,78
Belgium_2001,Belgium,2001,0.01044,95.8,78.3
Belgium_2002,Belgium,2002,0.01526,65.51,78.5
Belgium_2003,Belgium,2003,0.01441,69.4,78.7
Belgium_2004,Belgium,2004,0.01416,70.6,79.1
Belgium_2005,Belgium,2005,0.01487,67.23,79.3
Belgium_2006,Belgium,2006,0.01372,72.9,79.6
Belgium_2007,Belgium,2007,0.01266,79,79.8
Belgium_2008,Belgium,2008,0.01049,95.3,79.9
Belgium_2009,Belgium,2009,0.01342,74.5,80
Belgium_2010,Belgium,2010,0.01182,84.6,80.2
Belgium_2011,Belgium,2011,0.04354,89.8,80.4
Belgium_2012,Belgium,2012,0.08811,60.88,80.5
Belgium_2013,Belgium,2013,0.15664,52.82,80.7
Belgium_2014,Belgium,2014,0.22705,55.66,81
Belgium_2015,Belgium,2015,0.25963,54.28,81.1
Bulgaria_2006,Bulgaria,2006,0.01229,81.4,71.2
Bulgaria_2007,Bulgaria,2007,0.01115,89.7,71.5
Bulgaria_2008,Bulgaria,2008,0.01292,77.4,71.9
Bulgaria_2009,Bulgaria,2009,0.01515,65.99,72.1
Bulgaria_2010,Bulgaria,2010,0.01609,62.14,72.3
Bulgaria_2011,Bulgaria,2011,0.01609,62.15,72.7
Bulgaria_2012,Bulgaria,2012,0.01618,61.79,73
Bulgaria_2013,Bulgaria,2013,0.01611,62.06,73.3
Bulgaria_2014,Bulgaria,2014,0.01655,60.42,73
Canada_1990,Canada,1990,0.01669,59.91,77.4
Canada_1991,Canada,1991,0.01693,59.076,77.6
Canada_1992,Canada,1992,0.01676,59.68,77.8
Canada_1993,Canada,1993,0.01689,59.224,77.8
Canada_1994,Canada,1994,0.01663,60.15,78
Canada_1995,Canada,1995,0.01646,60.76,78.1
Canada_1996,Canada,1996,0.01669,59.9,78.4
Canada_1997,Canada,1997,0.01644,60.82,78.6
Canada_1998,Canada,1998,0.01602,62.44,78.8
Canada_1999,Canada,1999,0.01599,62.55,79.1
Canada_2000,Canada,2000,0.01478,67.67,79.4
Canada_2001,Canada,2001,0.01604,62.34,79.6
Canada_2002,Canada,2002,0.0162,61.72,79.8
Canada_2003,Canada,2003,0.01687,59.283,80
Canada_2004,Canada,2004,0.01705,58.641,80.2
Canada_2005,Canada,2005,0.06443,60.68,80.4
Chile_1990,Chile,1990,0.01653,60.5,73.4
Chile_1991,Chile,1991,0.01648,60.67,74.2
Chile_1992,Chile,1992,0.01652,60.54,74.7
Chile_1993,Chile,1993,0.0165,60.6,75
Chile_1994,Chile,1994,0.01587,63.03,75.2
