dmu,country,year,efficiencies,foreign_investment,income
Albania_1996,Albania,1996,0.01631,61.32,4.91
Albania_1997,Albania,1997,0.0165,60.6,4.4
Albania_1998,Albania,1998,0.01659,60.27,4.82
Albania_1999,Albania,1999,0.01673,59.78,5.48
Albania_2000,Albania,2000,0.01597,62.61,5.89
Albania_2001,Albania,2001,0.01568,63.79,6.44
Albania_2002,Albania,2002,0.01623,61.6,6.75
Albania_2003,Albania,2003,0.01622,61.67,7.15
Albania_2004,Albania,2004,0.01581,63.25,7.58
Albania_2005,Albania,2005,0.01619,61.76,8.04
Albania_2006,Albania,2006,0.01609,62.15,8.57
Albania_2007,Albania,2007,0.01548,64.61,9.15
Albania_2008,Albania,2008,0.01467,68.18,9.91
Albania_2009,Albania,2009,0.01435,69.7,10.3
Albania_2010,Albania,2010,0.01478,67.64,10.7
Argentina_1990,Argentina,1990,0.01672,59.8,14.1
Argentina_1991,Argentina,1991,0.01673,59.79,15.2
Argentina_1992,Argentina,1992,0.01655,60.44,16.2
Argentina_1993,Argentina,1993,0.01676,59.68,17.3
Argentina_1994,Argentina,1994,0.01669,59.91,18.1
Argentina_1995,Argentina,1995,0.01648,60.67,17.4
Argentina_1996,Argentina,1996,0.01638,61.05,18.1
Armenia_1999,Armenia,1999,0.01536,65.11,3.8
Armenia_2000,Armenia,2000,0.01564,63.95,4.05
Armenia_2001,Armenia,2001,0.01618,61.8,4.46
Armenia_2002,Armenia,2002,0.01583,63.16,5.08
Armenia_2003,Armenia,2003,0.0159,62.88,5.82
Armenia_2004,Armenia,2004,0.01529,65.41,6.47
Armenia_2005,Armenia,2005,0.01551,64.46000000000001,7.42
Armenia_2006,Armenia,2006,0.0152,65.81,8.46
Armenia_2007,Armenia,2007,0.01521,65.75,9.71
Armenia_2008,Armenia,2008,0.01502,66.59,10.5
Armenia_2009,Armenia,2009,0.01486,67.28999999999999,9.05
Armenia_2010,Armenia,2010,0.01557,64.22,9.29
Armenia_2011,Armenia,2011,0.0154,64.94,9.73
Armenia_2012,Armenia,2012,0.01583,63.18,10.4
Armenia_2013,Armenia,2013,0.01623,61.61,10.7
Armenia_2014,Armenia,2014,0.01613,62,11
Armenia_2015,Armenia,2015,0.0166,60.24,11.3
Armenia_2016,Armenia,2016,0.01622,61.66,11.3
Australia_1990,Australia,1990,0.01633,61.22,31
Australia_1991,Australia,1991,0.01686,59.301,30.5
Australia_1992,Australia,1992,0.01666,60.02,30.3
Australia_1993,Australia,1993,0.01661,60.2,31.2
Australia_1994,Australia,1994,0.0167,59.88,32.1
Australia_1995,Australia,1995,0.0161,62.11,32.9
Australia_1996,Australia,1996,0.01677,59.64,33.7
Australia_1997,Australia,1997,0.01657,60.36,34.7
Australia_1998,Australia,1998,0.01656,60.4,35.9
Australia_1999,Australia,1999,0.01693,59.068,37.2
Australia_2000,Australia,2000,0.01611,62.08,38.2
Australia_2001,Australia,2001,0.01631,61.33,38.5
Australia_2002,Australia,2002,0.01607,62.21,39.5
Australia_2003,Australia,2003,0.01655,60.42,40.3
Australia_2004,Australia,2004,0.01527,65.49,41.5
Australia_2005,Australia,2005,0.01822,54.89,42.2
Australia_2006,Australia,2006,0.01598,62.59,42.7
Australia_2007,Australia,2007,0.0157,63.7,44.1
Australia_2008,Australia,2008,0.01593,62.78,44.7
Australia_2009,Australia,2009,0.01624,61.59,44.6
Australia_2010,Australia,2010,0.01624,61.57,44.9
Australia_2011,Australia,2011,0.01583,63.19,45.4
Australia_2012,Australia,2012,0.01607,62.22,46.4
Australia_2013,Australia,2013,0.01614,61.96,46.7
Australia_2014,Australia,2014,0.01592,62.81,47.2
Australia_2015,Australia,2015,0.01614,61.97,47.6
Austria_1990,Austria,1990,0.01698,58.892,37.5
Austria_1991,Austria,1991,0.01703,58.707,38.4
Austria_1992,Austria,1992,0.01687,59.261,38.8
Austria_1993,Austria,1993,0.01692,59.091,38.7
Austria_1994,Austria,1994,0.0168,59.52,39.4
Austria_1995,Austria,1995,0.01688,59.257,40.4
Austria_1996,Austria,1996,0.01658,60.32,41.3
Austria_1997,Austria,1997,0.01674,59.75,42.1
Austria_1998,Austria,1998,0.0165,60.59,43.6
Austria_1999,Austria,1999,0.0167,59.87,45.1
Austria_2000,Austria,2000,0.01592,62.81,46.5
Austria_2001,Austria,2001,0.01629,61.38,46.9
Austria_2002,Austria,2002,0.01708,58.5645,47.4
Austria_2003,Austria,2003,0.01643,60.86,47.6
Austria_2004,Austria,2004,0.01679,59.56,48.6
Austria_2005,Austria,2005,0.01188,84.2,49.4
Austria_2006,Austria,2006,0.01623,61.62,50.8
Austria_2007,Austria,2007,0.01312,76.2,52.6
Austria_2008,Austria,2008,0.01668,59.96,53.2
Austria_2009,Austria,2009,0.01611,62.06,51
Austria_2010,Austria,2010,0.01891,52.89,51.8
Austria_2011,Austria,2011,0.01567,63.82,53.2
Austria_2012,Austria,2012,0.01673,59.77,53.3
Austria_2013,Austria,2013,0.01706,58.605,53
Austria_2014,Austria,2014,0.01698,58.887,52.9
Austria_2015,Austria,2015,0.01773,56.41,52.9
Austria_2016,Austria,2016,0.01954,51.19,53.3
Azerbaijan_1995,Azerbaijan,1995,0.01385,72.2,2.98
Azerbaijan_1996,Azerbaijan,1996,0.01279,78.2,2.99
Azerbaijan_1997,Azerbaijan,1997,0.01155,86.6,3.13
Azerbaijan_1998,Azerbaijan,1998,0.01227,81.5,3.41
Azerbaijan_1999,Azerbaijan,1999,0.01437,69.6,3.63
Azerbaijan_2000,Azerbaijan,2000,0.0164,60.96,4
Azerbaijan_2001,Azerbaijan,2001,0.01372,72.9,4.36
Azerbaijan_2002,Azerbaijan,2002,0.01099,91,4.74
Azerbaijan_2003,Azerbaijan,2003,0.0088,113.6,5.18
Azerbaijan_2004,Azerbaijan,2004,0.00886,112.9,5.61
Azerbaijan_2005,Azerbaijan,2005,0.01083,92.3,7.11
Belarus_1998,Belarus,1998,0.01671,59.83,7.29
Belarus_1999,Belarus,1999,0.01609,62.16,7.58
Belarus_2000,Belarus,2000,0.01683,59.433,8.05
Belarus_2001,Belarus,2001,0.01687,59.275,8.48
Belgium_1990,Belgium,1990,0.01602,62.42,35.5
Belgium_1991,Belgium,1991,0.01589,62.95,36
Belgium_1992,Belgium,1992,0.0158,63.31,36.4
Belgium_1993,Belgium,1993,0.0158,63.28,35.9
Belgium_1994,Belgium,1994,0.01613,61.98,37
Belgium_1995,Belgium,1995,0.01607,62.21,37.8
Belgium_1996,Belgium,1996,0.01574,63.54,38.2
Belgium_1997,Belgium,1997,0.01581,63.25,39.6
Belgium_1998,Belgium,1998,0.01486,67.28,40.3
Belgium_1999,Belgium,1999,0.00954,104.8,41.6
Belgium_2000,Belgium,2000,0.01042,96,43
Belgium_2001,Belgium,2001,0.01044,95.8,43.3
Belgium_2002,Belgium,2002,0.01526,65.51,43.9
Belgium_2003,Belgium,2003,0.01441,69.4,44.2
Belgium_2004,Belgium,2004,0.01416,70.6,45.5
Belgium_2005,Belgium,2005,0.01487,67.23,46.3
Belgium_2006,Belgium,2006,0.01372,72.9,47.2
Belgium_2007,Belgium,2007,0.01266,79,48.6
Belgium_2008,Belgium,2008,0.01049,95.3,48.4
Belgium_2009,Belgium,2009,0.01342,74.5,47.1
Belgium_2010,Belgium,2010,0.01182,84.6,48
Belgium_2011,Belgium,2011,0.01114,89.8,48.2
Belgium_2012,Belgium,2012,0.01643,60.88,48.2
