dmu,country,year,efficiencies,foreign_investment,mean_years_in_school
Albania_1996,Albania,1996,0.01631,61.32,8.2
Albania_1997,Albania,1997,0.0165,60.6,8.3
Albania_1998,Albania,1998,0.01659,60.27,8.5
Albania_1999,Albania,1999,0.01673,59.78,8.6
Albania_2000,Albania,2000,0.01597,62.61,8.8
Albania_2001,Albania,2001,0.01568,63.79,8.7
Albania_2002,Albania,2002,0.01623,61.6,9
Albania_2003,Albania,2003,0.01622,61.67,9
Albania_2004,Albania,2004,0.01581,63.25,9.1
Albania_2005,Albania,2005,0.01619,61.76,9.1
Albania_2006,Albania,2006,0.01609,62.15,9.2
Albania_2007,Albania,2007,0.01548,64.61,9.2
Albania_2008,Albania,2008,0.01467,68.18,9.2
Albania_2009,Albania,2009,0.01435,69.7,9.3
Albania_2010,Albania,2010,0.01478,67.64,9.3
Argentina_1990,Argentina,1990,0.01672,59.8,7.88
Argentina_1991,Argentina,1991,0.01673,59.79,8
Argentina_1992,Argentina,1992,0.01655,60.44,8
Argentina_1993,Argentina,1993,0.01676,59.68,8.1
Argentina_1994,Argentina,1994,0.01669,59.91,8.2
Argentina_1995,Argentina,1995,0.01648,60.67,8.3
Argentina_1996,Argentina,1996,0.01638,61.05,8.5
Armenia_1999,Armenia,1999,0.01536,65.11,10.7
Armenia_2000,Armenia,2000,0.01564,63.95,10.8
Armenia_2001,Armenia,2001,0.01618,61.8,10.7
Armenia_2002,Armenia,2002,0.01583,63.16,10.8
Armenia_2003,Armenia,2003,0.0159,62.88,10.8
Armenia_2004,Armenia,2004,0.01529,65.41,10.8
Armenia_2005,Armenia,2005,0.01551,64.46000000000001,10.9
Armenia_2006,Armenia,2006,0.0152,65.81,10.9
Armenia_2007,Armenia,2007,0.01521,65.75,11
Armenia_2008,Armenia,2008,0.01502,66.59,11
Armenia_2009,Armenia,2009,0.01486,67.28999999999999,11.1
Armenia_2010,Armenia,2010,0.01557,64.22,11.1
Armenia_2011,Armenia,2011,0.0154,64.94,11.2
Armenia_2012,Armenia,2012,0.01583,63.18,11.3
Armenia_2013,Armenia,2013,0.01623,61.61,11.4
Armenia_2014,Armenia,2014,0.01613,62,11.5
Armenia_2015,Armenia,2015,0.0166,60.24,11.6
Armenia_2016,Armenia,2016,0.01622,61.66,11.7
Australia_1990,Australia,1990,0.01633,61.22,11.2
