dmu,country,year,efficiencies,foreign_investment,murder
Albania_1996,Albania,1996,0.01631,61.32,99.99177
Albania_1997,Albania,1997,0.0165,60.6,99.9604
Albania_1998,Albania,1998,0.01659,60.27,99.9808
Albania_1999,Albania,1999,0.01673,59.78,99.9846
Albania_2000,Albania,2000,0.01597,62.61,99.99604
Albania_2001,Albania,2001,0.01568,63.79,99.99242
Albania_2002,Albania,2002,0.01623,61.6,99.9926
Albania_2003,Albania,2003,0.01622,61.67,99.99447
Albania_2004,Albania,2004,0.01581,63.25,99.99571
Albania_2005,Albania,2005,0.01619,61.76,99.99611666666668
Albania_2006,Albania,2006,0.01609,62.15,99.99652333333331
Albania_2007,Albania,2007,0.01548,64.61,99.99693
Albania_2008,Albania,2008,0.01467,68.18,99.99704
Albania_2009,Albania,2009,0.01435,69.7,99.99737
Albania_2010,Albania,2010,0.01478,67.64,99.9977
Argentina_1990,Argentina,1990,0.01672,59.8,99.99485
Argentina_1991,Argentina,1991,0.01673,59.79,99.9956
Argentina_1992,Argentina,1992,0.01655,60.44,99.9953
Argentina_1993,Argentina,1993,0.01676,59.68,99.99577
Argentina_1994,Argentina,1994,0.01669,59.91,99.99551
Argentina_1995,Argentina,1995,0.01648,60.67,99.99578
Argentina_1996,Argentina,1996,0.01638,61.05,99.99535
Armenia_1999,Armenia,1999,0.01536,65.11,99.99742
Armenia_2000,Armenia,2000,0.01564,63.95,99.99778
Armenia_2001,Armenia,2001,0.01618,61.8,99.99824
Armenia_2002,Armenia,2002,0.01583,63.16,99.99775
Armenia_2003,Armenia,2003,0.0159,62.88,99.99818
Armenia_2004,Armenia,2004,0.01529,65.41,99.998206
Armenia_2005,Armenia,2005,0.01551,64.46000000000001,99.998232
Armenia_2006,Armenia,2006,0.0152,65.81,99.998258
Armenia_2007,Armenia,2007,0.01521,65.75,99.998284
Armenia_2008,Armenia,2008,0.01502,66.59,99.99831
Armenia_2009,Armenia,2009,0.01486,67.28999999999999,99.998355
Armenia_2010,Armenia,2010,0.01557,64.22,99.9984
Armenia_2011,Armenia,2011,0.0154,64.94,99.998445
Armenia_2012,Armenia,2012,0.01583,63.18,99.99849
Armenia_2013,Armenia,2013,0.01623,61.61,99.9989
Armenia_2014,Armenia,2014,0.13822,62,99.999036
Armenia_2015,Armenia,2015,0.0166,60.24,99.99888
Armenia_2016,Armenia,2016,0.09417,61.66,99.99899
Australia_1990,Australia,1990,0.01633,61.22,99.99786
Australia_1991,Australia,1991,0.01686,59.301,99.99808
Australia_1992,Australia,1992,0.01666,60.02,99.99832
Australia_1993,Australia,1993,0.01661,60.2,99.99817
Australia_1994,Australia,1994,0.0167,59.88,99.99823
Australia_1995,Australia,1995,0.0161,62.11,99.99839
Australia_1996,Australia,1996,0.01677,59.64,99.99826
Australia_1997,Australia,1997,0.01657,60.36,99.99832
Australia_1998,Australia,1998,0.01656,60.4,99.99844
Australia_1999,Australia,1999,0.01693,59.068,99.99845
Australia_2000,Australia,2000,0.01611,62.08,99.99841
Australia_2001,Australia,2001,0.01631,61.33,99.99842
Australia_2002,Australia,2002,0.01607,62.21,99.99854
Australia_2003,Australia,2003,0.01655,60.42,99.99873
Australia_2004,Australia,2004,0.32901,65.49,99.999252
Australia_2005,Australia,2005,0.13424,54.89,99.999016
Australia_2006,Australia,2006,0.01598,62.59,99.99878
Australia_2007,Australia,2007,0.12133,63.7,99.999022
Australia_2008,Australia,2008,0.01593,62.78,99.99891
Australia_2009,Australia,2009,0.01624,61.59,99.99883
Australia_2010,Australia,2010,0.0943,61.57,99.99899
Australia_2011,Australia,2011,0.05386,63.19,99.99895
Australia_2012,Australia,2012,0.01607,62.22,99.99877
Australia_2013,Australia,2013,0.04523,61.96,99.99894
Australia_2014,Australia,2014,0.08288,62.81,99.99898
Australia_2015,Australia,2015,0.01614,61.97,99.99889
Austria_1990,Austria,1990,0.01698,58.892,99.99838
Austria_1991,Austria,1991,0.01703,58.707,99.99876
Austria_1992,Austria,1992,0.01687,59.261,99.99859
Austria_1993,Austria,1993,0.01692,59.091,99.99868
Austria_1994,Austria,1994,0.0168,59.52,99.99889
Austria_1995,Austria,1995,0.07771,59.257,99.99897
Austria_1996,Austria,1996,0.01658,60.32,99.99886
Austria_1997,Austria,1997,0.21784,59.75,99.99911
Austria_1998,Austria,1998,0.0165,60.59,99.9989
Austria_1999,Austria,1999,0.28965,59.87,99.999182
Austria_2000,Austria,2000,0.22157,62.81,99.999125
Austria_2001,Austria,2001,0.15822,61.38,99.999055
Austria_2002,Austria,2002,0.27354,58.5645,99.99916
Austria_2003,Austria,2003,0.49323,60.86,99.999393
Austria_2004,Austria,2004,0.41725,59.56,99.999307
Austria_2005,Austria,2005,0.22379,84.2,99.999207
Austria_2006,Austria,2006,0.30093,61.62,99.999202
Austria_2007,Austria,2007,0.39236,76.2,99.999391
Austria_2008,Austria,2008,0.61586,59.96,99.999508
Austria_2009,Austria,2009,0.45756,62.06,99.999366
Austria_2010,Austria,2010,0.77089,52.89,99.999572
Austria_2011,Austria,2011,0.56261,63.82,99.999491
Austria_2012,Austria,2012,0.74146,59.77,99.999631
Austria_2013,Austria,2013,0.72339,58.605,99.999599
Austria_2014,Austria,2014,0.71891,58.887,99.999598
Austria_2015,Austria,2015,0.63758,56.41,99.999492
Austria_2016,Austria,2016,0.8094,51.19,99.999583
Azerbaijan_1995,Azerbaijan,1995,0.01385,72.2,99.99084
Azerbaijan_1996,Azerbaijan,1996,0.01279,78.2,99.99225
Azerbaijan_1997,Azerbaijan,1997,0.01155,86.6,99.99371
Azerbaijan_1998,Azerbaijan,1998,0.01227,81.5,99.99403
Azerbaijan_1999,Azerbaijan,1999,0.01437,69.6,99.995
Azerbaijan_2000,Azerbaijan,2000,0.0164,60.96,99.99675
Azerbaijan_2001,Azerbaijan,2001,0.01372,72.9,99.99718128571428
Azerbaijan_2002,Azerbaijan,2002,0.01099,91,99.99761257142858
Azerbaijan_2003,Azerbaijan,2003,0.0088,113.6,99.99804385714285
Azerbaijan_2004,Azerbaijan,2004,0.00886,112.9,99.99847514285716
Azerbaijan_2005,Azerbaijan,2005,0.01083,92.3,99.99890642857144
Belarus_1998,Belarus,1998,0.01671,59.83,99.9885
Belarus_1999,Belarus,1999,0.01609,62.16,99.9896
Belarus_2000,Belarus,2000,0.01683,59.433,99.9896
Belarus_2001,Belarus,2001,0.01687,59.275,99.9899
Belgium_1990,Belgium,1990,0.01602,62.42,99.99866
Belgium_1991,Belgium,1991,0.01589,62.95,99.99869
Belgium_1992,Belgium,1992,0.0158,63.31,99.99838
Belgium_1993,Belgium,1993,0.0158,63.28,99.99815
Belgium_1994,Belgium,1994,0.01613,61.98,99.99831
Belgium_1995,Belgium,1995,0.01607,62.21,99.99845
Belgium_1996,Belgium,1996,0.01574,63.54,99.9981
Belgium_1997,Belgium,1997,0.01581,63.25,99.99825
Belgium_1998,Belgium,1998,0.01486,67.28,99.99811
Belgium_1999,Belgium,1999,0.00954,104.8,99.99766
Belgium_2000,Belgium,2000,0.01042,96,99.99829
Belgium_2001,Belgium,2001,0.01044,95.8,99.99815
Belgium_2002,Belgium,2002,0.01526,65.51,99.99819
Belgium_2003,Belgium,2003,0.01441,69.4,99.9986
Belgium_2004,Belgium,2004,0.01416,70.6,99.99838
Belgium_2005,Belgium,2005,0.01487,67.23,99.99851
Belgium_2006,Belgium,2006,0.01372,72.9,99.99869
Belgium_2007,Belgium,2007,0.01266,79,99.99855
Belgium_2008,Belgium,2008,0.01049,95.3,99.9989
Belgium_2009,Belgium,2009,0.01342,74.5,99.99888
Belgium_2010,Belgium,2010,0.08923,84.6,99.999019
Belgium_2011,Belgium,2011,0.01114,89.8,99.99881
Belgium_2012,Belgium,2012,0.01643,60.88,99.99891
Belgium_2013,Belgium,2013,0.18955,52.82,99.99906
Belgium_2014,Belgium,2014,0.12914,55.66,99.999013
Belgium_2015,Belgium,2015,0.14239,54.28,99.999022
Bulgaria_2006,Bulgaria,2006,0.01229,81.4,99.99847
Bulgaria_2007,Bulgaria,2007,0.01115,89.7,99.99843
Bulgaria_2008,Bulgaria,2008,0.01292,77.4,99.99857
Bulgaria_2009,Bulgaria,2009,0.01515,65.99,99.99827
Bulgaria_2010,Bulgaria,2010,0.01609,62.14,99.99877
Bulgaria_2011,Bulgaria,2011,0.01609,62.15,99.99888
Bulgaria_2012,Bulgaria,2012,0.01618,61.79,99.99877
Bulgaria_2013,Bulgaria,2013,0.08388,62.06,99.99898
Bulgaria_2014,Bulgaria,2014,0.02649,60.42,99.99892
Canada_1990,Canada,1990,0.01669,59.91,99.99799
Canada_1991,Canada,1991,0.01693,59.076,99.9978
Canada_1992,Canada,1992,0.01676,59.68,99.99798
Canada_1993,Canada,1993,0.01689,59.224,99.99825
Canada_1994,Canada,1994,0.01663,60.15,99.99831
Canada_1995,Canada,1995,0.01646,60.76,99.9984
Canada_1996,Canada,1996,0.01669,59.9,99.9983
Canada_1997,Canada,1997,0.01644,60.82,99.99857
Canada_1998,Canada,1998,0.01602,62.44,99.99847
Canada_1999,Canada,1999,0.01599,62.55,99.99852
Canada_2000,Canada,2000,0.01478,67.67,99.9985
Canada_2001,Canada,2001,0.01604,62.34,99.99849
Canada_2002,Canada,2002,0.0162,61.72,99.9985
Canada_2003,Canada,2003,0.01687,59.283,99.99857
Canada_2004,Canada,2004,0.01705,58.641,99.9984
Canada_2005,Canada,2005,0.01648,60.68,99.99819
Chile_1990,Chile,1990,0.01653,60.5,99.9968
Chile_1991,Chile,1991,0.01648,60.67,99.9965
Chile_1992,Chile,1992,0.01652,60.54,99.99694
Chile_1993,Chile,1993,0.0165,60.6,99.99733
Chile_1994,Chile,1994,0.01587,63.03,99.997
Colombia_1992,Colombia,1992,0.01674,59.75,99.9118
Colombia_1993,Colombia,1993,0.01668,59.94,99.9154
Colombia_1994,Colombia,1994,0.01659,60.27,99.9224
Costa Rica_1990,Costa Rica,1990,0.0163,61.35,99.99517
Costa Rica_1991,Costa Rica,1991,0.0164,60.98,99.99555
Costa Rica_1992,Costa Rica,1992,0.01636,61.14,99.99453
Costa Rica_1993,Costa Rica,1993,0.01637,61.07,99.99431
Costa Rica_1994,Costa Rica,1994,0.0163,61.34,99.99412
Costa Rica_1995,Costa Rica,1995,0.01628,61.41,99.99475
Croatia_2009,Croatia,2009,0.01578,63.37,99.9989
Croatia_2010,Croatia,2010,0.01638,61.06,99.99883
Croatia_2011,Croatia,2011,0.17945,60.48,99.999074
Croatia_2012,Croatia,2012,0.15216,61.06,99.999048
Croatia_2013,Croatia,2013,0.2583,60.16,99.999152
Croatia_2014,Croatia,2014,0.37915,63.96,99.999297
Croatia_2015,Croatia,2015,0.47236,58.589,99.999354
Croatia_2016,Croatia,2016,0.10801,59.322,99.999
Cyprus_2004,Cyprus,2004,0.01539,64.96000000000001,99.99873
Cyprus_2005,Cyprus,2005,0.01543,64.8,99.99823
Cyprus_2006,Cyprus,2006,0.01474,67.83,99.99824
Cyprus_2007,Cyprus,2007,0.01469,68.07,99.99863
Cyprus_2008,Cyprus,2008,0.00974,102.7,99.99887
