dmu,country,year,efficiencies,foreign_investment,income_share_20
Albania_1996,Albania,1996,0.35889,61.32,9.2
Albania_1997,Albania,1997,0.31179,60.6,9.066666666666666
Albania_1998,Albania,1998,0.26187,60.27,8.933333333333334
Albania_1999,Albania,1999,0.21195,59.78,8.8
Albania_2000,Albania,2000,0.15267,62.61,8.666666666666666
Albania_2001,Albania,2001,0.10105,63.79,8.533333333333333
Albania_2002,Albania,2002,0.05413,61.6,8.4
Albania_2003,Albania,2003,0.05406,61.67,8.4
Albania_2004,Albania,2004,0.05271,63.25,8.4
Albania_2005,Albania,2005,0.05398,61.76,8.4
Albania_2006,Albania,2006,0.11624,62.15,8.566666666666666
Albania_2007,Albania,2007,0.17202,64.61,8.733333333333334
Albania_2008,Albania,2008,0.22007,68.18,8.9
Albania_2009,Albania,2009,0.21527,69.7,8.9
Albania_2010,Albania,2010,0.22183,67.64,8.9
Argentina_1990,Argentina,1990,0.01672,59.8,4.75
Argentina_1991,Argentina,1991,0.01673,59.79,4.8
Argentina_1992,Argentina,1992,0.01655,60.44,4.6
Argentina_1993,Argentina,1993,0.01676,59.68,4.5
Argentina_1994,Argentina,1994,0.01669,59.91,4.4
Argentina_1995,Argentina,1995,0.01648,60.67,3.8
Argentina_1996,Argentina,1996,0.01638,61.05,3.5
Armenia_1999,Armenia,1999,0.01536,65.11,7.6
Armenia_2000,Armenia,2000,0.01564,63.95,7.65
Armenia_2001,Armenia,2001,0.01618,61.8,7.7
Armenia_2002,Armenia,2002,0.01583,63.16,8
Armenia_2003,Armenia,2003,0.16438,62.88,8.7
Armenia_2004,Armenia,2004,0.01529,65.41,7.6
Armenia_2005,Armenia,2005,0.01551,64.46000000000001,8.1
Armenia_2006,Armenia,2006,0.228,65.81,8.9
Armenia_2007,Armenia,2007,0.05071,65.75,8.4
Armenia_2008,Armenia,2008,0.29543,66.59,9.1
Armenia_2009,Armenia,2009,0.39642,67.28999999999999,9.4
Armenia_2010,Armenia,2010,0.30633,64.22,9.1
Armenia_2011,Armenia,2011,0.267,64.94,9
Armenia_2012,Armenia,2012,0.27443,63.18,9
Armenia_2013,Armenia,2013,0.12989,61.61,8.6
Armenia_2014,Armenia,2014,0.05378,62,8.4
Armenia_2015,Armenia,2015,0.0166,60.24,8.2
Armenia_2016,Armenia,2016,0.01622,61.66,7.9
Australia_1990,Australia,1990,0.01633,61.22,7.35
Australia_1991,Australia,1991,0.01686,59.301,7.4
Australia_1992,Australia,1992,0.01666,60.02,7.449999999999999
Australia_1993,Australia,1993,0.01661,60.2,7.5
Australia_1994,Australia,1994,0.0167,59.88,7.55
Australia_1995,Australia,1995,0.0161,62.11,7.6
Australia_1996,Australia,1996,0.01677,59.64,7.566666666666666
Australia_1997,Australia,1997,0.01657,60.36,7.533333333333333
Australia_1998,Australia,1998,0.01656,60.4,7.5
Australia_1999,Australia,1999,0.01693,59.068,7.466666666666667
Australia_2000,Australia,2000,0.01611,62.08,7.433333333333334
Australia_2001,Australia,2001,0.01631,61.33,7.4
Australia_2002,Australia,2002,0.01607,62.21,7.4
Australia_2003,Australia,2003,0.01655,60.42,7.4
Australia_2004,Australia,2004,0.01527,65.49,7.7
Australia_2005,Australia,2005,0.01822,54.89,7.575
Australia_2006,Australia,2006,0.01598,62.59,7.45
Australia_2007,Australia,2007,0.0157,63.7,7.325
Australia_2008,Australia,2008,0.01593,62.78,7.2
Australia_2009,Australia,2009,0.01624,61.59,7.25
