dmu,country,year,efficiencies,government_debt,life_expectancy
Albania_1996,Albania,1996,0.02386,34.69009,74.5
Albania_1997,Albania,1997,0.0161,51.409343,72.9
Albania_1998,Albania,1998,0.01452,57.010235,74.8
Albania_1999,Albania,1999,0.01432,57.789526,75.1
Albania_2000,Albania,2000,0.01306,63.376463,75.4
Albania_2001,Albania,2001,0.01366,60.609729,76
Albania_2002,Albania,2002,0.01291,64.097402,75.9
Albania_2003,Albania,2003,0.01374,60.239906,75.6
Albania_2004,Albania,2004,0.0144,57.472884,75.8
Albania_2005,Albania,2005,0.01422,58.199553,76.2
Albania_2006,Albania,2006,0.0146,56.690318,76.9
Albania_2007,Albania,2007,0.01546,53.550124,77.5
Albania_2008,Albania,2008,0.01501,55.140211,77.6
Albania_2009,Albania,2009,0.01387,59.67018,78
Albania_2010,Albania,2010,0.01434,57.710251,78.1
Argentina_1990,Argentina,1990,0.0185,44.74283,72.5
Argentina_1991,Argentina,1991,0.02514,32.934414,72.7
Argentina_1992,Argentina,1992,0.02981,27.768231,72.8
Argentina_1993,Argentina,1993,0.03078,26.892714,73
Argentina_1994,Argentina,1994,0.02912,28.425983,73.4
Argentina_1995,Argentina,1995,0.02692,30.74938,73.4
Argentina_1996,Argentina,1996,0.02543,32.550753,73.5
Armenia_1999,Armenia,1999,0.02112,39.190779,71.9
Armenia_2000,Armenia,2000,0.02091,39.58742,72.4
Armenia_2001,Armenia,2001,0.02175,38.052612,72.5
Armenia_2002,Armenia,2002,0.02164,38.247604,72.7
Armenia_2003,Armenia,2003,0.02507,33.015776,72.8
Armenia_2004,Armenia,2004,0.0313,26.445878,73
Armenia_2005,Armenia,2005,0.04045,20.467167,73
Armenia_2006,Armenia,2006,0.05115,16.182897,73.1
Armenia_2007,Armenia,2007,0.05809,14.249503,73.5
Armenia_2008,Armenia,2008,0.05658,14.631835,73.5
Armenia_2009,Armenia,2009,0.02425,34.137963,73.6
Armenia_2010,Armenia,2010,0.02452,33.757017,73.9
Armenia_2011,Armenia,2011,0.02319,35.702398,74.2
Armenia_2012,Armenia,2012,0.02325,35.600487,74.6
Armenia_2013,Armenia,2013,0.02279,36.330625,75.1
Armenia_2014,Armenia,2014,0.02103,39.361634,75.2
Armenia_2015,Armenia,2015,0.01876,44.132991,75.1
Armenia_2016,Armenia,2016,0.01594,51.928903,75.3
Australia_1990,Australia,1990,0.06841,12.10065,77
Australia_1991,Australia,1991,0.06937,11.933822,77.4
Australia_1992,Australia,1992,0.0579,14.297317,77.6
Australia_1993,Australia,1993,0.04671,17.721274,77.9
Australia_1994,Australia,1994,0.04152,19.939369,78
Australia_1995,Australia,1995,0.03732,22.179058,78.3
Australia_1996,Australia,1996,0.03861,21.440305,78.5
Australia_1997,Australia,1997,0.04027,20.555428,78.8
Australia_1998,Australia,1998,0.05074,16.315651,79.1
Australia_1999,Australia,1999,0.05354,15.462984,79.4
Australia_2000,Australia,2000,0.07288,13.722086,79.7
Australia_2001,Australia,2001,0.11193,12.014315,80.1
Australia_2002,Australia,2002,0.1731,10.331498,80.3
Australia_2003,Australia,2003,0.31794,8.9980332,80.6
Australia_2004,Australia,2004,0.48556,8.1004753,80.9
Australia_2005,Australia,2005,0.67989,7.362435,81.2
Australia_2006,Australia,2006,0.92638,6.5611344,81.5
Australia_2007,Australia,2007,1,6.0781049,81.5
Australia_2008,Australia,2008,0.94199,7.6062304,81.7
Australia_2009,Australia,2009,0.71719,11.505736,81.9
Australia_2010,Australia,2010,0.65484,14.26115,82.1
Australia_2011,Australia,2011,0.61329,16.999512,82.3
Australia_2012,Australia,2012,0.62675,19.235554,82.6
Australia_2013,Australia,2013,0.59283,21.252785,82.7
Australia_2014,Australia,2014,0.51259,24.57957,82.7
Australia_2015,Australia,2015,0.44345,28.412023,82.7
Austria_1990,Austria,1990,0.01818,45.53072,76
Austria_1991,Austria,1991,0.01791,46.221934,76.1
Austria_1992,Austria,1992,0.01789,46.282719,76.3
Austria_1993,Austria,1993,0.01654,50.044149,76.5
Austria_1994,Austria,1994,0.0157,52.726308,76.7
Austria_1995,Austria,1995,0.01498,55.248115,77
Austria_1996,Austria,1996,0.01489,55.611677,77.3
Austria_1997,Austria,1997,0.01457,56.834379,77.7
Austria_1998,Austria,1998,0.01456,56.839792,77.9
Austria_1999,Austria,1999,0.0143,57.872775,78.2
Austria_2000,Austria,2000,0.01465,56.508138,78.5
Austria_2001,Austria,2001,0.01504,55.056343,78.9
Austria_2002,Austria,2002,0.01514,54.668594,79
Austria_2003,Austria,2003,0.01513,54.721225,79.1
Austria_2004,Austria,2004,0.0148,55.931896,79.5
Austria_2005,Austria,2005,0.01953,55.624914,79.8
Austria_2006,Austria,2006,0.02479,54.238897,80.1
Austria_2007,Austria,2007,0.03446,51.896978,80.3
Austria_2008,Austria,2008,0.0454,55.13683,80.5
Austria_2009,Austria,2009,0.04274,58.572628,80.5
Austria_2010,Austria,2010,0.05986,59.740463,80.8
Austria_2011,Austria,2011,0.07264,59.06453,81
Austria_2012,Austria,2012,0.08415,59.48475,81.2
