dmu,country,year,efficiencies,government_debt,income
Albania_1996,Albania,1996,0.02386,34.69009,4.91
Albania_1997,Albania,1997,0.0161,51.409343,4.4
Albania_1998,Albania,1998,0.01452,57.010235,4.82
Albania_1999,Albania,1999,0.01432,57.789526,5.48
Albania_2000,Albania,2000,0.01306,63.376463,5.89
Albania_2001,Albania,2001,0.01366,60.609729,6.44
Albania_2002,Albania,2002,0.01291,64.097402,6.75
Albania_2003,Albania,2003,0.01374,60.239906,7.15
Albania_2004,Albania,2004,0.0144,57.472884,7.58
Albania_2005,Albania,2005,0.01422,58.199553,8.04
Albania_2006,Albania,2006,0.0146,56.690318,8.57
Albania_2007,Albania,2007,0.01546,53.550124,9.15
Albania_2008,Albania,2008,0.01501,55.140211,9.91
Albania_2009,Albania,2009,0.01387,59.67018,10.3
Albania_2010,Albania,2010,0.01434,57.710251,10.7
Argentina_1990,Argentina,1990,0.0185,44.74283,14.1
Argentina_1991,Argentina,1991,0.02514,32.934414,15.2
Argentina_1992,Argentina,1992,0.02981,27.768231,16.2
Argentina_1993,Argentina,1993,0.03078,26.892714,17.3
Argentina_1994,Argentina,1994,0.02912,28.425983,18.1
Argentina_1995,Argentina,1995,0.02692,30.74938,17.4
Argentina_1996,Argentina,1996,0.02543,32.550753,18.1
Armenia_1999,Armenia,1999,0.02112,39.190779,3.8
Armenia_2000,Armenia,2000,0.02091,39.58742,4.05
Armenia_2001,Armenia,2001,0.02175,38.052612,4.46
Armenia_2002,Armenia,2002,0.02164,38.247604,5.08
Armenia_2003,Armenia,2003,0.02507,33.015776,5.82
Armenia_2004,Armenia,2004,0.0313,26.445878,6.47
Armenia_2005,Armenia,2005,0.04045,20.467167,7.42
Armenia_2006,Armenia,2006,0.05115,16.182897,8.46
Armenia_2007,Armenia,2007,0.05809,14.249503,9.71
Armenia_2008,Armenia,2008,0.05658,14.631835,10.5
Armenia_2009,Armenia,2009,0.02425,34.137963,9.05
Armenia_2010,Armenia,2010,0.02452,33.757017,9.29
Armenia_2011,Armenia,2011,0.02319,35.702398,9.73
Armenia_2012,Armenia,2012,0.02325,35.600487,10.4
Armenia_2013,Armenia,2013,0.02279,36.330625,10.7
Armenia_2014,Armenia,2014,0.02103,39.361634,11
Armenia_2015,Armenia,2015,0.01876,44.132991,11.3
Armenia_2016,Armenia,2016,0.01594,51.928903,11.3
Australia_1990,Australia,1990,0.06841,12.10065,31
Australia_1991,Australia,1991,0.06937,11.933822,30.5
Australia_1992,Australia,1992,0.0579,14.297317,30.3
Australia_1993,Australia,1993,0.04671,17.721274,31.2
Australia_1994,Australia,1994,0.04152,19.939369,32.1
Australia_1995,Australia,1995,0.03732,22.179058,32.9
Australia_1996,Australia,1996,0.03861,21.440305,33.7
Australia_1997,Australia,1997,0.04027,20.555428,34.7
Australia_1998,Australia,1998,0.05074,16.315651,35.9
Australia_1999,Australia,1999,0.05354,15.462984,37.2
Australia_2000,Australia,2000,0.06033,13.722086,38.2
Australia_2001,Australia,2001,0.0689,12.014315,38.5
Australia_2002,Australia,2002,0.08013,10.331498,39.5
Australia_2003,Australia,2003,0.092,8.9980332,40.3
Australia_2004,Australia,2004,0.10219,8.1004753,41.5
Australia_2005,Australia,2005,0.11244,7.362435,42.2
Australia_2006,Australia,2006,0.12617,6.5611344,42.7
Australia_2007,Australia,2007,0.1362,6.0781049,44.1
Australia_2008,Australia,2008,0.10883,7.6062304,44.7
Australia_2009,Australia,2009,0.07195,11.505736,44.6
Australia_2010,Australia,2010,0.05805,14.26115,44.9
Australia_2011,Australia,2011,0.0487,16.999512,45.4
Australia_2012,Australia,2012,0.04304,19.235554,46.4
Australia_2013,Australia,2013,0.03895,21.252785,46.7
Australia_2014,Australia,2014,0.03368,24.57957,47.2
Australia_2015,Australia,2015,0.02914,28.412023,47.6
Austria_1990,Austria,1990,0.01818,45.53072,37.5
Austria_1991,Austria,1991,0.01791,46.221934,38.4
Austria_1992,Austria,1992,0.01789,46.282719,38.8
Austria_1993,Austria,1993,0.01654,50.044149,38.7
Austria_1994,Austria,1994,0.0157,52.726308,39.4
Austria_1995,Austria,1995,0.01498,55.248115,40.4
Austria_1996,Austria,1996,0.01489,55.611677,41.3
