dmu,country,year,efficiencies,government_debt,murder
Albania_1996,Albania,1996,0.02386,34.69009,99.99177
Albania_1997,Albania,1997,0.0161,51.409343,99.9604
Albania_1998,Albania,1998,0.01452,57.010235,99.9808
Albania_1999,Albania,1999,0.01432,57.789526,99.9846
Albania_2000,Albania,2000,0.01306,63.376463,99.99604
Albania_2001,Albania,2001,0.01366,60.609729,99.99242
Albania_2002,Albania,2002,0.01291,64.097402,99.9926
Albania_2003,Albania,2003,0.01374,60.239906,99.99447
Albania_2004,Albania,2004,0.0144,57.472884,99.99571
Albania_2005,Albania,2005,0.01422,58.199553,99.99611666666668
Albania_2006,Albania,2006,0.0146,56.690318,99.99652333333331
Albania_2007,Albania,2007,0.01546,53.550124,99.99693
Albania_2008,Albania,2008,0.01501,55.140211,99.99704
Albania_2009,Albania,2009,0.01387,59.67018,99.99737
Albania_2010,Albania,2010,0.01434,57.710251,99.9977
Argentina_1990,Argentina,1990,0.0185,44.74283,99.99485
Argentina_1991,Argentina,1991,0.02514,32.934414,99.9956
Argentina_1992,Argentina,1992,0.02981,27.768231,99.9953
Argentina_1993,Argentina,1993,0.03078,26.892714,99.99577
Argentina_1994,Argentina,1994,0.02912,28.425983,99.99551
Argentina_1995,Argentina,1995,0.02692,30.74938,99.99578
Argentina_1996,Argentina,1996,0.02543,32.550753,99.99535
Armenia_1999,Armenia,1999,0.02112,39.190779,99.99742
Armenia_2000,Armenia,2000,0.02091,39.58742,99.99778
Armenia_2001,Armenia,2001,0.02175,38.052612,99.99824
Armenia_2002,Armenia,2002,0.02164,38.247604,99.99775
Armenia_2003,Armenia,2003,0.02507,33.015776,99.99818
Armenia_2004,Armenia,2004,0.0313,26.445878,99.998206
Armenia_2005,Armenia,2005,0.04045,20.467167,99.998232
Armenia_2006,Armenia,2006,0.05115,16.182897,99.998258
Armenia_2007,Armenia,2007,0.05809,14.249503,99.998284
Armenia_2008,Armenia,2008,0.05658,14.631835,99.99831
Armenia_2009,Armenia,2009,0.02425,34.137963,99.998355
Armenia_2010,Armenia,2010,0.02452,33.757017,99.9984
Armenia_2011,Armenia,2011,0.02319,35.702398,99.998445
Armenia_2012,Armenia,2012,0.02325,35.600487,99.99849
Armenia_2013,Armenia,2013,0.02735,36.330625,99.9989
Armenia_2014,Armenia,2014,0.02693,39.361634,99.999036
Armenia_2015,Armenia,2015,0.0223,44.132991,99.99888
Armenia_2016,Armenia,2016,0.01998,51.928903,99.99899
Australia_1990,Australia,1990,0.06841,12.10065,99.99786
Australia_1991,Australia,1991,0.06937,11.933822,99.99808
Australia_1992,Australia,1992,0.0579,14.297317,99.99832
Australia_1993,Australia,1993,0.04671,17.721274,99.99817
Australia_1994,Australia,1994,0.04152,19.939369,99.99823
Australia_1995,Australia,1995,0.03732,22.179058,99.99839
Australia_1996,Australia,1996,0.03861,21.440305,99.99826
Australia_1997,Australia,1997,0.04027,20.555428,99.99832
Australia_1998,Australia,1998,0.05074,16.315651,99.99844
Australia_1999,Australia,1999,0.05354,15.462984,99.99845
Australia_2000,Australia,2000,0.06033,13.722086,99.99841
Australia_2001,Australia,2001,0.0689,12.014315,99.99842
Australia_2002,Australia,2002,0.08013,10.331498,99.99854
Australia_2003,Australia,2003,0.10122,8.9980332,99.99873
Australia_2004,Australia,2004,0.14388,8.1004753,99.999252
Australia_2005,Australia,2005,0.14266,7.362435,99.999016
Australia_2006,Australia,2006,0.14253,6.5611344,99.99878
Australia_2007,Australia,2007,0.17329,6.0781049,99.999022
Australia_2008,Australia,2008,0.13129,7.6062304,99.99891
Australia_2009,Australia,2009,0.0834,11.505736,99.99883
Australia_2010,Australia,2010,0.07276,14.26115,99.99899
Australia_2011,Australia,2011,0.05989,16.999512,99.99895
Australia_2012,Australia,2012,0.04836,19.235554,99.99877
Australia_2013,Australia,2013,0.04768,21.252785,99.99894
Australia_2014,Australia,2014,0.04202,24.57957,99.99898
Australia_2015,Australia,2015,0.0348,28.412023,99.99889
Austria_1990,Austria,1990,0.01818,45.53072,99.99838
Austria_1991,Austria,1991,0.02002,46.221934,99.99876
Austria_1992,Austria,1992,0.0182,46.282719,99.99859
Austria_1993,Austria,1993,0.01771,50.044149,99.99868
Austria_1994,Austria,1994,0.01875,52.726308,99.99889
Austria_1995,Austria,1995,0.0186,55.248115,99.99897
Austria_1996,Austria,1996,0.01752,55.611677,99.99886
Austria_1997,Austria,1997,0.01929,56.834379,99.99911
Austria_1998,Austria,1998,0.01748,56.839792,99.9989
Austria_1999,Austria,1999,0.01955,57.872775,99.999182
Austria_2000,Austria,2000,0.01953,56.508138,99.999125
Austria_2001,Austria,2001,0.01942,55.056343,99.999055
Austria_2002,Austria,2002,0.0205,54.668594,99.99916
Austria_2003,Austria,2003,0.02256,54.721225,99.999393
Austria_2004,Austria,2004,0.02132,55.931896,99.999307
Austria_2005,Austria,2005,0.02056,55.624914,99.999207
Austria_2006,Austria,2006,0.02104,54.238897,99.999202
Austria_2007,Austria,2007,0.02376,51.896978,99.999391
