dmu,country,year,efficiencies,government_debt,income_share_20
Albania_1996,Albania,1996,0.09068,34.69009,9.2
Albania_1997,Albania,1997,0.05518,51.409343,9.066666666666666
Albania_1998,Albania,1998,0.04434,57.010235,8.933333333333334
Albania_1999,Albania,1999,0.03839,57.789526,8.8
Albania_2000,Albania,2000,0.03013,63.376463,8.666666666666666
Albania_2001,Albania,2001,0.02641,60.609729,8.533333333333333
Albania_2002,Albania,2002,0.02015,64.097402,8.4
Albania_2003,Albania,2003,0.02144,60.239906,8.4
Albania_2004,Albania,2004,0.02247,57.472884,8.4
Albania_2005,Albania,2005,0.02219,58.199553,8.4
Albania_2006,Albania,2006,0.0296,56.690318,8.566666666666666
Albania_2007,Albania,2007,0.03854,53.550124,8.733333333333334
Albania_2008,Albania,2008,0.04444,55.140211,8.9
Albania_2009,Albania,2009,0.04107,59.67018,8.9
Albania_2010,Albania,2010,0.04246,57.710251,8.9
Argentina_1990,Argentina,1990,0.0185,44.74283,4.75
Argentina_1991,Argentina,1991,0.02514,32.934414,4.8
Argentina_1992,Argentina,1992,0.02981,27.768231,4.6
Argentina_1993,Argentina,1993,0.03078,26.892714,4.5
Argentina_1994,Argentina,1994,0.02912,28.425983,4.4
Argentina_1995,Argentina,1995,0.02692,30.74938,3.8
Argentina_1996,Argentina,1996,0.02543,32.550753,3.5
Armenia_1999,Armenia,1999,0.02112,39.190779,7.6
Armenia_2000,Armenia,2000,0.02091,39.58742,7.65
Armenia_2001,Armenia,2001,0.02175,38.052612,7.7
Armenia_2002,Armenia,2002,0.02164,38.247604,8
Armenia_2003,Armenia,2003,0.06018,33.015776,8.7
Armenia_2004,Armenia,2004,0.0313,26.445878,7.6
Armenia_2005,Armenia,2005,0.04045,20.467167,8.1
Armenia_2006,Armenia,2006,0.15142,16.182897,8.9
Armenia_2007,Armenia,2007,0.09063,14.249503,8.4
Armenia_2008,Armenia,2008,0.19916,14.631835,9.1
Armenia_2009,Armenia,2009,0.10573,34.137963,9.4
Armenia_2010,Armenia,2010,0.08632,33.757017,9.1
Armenia_2011,Armenia,2011,0.07513,35.702398,9
Armenia_2012,Armenia,2012,0.07534,35.600487,9
Armenia_2013,Armenia,2013,0.04831,36.330625,8.6
Armenia_2014,Armenia,2014,0.03281,39.361634,8.4
Armenia_2015,Armenia,2015,0.01876,44.132991,8.2
Armenia_2016,Armenia,2016,0.01594,51.928903,7.9
Australia_1990,Australia,1990,0.06841,12.10065,7.35
Australia_1991,Australia,1991,0.06937,11.933822,7.4
Australia_1992,Australia,1992,0.0579,14.297317,7.449999999999999
Australia_1993,Australia,1993,0.04671,17.721274,7.5
Australia_1994,Australia,1994,0.04152,19.939369,7.55
Australia_1995,Australia,1995,0.03732,22.179058,7.6
Australia_1996,Australia,1996,0.03861,21.440305,7.566666666666666
Australia_1997,Australia,1997,0.04027,20.555428,7.533333333333333
Australia_1998,Australia,1998,0.05074,16.315651,7.5
Australia_1999,Australia,1999,0.05354,15.462984,7.466666666666667
Australia_2000,Australia,2000,0.06033,13.722086,7.433333333333334
Australia_2001,Australia,2001,0.0689,12.014315,7.4
Australia_2002,Australia,2002,0.08013,10.331498,7.4
Australia_2003,Australia,2003,0.092,8.9980332,7.4
Australia_2004,Australia,2004,0.10219,8.1004753,7.7
Australia_2005,Australia,2005,0.11244,7.362435,7.575
Australia_2006,Australia,2006,0.12617,6.5611344,7.45
Australia_2007,Australia,2007,0.1362,6.0781049,7.325
Australia_2008,Australia,2008,0.10883,7.6062304,7.2
Australia_2009,Australia,2009,0.07195,11.505736,7.25
Australia_2010,Australia,2010,0.05805,14.26115,7.3
Australia_2011,Australia,2011,0.0487,16.999512,7.325
Australia_2012,Australia,2012,0.04304,19.235554,7.35
Australia_2013,Australia,2013,0.03895,21.252785,7.375
Australia_2014,Australia,2014,0.03368,24.57957,7.4
Australia_2015,Australia,2015,0.02914,28.412023,7.4
Austria_1990,Austria,1990,0.07782,45.53072,9.371428571428572
Austria_1991,Austria,1991,0.05946,46.221934,9.028571428571428
Austria_1992,Austria,1992,0.04221,46.282719,8.685714285714285
Austria_1993,Austria,1993,0.02316,50.044149,8.342857142857143
Austria_1994,Austria,1994,0.0157,52.726308,8
Austria_1995,Austria,1995,0.01498,55.248115,7
Austria_1996,Austria,1996,0.01489,55.611677,7.55
Austria_1997,Austria,1997,0.01457,56.834379,8.1
Austria_1998,Austria,1998,0.01728,56.839792,8.266666666666666
Austria_1999,Austria,1999,0.02365,57.872775,8.433333333333334
Austria_2000,Austria,2000,0.03106,56.508138,8.6
Austria_2001,Austria,2001,0.03047,55.056343,8.566666666666666
Austria_2002,Austria,2002,0.02928,54.668594,8.533333333333333
Austria_2003,Austria,2003,0.02784,54.721225,8.5
Austria_2004,Austria,2004,0.02723,55.931896,8.5
Austria_2005,Austria,2005,0.03989,55.624914,8.8
Austria_2006,Austria,2006,0.03236,54.238897,8.6
Austria_2007,Austria,2007,0.01595,51.896978,8
Austria_2008,Austria,2008,0.01501,55.13683,8
Austria_2009,Austria,2009,0.01413,58.572628,7.7
Austria_2010,Austria,2010,0.01386,59.740463,8
Austria_2011,Austria,2011,0.01402,59.06453,7.8
Austria_2012,Austria,2012,0.01392,59.48475,7.8
Austria_2013,Austria,2013,0.01383,59.875237,8.1
Austria_2014,Austria,2014,0.01406,58.896382,8
Austria_2015,Austria,2015,0.01431,57.836409,7.9
Austria_2016,Austria,2016,0.01425,58.094618,7.7
Azerbaijan_1995,Azerbaijan,1995,0.04309,19.209111,7.1
Azerbaijan_1996,Azerbaijan,1996,0.04951,16.721235,7.1499999999999995
Azerbaijan_1997,Azerbaijan,1997,0.06641,12.465675,7.2
Azerbaijan_1998,Azerbaijan,1998,0.05793,14.290775,7.25
Azerbaijan_1999,Azerbaijan,1999,0.03257,25.413739,7.3
Azerbaijan_2000,Azerbaijan,2000,0.03625,22.837186,7.35
Azerbaijan_2001,Azerbaijan,2001,0.03394,24.387309,7.4
Azerbaijan_2002,Azerbaijan,2002,1,23.01766,10.9
Azerbaijan_2003,Azerbaijan,2003,0.25031,21.828259,10.2
Azerbaijan_2004,Azerbaijan,2004,0.68207,9.7099795,10.7
Azerbaijan_2005,Azerbaijan,2005,1,6.8546552,10.8
Belarus_1998,Belarus,1998,0.05287,15.65739,7.9
Belarus_1999,Belarus,1999,0.06738,12.286043,7.6
Belarus_2000,Belarus,2000,0.08067,10.261559,7.9
Belarus_2001,Belarus,2001,0.07577,10.925435,8.2
Belgium_1990,Belgium,1990,0.03796,104.23628,9.55
Belgium_1991,Belgium,1991,0.03651,106.79022,9.525
Belgium_1992,Belgium,1992,0.03525,108.96866,9.5
Belgium_1993,Belgium,1993,0.02724,115.49525,9.2
Belgium_1994,Belgium,1994,0.02174,112.6987,8.9
Belgium_1995,Belgium,1995,0.01505,116.60981,8.6
Belgium_1996,Belgium,1996,0.01945,114.05023,8.8
Belgium_1997,Belgium,1997,0.02408,111.36919,9
Belgium_1998,Belgium,1998,0.02076,106.86688,8.8
Belgium_1999,Belgium,1999,0.0169,103.87444,8.6
Belgium_2000,Belgium,2000,0.01305,98.932427,8.4
Belgium_2001,Belgium,2001,0.01394,98.156128,8.433333333333334
Belgium_2002,Belgium,2002,0.01517,95.297067,8.466666666666667
Belgium_2003,Belgium,2003,0.01705,89.333608,8.5
Belgium_2004,Belgium,2004,0.01518,85.088606,8.4
Belgium_2005,Belgium,2005,0.02369,83.855475,8.7
Belgium_2006,Belgium,2006,0.02457,80.866121,8.7
Belgium_2007,Belgium,2007,0.02273,77.203822,8.6
Belgium_2008,Belgium,2008,0.02401,82.738484,8.7
Belgium_2009,Belgium,2009,0.01761,86.494186,8.5
Belgium_2010,Belgium,2010,0.02046,85.766646,8.6
Belgium_2011,Belgium,2011,0.01984,88.46737,8.6
Belgium_2012,Belgium,2012,0.02233,88.969768,8.7
Belgium_2013,Belgium,2013,0.01958,89.611332,8.6
Belgium_2014,Belgium,2014,0.01949,90.035583,8.6
Belgium_2015,Belgium,2015,0.01976,88.826068,8.6
Bulgaria_2006,Bulgaria,2006,0.03178,26.051553,5.7
Bulgaria_2007,Bulgaria,2007,0.03579,23.13264,6.5
Bulgaria_2008,Bulgaria,2008,0.04682,17.680713,6.9
Bulgaria_2009,Bulgaria,2009,0.04257,19.443998,6.8
Bulgaria_2010,Bulgaria,2010,0.04142,19.984876,6.3
Bulgaria_2011,Bulgaria,2011,0.0434,19.071959,6.4
Bulgaria_2012,Bulgaria,2012,0.04035,20.515449,6.2
Bulgaria_2013,Bulgaria,2013,0.03948,20.969109,5.7
Bulgaria_2014,Bulgaria,2014,0.02643,31.326748,6
Canada_1990,Canada,1990,0.01622,51.030552,7.675
Canada_1991,Canada,1991,0.01481,55.908107,7.7
Canada_1992,Canada,1992,0.01402,59.062324,7.666666666666667
Canada_1993,Canada,1993,0.01325,62.498912,7.633333333333333
Canada_1994,Canada,1994,0.01312,63.08468,7.6
Canada_1995,Canada,1995,0.0129,64.186571,7.533333333333333
Canada_1996,Canada,1996,0.01283,64.515825,7.466666666666667
Canada_1997,Canada,1997,0.01346,61.482083,7.4
Canada_1998,Canada,1998,0.0141,58.709497,7.1
Canada_1999,Canada,1999,0.01564,52.917027,7.1
Canada_2000,Canada,2000,0.01792,46.190434,7.1
Canada_2001,Canada,2001,0.01799,46.009193,7.074999999999999
Canada_2002,Canada,2002,0.01929,42.916778,7.05
Canada_2003,Canada,2003,0.02045,40.477244,7.025
Canada_2004,Canada,2004,0.02264,36.570387,7
Canada_2005,Canada,2005,0.0229,36.144669,7.066666666666666
Chile_1990,Chile,1990,0.01647,50.25715,3.4
Chile_1991,Chile,1991,0.0187,44.258348,3.5999999999999996
Chile_1992,Chile,1992,0.02292,36.118063,3.8
Chile_1993,Chile,1993,0.02542,32.569852,3.65
Chile_1994,Chile,1994,0.02849,29.057703,3.5
Colombia_1992,Colombia,1992,0.05029,16.461349,3.7
Colombia_1993,Colombia,1993,0.0578,14.322981,3.375
Colombia_1994,Colombia,1994,0.06702,12.351126,3.05
Costa Rica_1990,Costa Rica,1990,0.04464,18.543776,3.8
Costa Rica_1991,Costa Rica,1991,0.02918,28.364643,3.6
Costa Rica_1992,Costa Rica,1992,0.0355,23.3218,4
Costa Rica_1993,Costa Rica,1993,0.03388,24.4337,3.9
Costa Rica_1994,Costa Rica,1994,0.03069,26.974278,4
Costa Rica_1995,Costa Rica,1995,0.02849,29.058676,4
Croatia_2009,Croatia,2009,0.01733,47.759261,6.9
Croatia_2010,Croatia,2010,0.01466,56.453007,6.9
Croatia_2011,Croatia,2011,0.01314,62.982229,6.9
Croatia_2012,Croatia,2012,0.01202,68.889597,6.9
Croatia_2013,Croatia,2013,0.01039,79.703725,7.1
Croatia_2014,Croatia,2014,0.00995,83.214336,7.1
Croatia_2015,Croatia,2015,0.00999,82.836408,7.3
Croatia_2016,Croatia,2016,0.01042,79.472379,7.3
Cyprus_2004,Cyprus,2004,0.02305,96.251436,8.8
Cyprus_2005,Cyprus,2005,0.02556,95.884122,8.9
Cyprus_2006,Cyprus,2006,0.0245,90.57028,8.8
Cyprus_2007,Cyprus,2007,0.02341,84.880924,8.7
Cyprus_2008,Cyprus,2008,0.0227,77.323462,8.6
Cyprus_2009,Cyprus,2009,0.0171,89.092393,8.5
Cyprus_2010,Cyprus,2010,0.01893,92.704321,8.6
Cyprus_2011,Cyprus,2011,0.01252,103.15881,8.4
Cyprus_2012,Cyprus,2012,0.00693,119.4284,8
Cyprus_2013,Cyprus,2013,0.00566,146.32517000000001,7.7
Cyprus_2014,Cyprus,2014,0.00543,152.58626,7.6
Cyprus_2015,Cyprus,2015,0.00554,149.40278,7.8
Cyprus_2016,Cyprus,2016,0.00579,142.98569,8.2
Czechia_1993,Czechia,1993,0.4447,13.328988,10.4
Czechia_1994,Czechia,1994,0.47843,11.420331,10.2
Czechia_1995,Czechia,1995,0.4008,12.475804,10
Czechia_1996,Czechia,1996,0.44025,10.304742,9.8
Czechia_1997,Czechia,1997,0.40708,10.859634,9.75
Czechia_1998,Czechia,1998,0.34104,12.622599,9.7
Czechia_1999,Czechia,1999,0.299,14.009604,9.65
Czechia_2000,Czechia,2000,0.25727,15.831947,9.6
Czechia_2001,Czechia,2001,0.184,21.50589,9.55
Czechia_2002,Czechia,2002,0.15784,24.335577,9.5
Czechia_2003,Czechia,2003,0.1232,26.47557,9.25
Czechia_2004,Czechia,2004,0.10181,26.344705,9
