dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_input.government_debt,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,target_output.income_share_20,continent
Albania_1996,Albania,1996,1,0.651,4.28,61.32,34.69009,74.5,4.91,8.2,99.99177,9.2,0.6510000000000006,4.280000000000004,61.32000000000006,34.690090000000026,74.50000000000007,4.910000000000005,8.200000000000006,99.99177000000009,9.200000000000008,Europe
Albania_1997,Albania,1997,1,0.498,4.03,60.6,51.409343,72.9,4.4,8.3,99.9604,9.066666666666666,0.49799999999884254,4.0299999999906335,60.59999999985915,51.409342999880515,72.89999999983057,4.399999999989774,8.29999999998071,99.96039999976767,9.066666666645594,Europe
Albania_1998,Albania,1998,1,0.563,4.36,60.27,57.010235,74.8,4.82,8.5,99.9808,8.933333333333334,0.5630000000000005,4.360000000000004,60.27000000000006,57.01023500000005,74.80000000000007,4.820000000000005,8.500000000000007,99.98080000000009,8.93333333333334,Europe
Albania_1999,Albania,1999,1,0.956,4.73,59.78,57.789526,75.1,5.48,8.6,99.9846,8.8,0.9559999999999865,4.729999999999934,59.779999999999156,57.789525999999185,75.09999999999893,5.479999999999923,8.599999999999879,99.9845999999986,8.799999999999876,Europe
Albania_2000,Albania,2000,1,0.966,5.55,62.61,63.376463,75.4,5.89,8.8,99.99604,8.666666666666666,0.9659999999979108,5.549999999990658,62.60999999995889,63.37646299982338,75.39999999995372,5.889999999991899,8.799999999992158,99.99603999994447,8.666666666664485,Europe
Albania_2001,Albania,2001,1.00001,1.03,6.1,63.79,60.609729,76,6.44,8.7,99.99242,8.533333333333333,1.0300000000414782,6.100000000245648,63.39495858252401,54.33522217246736,76.00111653143057,7.169993585939849,8.700127813466397,99.99388900894412,8.53345869826441,Europe
Albania_2002,Albania,2002,1,1.2,6.13,61.6,64.097402,75.9,6.75,9,99.9926,8.4,1.1999999999999797,6.129999999999897,61.59999999999897,64.09740199999892,75.89999999999873,6.749999999999887,8.999999999999849,99.99259999999832,8.39999999999986,Europe
Albania_2003,Albania,2003,1.00003,1.38,7.48,61.67,60.239906,75.6,7.15,9,99.99447,8.4,1.38,7.086836566470755,61.669999999999995,51.432472994413374,75.60242182265435,9.29996079281093,10.325416860409923,99.99767329196722,8.400269091405233,Europe
Albania_2004,Albania,2004,1.00002,1.34,8.33,63.25,57.472884,75.8,7.58,9.1,99.99571,8.4,1.340000001537805,7.190959548151085,63.250000096166104,46.39318448806347,75.80150113121387,8.826137422058112,10.137260760977478,99.99769030545845,8.608390763567318,Europe
Albania_2005,Albania,2005,1.00001,1.38,9.19,61.76,58.199553,76.2,8.04,9.1,99.99611666666668,8.4,1.3800000000000001,8.16257983678103,61.760000000000005,52.05745239449029,76.20094526669735,9.40565804679333,9.996300582171845,99.99735712599441,8.400103339603843,Europe
Albania_2006,Albania,2006,1,1.27,9.15,62.15,56.690318,76.9,8.57,9.2,99.99652333333331,8.566666666666666,1.2700000000009768,9.150000000007038,62.150000000047804,56.690318000043604,76.90000000005915,8.570000000006592,9.200000000007076,99.99652333341022,8.566666666673255,Europe
Albania_2007,Albania,2007,1,1.29,8.93,64.61,53.550124,77.5,9.15,9.2,99.99693,8.733333333333334,1.2900000000092477,8.930000000064016,64.61000000046317,53.55012400038388,77.50000000055557,9.150000000065594,9.200000000065952,99.99693000071686,8.73333333339594,Europe
Albania_2008,Albania,2008,1,1.46,9.39,68.18,55.140211,77.6,9.91,9.2,99.99704,8.9,1.4599999999999997,8.924593242763772,66.7418002151698,55.140211000000015,77.60028622011741,10.152025755085155,9.399288911329814,99.99740882943756,8.900032826793373,Europe
Albania_2009,Albania,2009,1,1.47,10.9,69.7,59.67018,78,10.3,9.3,99.99737,8.9,1.4700000000000006,10.900000000000006,69.70000000000003,59.67018000000003,78.00000000000003,10.300000000000006,9.300000000000004,99.99737000000005,8.900000000000004,Europe
Albania_2010,Albania,2010,1,1.56,8.96,67.64,57.710251,78.1,10.7,9.3,99.9977,8.9,1.5600000000000036,8.96000000000002,67.64000000000016,57.71025100000013,78.10000000000016,10.700000000000022,9.300000000000022,99.99770000000022,8.90000000000002,Europe
Argentina_1990,Argentina,1990,1.00005,3.43,9.58,59.8,44.74283,72.5,14.1,7.88,99.99485,4.75,3.245576250708152,9.580000063309916,59.80000000059168,44.74283000084665,76.68674362502867,18.79354441021625,7.880389135331235,99.99978798259727,7.026522611251009,Americas
Argentina_1991,Argentina,1991,1.00004,3.54,11.3,59.79,32.934414,72.7,15.2,8,99.9956,4.8,3.5399999999999996,11.3,59.78999999999999,32.934414000000004,75.20769192741346,16.495864344421935,8.408188473940129,99.99928763077985,7.184646762988084,Americas
