dmu,women_in_parliament,basic_sanitation,basic_water_source,electricity,employment_rate,material_footprint,forest_area,mean_years_in_school,air_pollution,health_worker,red_list,life_expectancy,income,income_share_20,CO2,murder
Austria_2000,14.3,100,100,100,55.8,24.6,46.5,9,3.8492000102996826,15.35536289215088,0.89,78.5,46.5,8.6,8.22,0.875
Belgium_2000,25,99.5,100,100,48.8,23.3,22,10,2.8203999996185303,15.662450790405272,0.98,78,43,8.4,12.3,1.71
Belarus_2000,17.6,91.6,99.3,100,52,0.07,40.8,8.9,3.299799919128418,22.650266647338867,0.95,69,8.05,7.9,5.62,10.4
Switzerland_2000,22.7,99.9,100,100,65.6,23.5,30.3,11.4,3.9233999252319336,12.69076442718506,0.97,80.3,59.4,7.8,6.11,0.832
Germany_2000,31.5,99.2,100,100,53.5,20.2,32.5,11.2,3.2785000801086426,14.903934478759766,0.98,78.4,42.9,8.8,11.1,0.712
Denmark_2000,37.8,99.6,100,100,62.8,23.2,13.5,10.7,2.911900043487549,12.416939735412598,0.98,77.2,48.9,10.4,10.2,1.13
Spain_2000,25.9,99.9,100,100,45.5,23.5,34.3,8.4,3.115799903869629,11.774209022521973,0.85,79.5,34.8,7.1,7.62,0.915
Finland_2000,37.1,99.4,100,100,54.2,29.6,73.7,9.3,2.4934000968933105,7.093878746032715,0.99,78,39.9,9.6,11,2.59
France_2000,9.26,98.7,99.9,100,49.7,20.1,27.9,9.8,6.466400146484375,14.723017692565918,0.92,79.2,39.7,8.2,7.06,0.834
Georgia_2000,7.59,90.6,93.8,99.8,56.6,3.07,39.7,11.7,3.837100028991699,25.273801803588867,0.9,70.7,4.92,5.4,1.03,2.97
Greece_2000,8.67,97.5,99.7,100,47.4,32.1,27.9,8.6,4.263700008392334,19.918607711791992,0.84,78.4,29.1,6.8,9.3,0.972
Ireland_2000,13.8,89.5,97.2,100,59.8,22.7,9.15,10.8,2.2304000854492188,10.137776374816896,0.92,76.8,48,7.8,12,1.03
Italy_2000,8.97,99.9,99.6,100,42.5,19.4,28.5,8.6,6.917200088500977,19.777334213256836,0.9,79.6,43.1,6.3,8.3,0.975
