dmu,value
Albania_1950,NA
Argentina_1950,NA
Armenia_1950,NA
Antigua and Barbuda_1950,NA
Australia_1950,1
Austria_1950,NA
Azerbaijan_1950,NA
Belgium_1950,NA
Bulgaria_1950,NA
Bahrain_1950,NA
Bahamas_1950,NA
Bosnia and Herzegovina_1950,NA
Belarus_1950,NA
Belize_1950,NA
Bermuda_1950,NA
Brazil_1950,NA
Barbados_1950,NA
Brunei_1950,NA
Canada_1950,0.949
Switzerland_1950,NA
Czechoslovakia_1950,NA
Chile_1950,NA
Colombia_1950,NA
Costa Rica_1950,NA
Cuba_1950,NA
Cayman Islands_1950,NA
Cyprus_1950,NA
Czechia_1950,NA
Germany_1950,NA
East Germany_1950,NA
West Germany_1950,NA
Dominica_1950,NA
Denmark_1950,NA
Dominican Republic_1950,NA
Ecuador_1950,NA
Egypt_1950,NA
Spain_1950,NA
Estonia_1950,NA
Finland_1950,NA
France_1950,0.732
United Kingdom_1950,0.491
Georgia_1950,NA
Guadeloupe_1950,NA
Greece_1950,NA
Grenada_1950,NA
Guatemala_1950,NA
French Guiana_1950,NA
Guyana_1950,NA
Hong Kong_1950,NA
Croatia_1950,NA
Hungary_1950,NA
Ireland_1950,0.34
Iceland_1950,NA
Israel_1950,NA
Italy_1950,NA
Jamaica_1950,NA
Jordan_1950,NA
Japan_1950,2.22
Kazakhstan_1950,NA
Kyrgyzstan_1950,NA
Saint Kitts and Nevis_1950,NA
South Korea_1950,NA
Kuwait_1950,NA
Saint Lucia_1950,NA
Sri Lanka_1950,4.76
Lithuania_1950,NA
Luxembourg_1950,NA
Latvia_1950,NA
Moldova_1950,NA
Mexico_1950,NA
North Macedonia_1950,NA
Malta_1950,NA
Montenegro_1950,NA
Mongolia_1950,NA
Martinique_1950,NA
Mauritius_1950,NA
Malaysia_1950,NA
Nicaragua_1950,NA
Netherlands_1950,0.411
Norway_1950,NA
New Zealand_1950,1.03
Oman_1950,NA
Panama_1950,NA
Peru_1950,NA
Philippines_1950,NA
Poland_1950,NA
Puerto Rico_1950,NA
Portugal_1950,NA
Qatar_1950,NA
Reunion_1950,NA
Romania_1950,NA
Russia_1950,NA
Serbia and Montenegro_1950,NA
Singapore_1950,NA
El Salvador_1950,NA
Serbia_1950,NA
Sao Tome and Principe_1950,NA
Suriname_1950,NA
Slovakia_1950,NA
Slovenia_1950,NA
Sweden_1950,NA
Seychelles_1950,NA
Thailand_1950,NA
Tajikistan_1950,NA
Turkmenistan_1950,NA
Trinidad and Tobago_1950,NA
Tunisia_1950,NA
Turkey_1950,NA
Ukraine_1950,NA
Uruguay_1950,NA
United States_1950,5.25
USSR_1950,NA
Uzbekistan_1950,NA
Saint Vincent and the Grenadines_1950,NA
Venezuela_1950,NA
United States Virgin Islands_1950,NA
Yugoslavia_1950,NA
South Africa_1950,NA
Albania_1951,NA
Argentina_1951,NA
Armenia_1951,NA
Antigua and Barbuda_1951,NA
Australia_1951,1.33
Austria_1951,NA
Azerbaijan_1951,NA
Belgium_1951,NA
Bulgaria_1951,NA
Bahrain_1951,NA
Bahamas_1951,NA
Bosnia and Herzegovina_1951,NA
Belarus_1951,NA
Belize_1951,NA
Bermuda_1951,NA
Brazil_1951,NA
Barbados_1951,NA
Brunei_1951,NA
Canada_1951,1.04
Switzerland_1951,1.26
Czechoslovakia_1951,NA
Chile_1951,NA
Colombia_1951,NA
Costa Rica_1951,NA
Cuba_1951,NA
Cayman Islands_1951,NA
Cyprus_1951,NA
Czechia_1951,NA
Germany_1951,NA
East Germany_1951,NA
West Germany_1951,NA
Dominica_1951,NA
Denmark_1951,0.999
Dominican Republic_1951,NA
Ecuador_1951,NA
Egypt_1951,NA
Spain_1951,0.494
Estonia_1951,NA
Finland_1951,NA
France_1951,0.6535
United Kingdom_1951,0.424
Georgia_1951,NA
Guadeloupe_1951,NA
Greece_1951,NA
Grenada_1951,NA
Guatemala_1951,NA
French Guiana_1951,NA
Guyana_1951,NA
Hong Kong_1951,NA
Croatia_1951,NA
Hungary_1951,NA
Ireland_1951,0.206
Iceland_1951,NA
Israel_1951,NA
Italy_1951,1.47
Jamaica_1951,NA
Jordan_1951,NA
Japan_1951,2.03
Kazakhstan_1951,NA
Kyrgyzstan_1951,NA
Saint Kitts and Nevis_1951,NA
South Korea_1951,NA
Kuwait_1951,NA
Saint Lucia_1951,NA
Sri Lanka_1951,4.6
Lithuania_1951,NA
Luxembourg_1951,NA
Latvia_1951,NA
Moldova_1951,NA
Mexico_1951,NA
North Macedonia_1951,NA
Malta_1951,NA
Montenegro_1951,NA
Mongolia_1951,NA
Martinique_1951,NA
Mauritius_1951,NA
Malaysia_1951,NA
Nicaragua_1951,NA
Netherlands_1951,0.373
Norway_1951,0.335
New Zealand_1951,1.26
Oman_1951,NA
Panama_1951,NA
Peru_1951,NA
Philippines_1951,NA
Poland_1951,NA
Puerto Rico_1951,NA
Portugal_1951,NA
Qatar_1951,NA
Reunion_1951,NA
Romania_1951,NA
Russia_1951,NA
Serbia and Montenegro_1951,NA
Singapore_1951,NA
El Salvador_1951,NA
Serbia_1951,NA
Sao Tome and Principe_1951,NA
Suriname_1951,NA
Slovakia_1951,NA
Slovenia_1951,NA
Sweden_1951,0.63
Seychelles_1951,NA
Thailand_1951,NA
Tajikistan_1951,NA
Turkmenistan_1951,NA
Trinidad and Tobago_1951,5.29
Tunisia_1951,NA
Turkey_1951,NA
Ukraine_1951,NA
Uruguay_1951,NA
United States_1951,4.93
USSR_1951,NA
Uzbekistan_1951,NA
Saint Vincent and the Grenadines_1951,NA
Venezuela_1951,NA
United States Virgin Islands_1951,NA
Yugoslavia_1951,NA
South Africa_1951,NA
Albania_1952,NA
Argentina_1952,NA
Armenia_1952,NA
Antigua and Barbuda_1952,NA
Australia_1952,1.46
Austria_1952,NA
Azerbaijan_1952,NA
Belgium_1952,NA
Bulgaria_1952,NA
Bahrain_1952,NA
Bahamas_1952,NA
Bosnia and Herzegovina_1952,NA
Belarus_1952,NA
Belize_1952,NA
Bermuda_1952,NA
Brazil_1952,NA
Barbados_1952,NA
Brunei_1952,NA
Canada_1952,1.02
Switzerland_1952,1.18
Czechoslovakia_1952,NA
Chile_1952,NA
Colombia_1952,NA
Costa Rica_1952,NA
Cuba_1952,NA
Cayman Islands_1952,NA
Cyprus_1952,NA
Czechia_1952,NA
Germany_1952,NA
East Germany_1952,NA
West Germany_1952,0.931
Dominica_1952,NA
Denmark_1952,0.851
Dominican Republic_1952,NA
Ecuador_1952,NA
Egypt_1952,NA
Spain_1952,0.422
Estonia_1952,NA
Finland_1952,3.39
France_1952,0.575
United Kingdom_1952,0.456
Georgia_1952,NA
Guadeloupe_1952,NA
Greece_1952,NA
Grenada_1952,NA
Guatemala_1952,NA
French Guiana_1952,NA
Guyana_1952,NA
Hong Kong_1952,NA
Croatia_1952,NA
Hungary_1952,NA
Ireland_1952,0.267
Iceland_1952,0.755
Israel_1952,NA
Italy_1952,1.45
Jamaica_1952,NA
Jordan_1952,NA
Japan_1952,2.01
Kazakhstan_1952,NA
Kyrgyzstan_1952,NA
Saint Kitts and Nevis_1952,NA
South Korea_1952,NA
Kuwait_1952,NA
Saint Lucia_1952,NA
Sri Lanka_1952,4.7
Lithuania_1952,NA
Luxembourg_1952,NA
Latvia_1952,NA
Moldova_1952,NA
Mexico_1952,NA
North Macedonia_1952,NA
Malta_1952,NA
Montenegro_1952,NA
Mongolia_1952,NA
Martinique_1952,NA
Mauritius_1952,NA
Malaysia_1952,NA
Nicaragua_1952,NA
Netherlands_1952,0.344
Norway_1952,0.34
New Zealand_1952,1.06
Oman_1952,NA
Panama_1952,NA
Peru_1952,NA
Philippines_1952,NA
Poland_1952,NA
Puerto Rico_1952,NA
Portugal_1952,NA
Qatar_1952,NA
Reunion_1952,NA
Romania_1952,NA
Russia_1952,NA
Serbia and Montenegro_1952,NA
Singapore_1952,NA
El Salvador_1952,NA
Serbia_1952,NA
Sao Tome and Principe_1952,NA
Suriname_1952,NA
Slovakia_1952,NA
Slovenia_1952,NA
Sweden_1952,0.671
Seychelles_1952,NA
Thailand_1952,NA
Tajikistan_1952,NA
Turkmenistan_1952,NA
Trinidad and Tobago_1952,5.64
Tunisia_1952,NA
Turkey_1952,NA
Ukraine_1952,NA
Uruguay_1952,NA
United States_1952,5.27
USSR_1952,NA
Uzbekistan_1952,NA
Saint Vincent and the Grenadines_1952,NA
Venezuela_1952,NA
United States Virgin Islands_1952,NA
Yugoslavia_1952,NA
South Africa_1952,NA
Albania_1953,NA
Argentina_1953,NA
Armenia_1953,NA
Antigua and Barbuda_1953,NA
Australia_1953,1.25
Austria_1953,NA
Azerbaijan_1953,NA
Belgium_1953,NA
Bulgaria_1953,NA
Bahrain_1953,NA
Bahamas_1953,NA
Bosnia and Herzegovina_1953,NA
Belarus_1953,NA
Belize_1953,NA
Bermuda_1953,NA
Brazil_1953,NA
Barbados_1953,NA
Brunei_1953,NA
Canada_1953,1.12
Switzerland_1953,1.1
Czechoslovakia_1953,1.67
Chile_1953,NA
Colombia_1953,NA
Costa Rica_1953,NA
Cuba_1953,NA
Cayman Islands_1953,NA
Cyprus_1953,NA
Czechia_1953,NA
Germany_1953,NA
East Germany_1953,NA
West Germany_1953,1
Dominica_1953,NA
Denmark_1953,1.28
Dominican Republic_1953,NA
Ecuador_1953,NA
Egypt_1953,NA
Spain_1953,0.302
Estonia_1953,NA
Finland_1953,3.2
France_1953,0.608
United Kingdom_1953,0.462
