country,continent,EU,OECD,selection_01
Afghanistan,Asia,FALSE,FALSE,FALSE
Aland Islands,Europe,FALSE,FALSE,FALSE
Albania,Europe,FALSE,FALSE,TRUE
Algeria,Africa,FALSE,FALSE,FALSE
American Samoa,Oceania,FALSE,FALSE,FALSE
Andorra,Europe,FALSE,FALSE,FALSE
Angola,Africa,FALSE,FALSE,TRUE
Anguilla,Americas,FALSE,FALSE,FALSE
Antigua and Barbuda,Americas,FALSE,FALSE,FALSE
Argentina,Americas,FALSE,FALSE,TRUE
Armenia,Asia,FALSE,FALSE,TRUE
Aruba,Americas,FALSE,FALSE,FALSE
Australia,Oceania,FALSE,TRUE,TRUE
Austria,Europe,TRUE,TRUE,TRUE
Azerbaijan,Asia,FALSE,FALSE,FALSE
Bahamas,Americas,FALSE,FALSE,FALSE
Bahrain,Asia,FALSE,FALSE,TRUE
Bangladesh,Asia,FALSE,FALSE,TRUE
Barbados,Americas,FALSE,FALSE,FALSE
Belarus,Europe,FALSE,FALSE,FALSE
Belgium,Europe,TRUE,TRUE,TRUE
Belize,Americas,FALSE,FALSE,FALSE
Benin,Africa,FALSE,FALSE,FALSE
Bermuda,Americas,FALSE,FALSE,FALSE
Bhutan,Asia,FALSE,FALSE,FALSE
Bolivia,Americas,FALSE,FALSE,TRUE
Bonaire Sint Eustatius and Saba,Americas,FALSE,FALSE,FALSE
Bosnia and Herzegovina,Europe,FALSE,FALSE,TRUE
Botswana,Africa,FALSE,FALSE,TRUE
Brazil,Americas,FALSE,FALSE,TRUE
British Virgin Islands,Americas,FALSE,FALSE,FALSE
Brunei,Asia,FALSE,FALSE,FALSE
Bulgaria,Europe,TRUE,FALSE,TRUE
Burkina Faso,Africa,FALSE,FALSE,FALSE
Burundi,Africa,FALSE,FALSE,FALSE
Cambodia,Asia,FALSE,FALSE,FALSE
Cameroon,Africa,FALSE,FALSE,FALSE
Canada,Americas,FALSE,TRUE,TRUE
Cape Verde,Africa,FALSE,FALSE,FALSE
Cayman Islands,Americas,FALSE,FALSE,FALSE
Central African Republic,Africa,FALSE,FALSE,FALSE
Chad,Africa,FALSE,FALSE,FALSE
Chile,Americas,FALSE,TRUE,FALSE
China,Asia,FALSE,FALSE,TRUE
Christmas Island,Oceania,FALSE,FALSE,FALSE
Colombia,Americas,FALSE,TRUE,TRUE
Comoros,Africa,FALSE,FALSE,FALSE
Congo,Africa,FALSE,FALSE,TRUE
Cook Islands,Oceania,FALSE,FALSE,FALSE
Costa Rica,Americas,FALSE,TRUE,TRUE
Cote d'Ivoire,Africa,FALSE,FALSE,TRUE
Croatia,Europe,TRUE,FALSE,TRUE
Cuba,Americas,FALSE,FALSE,FALSE
Curacao,Americas,FALSE,FALSE,FALSE
Cyprus,Asia,FALSE,FALSE,FALSE
Czechia,Europe,TRUE,TRUE,TRUE
Democratic Republic of Congo,Africa,FALSE,FALSE,FALSE
Denmark,Europe,TRUE,TRUE,FALSE
Djibouti,Africa,FALSE,FALSE,FALSE
Dominica,Americas,FALSE,FALSE,FALSE
Dominican Republic,Americas,FALSE,FALSE,FALSE
Ecuador,Americas,FALSE,FALSE,FALSE
Egypt,Africa,FALSE,FALSE,TRUE
El Salvador,Americas,FALSE,FALSE,FALSE
Equatorial Guinea,Africa,FALSE,FALSE,FALSE
Eritrea,Africa,FALSE,FALSE,FALSE
Estonia,Europe,TRUE,TRUE,TRUE
Eswatini,Africa,FALSE,FALSE,FALSE
Ethiopia,Africa,FALSE,FALSE,TRUE
Faeroe Islands,Europe,FALSE,FALSE,FALSE
Falkland Islands,Americas,FALSE,FALSE,FALSE
Fiji,Oceania,FALSE,FALSE,TRUE
Finland,Europe,TRUE,TRUE,FALSE
France,Europe,TRUE,TRUE,FALSE
French Guiana,Americas,FALSE,FALSE,FALSE
French Polynesia,Oceania,FALSE,FALSE,FALSE
Gabon,Africa,FALSE,FALSE,FALSE
Gambia,Africa,FALSE,FALSE,TRUE
Georgia,Asia,FALSE,FALSE,TRUE
Germany,Europe,TRUE,TRUE,TRUE
Ghana,Africa,FALSE,FALSE,TRUE
Gibraltar,Europe,FALSE,FALSE,FALSE
Greece,Europe,TRUE,TRUE,TRUE
Greenland,Americas,FALSE,FALSE,FALSE
Grenada,Americas,FALSE,FALSE,FALSE
Guadeloupe,Americas,FALSE,FALSE,FALSE
Guam,Oceania,FALSE,FALSE,FALSE
Guatemala,Americas,FALSE,FALSE,FALSE
Guernsey,Europe,FALSE,FALSE,FALSE
Guinea,Africa,FALSE,FALSE,FALSE
Guinea-Bissau,Africa,FALSE,FALSE,FALSE
Guyana,Americas,FALSE,FALSE,FALSE
Haiti,Americas,FALSE,FALSE,TRUE
Honduras,Americas,FALSE,FALSE,FALSE
Hong Kong,Asia,FALSE,FALSE,FALSE
Hungary,Europe,TRUE,TRUE,FALSE
Iceland,Europe,FALSE,TRUE,FALSE
India,Asia,FALSE,FALSE,TRUE
Indonesia,Asia,FALSE,FALSE,TRUE
Iran,Asia,FALSE,FALSE,TRUE
Iraq,Asia,FALSE,FALSE,TRUE
Ireland,Europe,TRUE,TRUE,TRUE
Isle of Man,Europe,FALSE,FALSE,FALSE
Israel,Asia,FALSE,TRUE,TRUE
Italy,Europe,TRUE,TRUE,TRUE
Jamaica,Americas,FALSE,FALSE,FALSE
Japan,Asia,FALSE,TRUE,TRUE
Jersey,Europe,FALSE,FALSE,FALSE
Jordan,Asia,FALSE,FALSE,TRUE
Kazakhstan,Asia,FALSE,FALSE,FALSE
Kenya,Africa,FALSE,FALSE,TRUE
Kiribati,Oceania,FALSE,FALSE,FALSE
Kuwait,Asia,FALSE,FALSE,FALSE
Kyrgyzstan,Asia,FALSE,FALSE,FALSE
Laos,Asia,FALSE,FALSE,TRUE
Latvia,Europe,TRUE,TRUE,TRUE
Lebanon,Asia,FALSE,FALSE,TRUE
